Posting date,Vendor Name,Amount GBP,Category Level 1
25/01/2018,Jordan Insurance Company,"51,750.12",Professional Services
29/01/2018,LOZANO SALAMANCA  S.L.,"52,714.04",Facilities
19/01/2018,Gulf Crete,"53,078.49",Facilities
26/01/2018,FOREIGN AND COMMONWEALTH OFFICE,"53,890.00","Travel, venue hire & exhibition services"
09/01/2018,????????????????????,"54,331.80","Travel, venue hire & exhibition services"
05/01/2018,Centum Learning Limited,"55,486.79","Travel, venue hire & exhibition services"
24/01/2018,Hotcourses,"55,500.00","Advertising, Marketing & Media"
25/01/2018,Vodafone (formally CWW),"58,045.92",IT & Telecoms
29/01/2018,EntServ UK Limited,"58,320.02",IT & Telecoms
22/01/2018,CGI IT UK Limited,"60,234.96",IT & Telecoms
19/01/2018,Centum Learning Limited,"61,082.13","Travel, venue hire & exhibition services"
22/01/2018,SAI GON XANH CONSTRUCTION AND INTER,"63,171.43",Facilities
03/01/2018,????????????????????,"63,189.51","Travel, venue hire & exhibition services"
17/01/2018,SEAL Infotech Pvt Ltd (GBP Account),"63,547.00",Professional Services
25/01/2018,Convex Malaysia Sdn Bhd,"64,070.21","Travel, venue hire & exhibition services"
25/01/2018,Diverse Consulting Group,"68,130.41",Professional Services
15/01/2018,ERNST & YOUNG,"68,412.00",Professional Services
19/01/2018,CGI IT UK Limited,"68,596.42",IT & Telecoms
24/01/2018,Directorate of Staff Development,"68,642.59",Human Resources
12/01/2018,King Fahd Palace Hotel,"69,729.73","Travel, venue hire & exhibition services"
09/01/2018,Turismo Cocha S.A.,"69,743.97","Travel, venue hire & exhibition services"
19/01/2018,Level 3 Communications Europe Limit,"70,874.39",IT & Telecoms
23/01/2018,PERFECT ARTS,"73,898.71",Facilities
25/01/2018,INLAND REVENUE ACCOUNTS OFFICE,"74,182.90",Human Resources
30/01/2018,Aung Ko Latt Motion Pictures,"74,421.64","Advertising, Marketing & Media"
08/01/2018,AIA CO ( TRUSTEE ) LTD - PREMIUM,"79,191.72",Human Resources
19/01/2018,Eastern Asphalt & Mixed Concrete Co,"82,352.94",Facilities
24/01/2018,Calder Conferences Limited,"83,166.95","Travel, venue hire & exhibition services"
29/01/2018,YOLCAR S.L.,"85,242.27","Travel, venue hire & exhibition services"
02/01/2018,Shell Nig. Closed Pension,"87,890.60",Facilities
08/01/2018,FOREIGN AND COMMONWEALTH OFFICE,"100,000.00",Professional Services
09/01/2018,Centum Learning Limited,"100,948.25","Travel, venue hire & exhibition services"
22/01/2018,?????????????,"102,505.69","Travel, venue hire & exhibition services"
05/01/2018,NORWICH INSTITUTE FOR LANGUAGE,"102,769.20",Professional Services
24/01/2018,Prolinx Limited,"103,622.40",Professional Services
12/01/2018,Beijing Personnel Service Corporati,"105,399.41",Professional Services
19/01/2018,CGI IT UK Limited,"105,603.46",IT & Telecoms
09/01/2018,Golden Pyramids Plaza,"109,649.66",Facilities
26/01/2018,Build Cool Engrg Services Pte Ltd,"110,147.22",Facilities
11/01/2018,MONFORTINO,"111,533.76",Facilities
26/01/2018,OPERADORA HOTEL CENTRO,"113,781.56","Travel, venue hire & exhibition services"
29/01/2018,EntServ UK Limited,"114,897.37",IT & Telecoms
16/01/2018,The Poor Servants,"127,125.57",Facilities
15/01/2018,Goethe Institut,"138,331.33",Professional Services
19/01/2018,CGI IT UK Limited,"150,038.57",IT & Telecoms
25/01/2018,Fiduciaria Bancolombia,"153,508.36",Facilities
15/01/2018,ERNST & YOUNG,"156,000.00",Professional Services
04/01/2018,FutureLearn Limited,"180,000.00",Professional Services
25/01/2018,FutureLearn Limited,"180,000.00",Professional Services
23/01/2018,Prolinx Limited,"227,515.20",Professional Services
24/01/2018,Process Solutions Sp  z o o,"276,858.26",Professional Services
25/01/2018,Vodafone (formally CWW),"347,042.82",IT & Telecoms
09/01/2018,Business Linker,"376,356.68",Facilities
26/01/2018,FOREIGN AND COMMONWEALTH OFFICE,"1,202,232.00",Facilities
