DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Internal Auditor              ,6/18/2016,1,7
Internal Auditor              ,8/13/2016,2,7
Kentuckiana Works Foundation,10/15/2011,4,15
Kentuckiana Works Foundation,10/29/2011,5,15
Kentuckiana Works Foundation,11/12/2011,5,15
Kentuckiana Works Foundation,3/31/2012,4,17
Kentuckiana Works Foundation,1/17/2015,5,19
Kentuckiana Works Foundation,2/14/2015,4,20
Kentuckiana Works Foundation,4/25/2015,3,18
Kentuckiana Works Foundation,8/29/2015,1,19
Kentuckiana Works Foundation,3/11/2017,5,26
Kentuckiana Works Foundation,9/9/2017,5,23
Library,1/19/2013,63,297
Library,9/13/2014,32,280
Louisville Metro Council      ,6/22/2013,10,85
Louisville Metro Council      ,11/23/2013,12,85
Louisville Metro Council      ,1/18/2014,12,85
Louisville Metro Council      ,1/30/2016,12,79
Louisville Metro Council      ,8/13/2016,16,84
Louisville Metro Council      ,11/5/2016,14,79
Louisville Metro EMS,3/17/2012,28,238
Louisville Metro EMS,3/30/2013,29,240
Louisville Metro EMS,5/11/2013,30,235
Louisville Metro EMS,3/1/2014,10,240
Louisville Metro EMS,4/12/2014,12,242
Louisville Metro EMS,8/16/2014,10,243
Louisville Metro EMS,6/20/2015,18,242
Louisville Metro EMS,12/5/2015,21,239
Louisville Metro EMS,12/19/2015,21,238
Louisville Metro EMS,4/8/2017,34,232
Mayor's Office                ,4/28/2012,1,23
Mayor's Office                ,7/7/2012,1,23
Mayor's Office                ,8/4/2012,1,23
Mayor's Office                ,3/16/2013,2,20
Mayor's Office                ,10/25/2014,1,20
Mayor's Office                ,12/20/2014,1,20
Mayor's Office                ,2/27/2016,0,21
Mayor's Office                ,11/5/2016,1,19
Mayor's Office                ,1/14/2017,1,19
Mayor's Office                ,7/29/2017,1,19
Metro Animal Services         ,9/15/2012,16,47
Metro Animal Services         ,12/8/2012,16,47
Metro Animal Services         ,2/14/2015,19,56
Metro Animal Services         ,5/23/2015,18,59
Metro Animal Services         ,2/27/2016,21,57
Metro Animal Services         ,7/29/2017,25,61
Metro Animal Services         ,8/26/2017,27,60
Metro Criminal Justice Comm   ,1/7/2012,0,5
Metro Criminal Justice Comm   ,7/6/2013,1,4
Metro Criminal Justice Comm   ,10/22/2016,1,4
Belle of Louisville           ,4/13/2013,4,43
Belle of Louisville           ,2/15/2014,3,27
Belle of Louisville           ,6/21/2014,4,70
Belle of Louisville           ,7/5/2014,4,70
Codes & Regulations,6/7/2014,17,119
Commonwealth Attorney         ,5/11/2013,0,19
Commonwealth Attorney         ,8/31/2013,0,17
Commonwealth Attorney         ,3/1/2014,0,20
Commonwealth Attorney         ,8/30/2014,0,19
Commonwealth Attorney         ,2/14/2015,0,23
Commonwealth Attorney         ,11/19/2016,0,21
Commonwealth Attorney         ,12/3/2016,0,21
Commonwealth Attorney         ,2/25/2017,0,20
Commonwealth Attorney         ,8/26/2017,0,21
Community Services,3/2/2013,95,227
Community Services,6/7/2014,46,139
Community Services,9/10/2016,40,126
Community Services,4/22/2017,51,130
Coroner                       ,1/7/2012,1,20
Coroner                       ,1/21/2012,1,20
Coroner                       ,3/28/2015,0,18
Coroner                       ,8/12/2017,0,16
Corrections                   ,11/12/2011,166,540
Corrections                   ,6/23/2012,139,524
Corrections                   ,1/5/2013,142,538
Corrections                   ,5/25/2013,123,526
Corrections                   ,3/15/2014,126,541
County Attorney               ,10/29/2011,0,93
County Attorney               ,8/29/2015,0,94
County Attorney               ,11/21/2015,0,98
County Attorney               ,6/4/2016,0,102
Dept of Information Technology,10/27/2012,15,60
Dept of Information Technology,11/7/2015,8,53
Dept of Information Technology,12/3/2016,8,60
Dept of Information Technology,5/6/2017,10,59
Dept of Information Technology,8/26/2017,12,63
Develop Louisville,9/15/2012,25,92
Develop Louisville,3/16/2013,21,98
Develop Louisville,9/14/2013,20,101
Develop Louisville,5/9/2015,25,118
Develop Louisville,4/23/2016,15,123
Develop Louisville,1/14/2017,16,116
Econ Growth & Innovation ,3/31/2012,6,26
Econ Growth & Innovation ,8/4/2012,6,26
Econ Growth & Innovation-APCD,11/26/2011,21,65
Econ Growth & Innovation-APCD,11/10/2012,18,63
Econ Growth & Innovation-APCD,9/28/2013,19,63
Econ Growth & Innovation-APCD,9/12/2015,15,54
Econ Growth & Innovation-APCD,6/3/2017,15,51
Emergency Mgt Agency/MetroSafe,12/31/2016,38,179
Emergency Mgt Agency/MetroSafe,5/20/2017,44,179
Fire & Rescue                 ,5/12/2012,54,480
Fire & Rescue                 ,6/23/2012,53,481
Fire & Rescue                 ,8/18/2012,64,472
Fire & Rescue                 ,5/25/2013,87,464
Fire & Rescue                 ,8/1/2015,77,507
Fire & Rescue                 ,8/27/2016,74,465
Fleet & Facilities,4/28/2012,81,197
Fleet & Facilities,7/7/2012,82,200
Fleet & Facilities,7/19/2014,50,201
Fleet & Facilities,11/5/2016,63,202
Fleet & Facilities,5/20/2017,67,195
Human Relations Commission    ,10/12/2013,1,16
Human Relations Commission    ,4/12/2014,2,16
Human Relations Commission    ,12/6/2014,3,21
Human Relations Commission    ,4/11/2015,1,22
Human Relations Commission    ,11/7/2015,2,19
Human Relations Commission    ,3/26/2016,2,20
Human Relations Commission    ,7/2/2016,2,19
Human Relations Commission    ,4/8/2017,4,18
Human Resources,6/9/2012,5,32
Human Resources,9/1/2012,5,33
Human Resources,3/2/2013,2,33
Human Resources,3/30/2013,3,36
Human Resources,3/29/2014,2,33
Human Resources,9/26/2015,2,41
Human Resources,1/28/2017,5,39
Human Resources,7/1/2017,3,46
Internal Auditor              ,9/28/2013,1,6
Internal Auditor              ,7/5/2014,0,7
Internal Auditor              ,9/27/2014,0,7
Internal Auditor              ,5/21/2016,1,7
Internal Auditor              ,10/22/2016,2,7
Internal Auditor              ,6/17/2017,0,7
Kentuckiana Works Foundation,7/20/2013,5,19
Kentuckiana Works Foundation,12/21/2013,7,15
Kentuckiana Works Foundation,1/3/2015,5,20
Kentuckiana Works Foundation,11/21/2015,1,20
Kentuckiana Works Foundation,2/13/2016,1,23
Library,6/9/2012,49,292
Library,3/29/2014,41,285
Library,9/10/2016,52,294
Library,1/28/2017,45,291
Library,4/22/2017,42,295
Library,5/20/2017,43,296
Louisville Metro Council      ,1/7/2012,9,93
Louisville Metro Council      ,10/12/2013,12,85
Louisville Metro Council      ,4/11/2015,11,80
Louisville Metro Council      ,11/7/2015,8,78
Louisville Metro Council      ,1/2/2016,11,77
Louisville Metro EMS,6/23/2012,22,237
Louisville Metro EMS,9/10/2016,34,229
Louisville Metro EMS,4/22/2017,31,231
Mayor's Office                ,9/1/2012,1,23
Mayor's Office                ,12/8/2012,1,22
Mayor's Office                ,8/3/2013,3,20
Mayor's Office                ,5/9/2015,1,20
Mayor's Office                ,9/26/2015,1,21
Metro Animal Services         ,4/14/2012,17,49
Metro Animal Services         ,7/7/2012,21,50
Metro Animal Services         ,10/27/2012,17,49
Metro Animal Services         ,3/2/2013,19,50
Metro Animal Services         ,12/20/2014,17,56
Metro Animal Services         ,5/6/2017,22,60
Metro Criminal Justice Comm   ,10/29/2011,0,5
Metro Criminal Justice Comm   ,8/29/2015,0,4
Metro Criminal Justice Comm   ,11/7/2015,0,5
Metro Criminal Justice Comm   ,12/3/2016,1,4
Metro Criminal Justice Comm   ,9/9/2017,1,4
Metro Parks & Recreation,6/9/2012,78,471
Belle of Louisville           ,10/15/2011,1,61
Belle of Louisville           ,12/24/2011,3,28
Belle of Louisville           ,3/17/2012,4,30
Belle of Louisville           ,8/16/2014,4,60
Belle of Louisville           ,6/20/2015,3,67
Belle of Louisville           ,1/30/2016,2,23
Codes & Regulations,12/31/2016,36,138
Codes & Regulations,3/25/2017,38,147
Commonwealth Attorney         ,4/28/2012,0,20
Commonwealth Attorney         ,11/5/2016,0,21
Commonwealth Attorney         ,12/31/2016,0,21
Community Services,4/28/2012,99,228
Community Services,12/31/2016,46,145
Community Services,3/25/2017,51,142
Coroner                       ,7/7/2012,0,19
Coroner                       ,8/2/2014,0,19
Coroner                       ,8/30/2014,0,19
Coroner                       ,12/20/2014,0,18
Coroner                       ,6/6/2015,0,17
Coroner                       ,2/25/2017,0,15
Corrections                   ,12/22/2012,147,539
Corrections                   ,4/11/2015,120,537
Corrections                   ,8/1/2015,106,525
Corrections                   ,4/9/2016,104,544
County Attorney               ,9/15/2012,0,93
County Attorney               ,9/27/2014,0,91
County Attorney               ,3/14/2015,0,95
County Attorney               ,7/18/2015,0,95
County Attorney               ,10/24/2015,0,98
County Attorney               ,5/21/2016,0,102
County Attorney               ,6/17/2017,0,103
Dept of Information Technology,5/26/2012,10,56
Dept of Information Technology,11/22/2014,17,51
Dept of Information Technology,12/31/2016,8,60
Develop Louisville,11/10/2012,27,90
Develop Louisville,7/20/2013,23,98
Develop Louisville,8/17/2013,22,99
Develop Louisville,11/21/2015,20,118
Develop Louisville,6/18/2016,18,122
Econ Growth & Innovation ,6/22/2013,1,25
Econ Growth & Innovation-APCD,3/3/2012,21,61
Econ Growth & Innovation-APCD,11/9/2013,17,63
Econ Growth & Innovation-APCD,5/23/2015,13,55
Econ Growth & Innovation-APCD,2/27/2016,16,54
Econ Growth & Innovation-APCD,1/14/2017,12,51
Econ Growth & Innovation-APCD,7/29/2017,15,53
Emergency Mgt Agency/MetroSafe,1/7/2012,35,186
Emergency Mgt Agency/MetroSafe,8/18/2012,34,196
Emergency Mgt Agency/MetroSafe,10/13/2012,37,195
Emergency Mgt Agency/MetroSafe,10/12/2013,30,183
Emergency Mgt Agency/MetroSafe,11/7/2015,44,188
Emergency Mgt Agency/MetroSafe,12/3/2016,34,180
Fire & Rescue                 ,6/9/2012,52,482
Fire & Rescue                 ,9/1/2012,71,472
Fire & Rescue                 ,12/8/2012,79,468
Fire & Rescue                 ,1/5/2013,82,468
Fire & Rescue                 ,2/2/2013,83,468
Fire & Rescue                 ,8/3/2013,85,466
Fire & Rescue                 ,7/19/2014,68,490
Fleet & Facilities,1/7/2012,75,197
Fleet & Facilities,8/18/2012,81,199
Fleet & Facilities,10/13/2012,80,199
Fleet & Facilities,3/30/2013,65,202
Fleet & Facilities,7/1/2017,65,190
Human Relations Commission    ,5/26/2012,4,19
Human Relations Commission    ,6/9/2012,4,19
Human Relations Commission    ,9/1/2012,4,19
Human Relations Commission    ,12/8/2012,3,16
Human Relations Commission    ,1/5/2013,3,16
Human Relations Commission    ,2/2/2013,4,16
Human Relations Commission    ,8/3/2013,1,16
Human Relations Commission    ,3/29/2014,2,16
Human Relations Commission    ,1/28/2017,3,18
Human Resources,10/11/2014,2,33
Human Resources,7/16/2016,4,37
Human Resources,7/30/2016,7,36
Human Resources,11/5/2016,6,37
Human Resources,7/15/2017,4,42
Internal Auditor              ,3/3/2012,1,7
Internal Auditor              ,2/27/2016,1,6
Internal Auditor              ,6/4/2016,1,7
Internal Auditor              ,7/29/2017,0,7
Kentuckiana Works Foundation,1/19/2013,5,16
Kentuckiana Works Foundation,9/13/2014,4,19
Kentuckiana Works Foundation,5/9/2015,2,18
Kentuckiana Works Foundation,12/17/2016,3,24
Kentuckiana Works Foundation,1/14/2017,4,24
Library,1/7/2012,43,298
Library,10/13/2012,56,285
Library,3/30/2013,53,295
Library,12/5/2015,42,288
Library,3/11/2017,44,290
Louisville Metro Council      ,8/30/2014,15,81
Louisville Metro Council      ,2/28/2015,11,81
Louisville Metro Council      ,11/19/2016,15,79
Louisville Metro Council      ,8/26/2017,6,77
Louisville Metro EMS,4/28/2012,22,236
Louisville Metro EMS,5/26/2012,23,238
Louisville Metro EMS,2/2/2013,34,237
Louisville Metro EMS,8/3/2013,26,233
Louisville Metro EMS,12/31/2016,33,216
Louisville Metro EMS,5/20/2017,31,224
Mayor's Office                ,5/12/2012,1,23
Mayor's Office                ,5/25/2013,2,20
Mayor's Office                ,12/21/2013,2,21
Mayor's Office                ,3/15/2014,1,21
Mayor's Office                ,1/3/2015,1,20
Mayor's Office                ,3/26/2016,0,21
Mayor's Office                ,8/27/2016,1,19
Metro Animal Services         ,1/21/2012,19,46
Metro Animal Services         ,12/6/2014,17,58
Metro Animal Services         ,7/2/2016,22,59
Metro Animal Services         ,8/13/2016,17,58
Metro Animal Services         ,8/12/2017,26,61
Metro Criminal Justice Comm   ,7/18/2015,0,4
Metro Criminal Justice Comm   ,8/15/2015,0,4
Metro Criminal Justice Comm   ,10/8/2016,0,4
Metro Criminal Justice Comm   ,2/11/2017,1,4
Metro Parks & Recreation,3/30/2013,87,331
Metro Parks & Recreation,1/18/2014,88,347
Belle of Louisville           ,7/7/2012,4,68
Belle of Louisville           ,6/8/2013,4,64
Belle of Louisville           ,8/2/2014,4,67
Belle of Louisville           ,1/31/2015,5,26
Belle of Louisville           ,6/6/2015,4,64
Belle of Louisville           ,9/12/2015,4,57
Belle of Louisville           ,4/23/2016,1,48
Codes & Regulations,5/25/2013,19,126
Codes & Regulations,3/15/2014,19,119
Codes & Regulations,6/4/2016,28,134
Commonwealth Attorney         ,3/31/2012,0,20
Commonwealth Attorney         ,6/23/2012,0,20
Commonwealth Attorney         ,3/15/2014,0,20
Commonwealth Attorney         ,6/4/2016,0,25
Commonwealth Attorney         ,8/27/2016,0,24
Community Services,3/3/2012,104,230
Community Services,5/12/2012,99,226
Community Services,6/23/2012,92,218
Community Services,5/7/2016,42,130
Community Services,8/27/2016,38,126
Coroner                       ,12/24/2011,1,20
Coroner                       ,1/18/2014,0,19
Coroner                       ,5/24/2014,0,19
Coroner                       ,6/20/2015,0,17
Coroner                       ,12/5/2015,0,16
Coroner                       ,1/30/2016,0,15
Corrections                   ,7/20/2013,123,538
Corrections                   ,8/15/2015,100,520
Corrections                   ,10/8/2016,144,538
County Attorney               ,10/26/2013,0,94
County Attorney               ,5/10/2014,0,95
County Attorney               ,10/10/2015,0,96
Dept of Information Technology,3/3/2012,13,58
Dept of Information Technology,5/12/2012,11,56
Dept of Information Technology,4/12/2014,14,53
Dept of Information Technology,1/3/2015,17,52
Dept of Information Technology,3/26/2016,8,57
Dept of Information Technology,4/8/2017,9,61
Develop Louisville,2/18/2012,32,90
Develop Louisville,12/22/2012,25,95
Develop Louisville,1/18/2014,24,106
Develop Louisville,11/8/2014,23,117
Develop Louisville,10/8/2016,16,120
Develop Louisville,2/11/2017,18,121
Econ Growth & Innovation ,10/29/2011,7,25
Econ Growth & Innovation ,6/9/2012,5,26
Econ Growth & Innovation ,11/10/2012,4,29
Econ Growth & Innovation ,7/6/2013,1,26
Econ Growth & Innovation ,3/29/2014,1,26
Econ Growth & Innovation ,2/14/2015,0,27
Econ Growth & Innovation ,9/10/2016,0,24
Econ Growth & Innovation ,4/22/2017,0,23
Econ Growth & Innovation-APCD,4/27/2013,17,63
Econ Growth & Innovation-APCD,3/15/2014,20,59
Econ Growth & Innovation-APCD,12/19/2015,15,53
Econ Growth & Innovation-APCD,9/9/2017,10,53
Emergency Mgt Agency/MetroSafe,7/5/2014,31,196
Emergency Mgt Agency/MetroSafe,4/25/2015,34,193
Emergency Mgt Agency/MetroSafe,7/18/2015,45,192
Fleet & Facilities,11/24/2012,75,199
Fleet & Facilities,4/13/2013,65,202
Fleet & Facilities,10/26/2013,59,201
Fleet & Facilities,1/4/2014,66,205
Fleet & Facilities,3/12/2016,62,197
Fleet & Facilities,5/21/2016,65,201
Human Relations Commission    ,6/22/2013,2,14
Human Relations Commission    ,5/24/2014,1,20
Human Resources,11/12/2011,4,39
Human Resources,10/27/2012,3,33
Human Resources,5/11/2013,3,36
Human Resources,3/1/2014,3,35
Human Resources,11/8/2014,2,33
Human Resources,2/11/2017,5,37
Internal Auditor              ,11/26/2011,1,6
Internal Auditor              ,3/31/2012,1,8
Internal Auditor              ,7/21/2012,1,7
Internal Auditor              ,3/25/2017,1,7
Kentuckiana Works Foundation,6/23/2012,5,17
Kentuckiana Works Foundation,11/24/2012,5,16
Kentuckiana Works Foundation,2/16/2013,6,16
Kentuckiana Works Foundation,5/25/2013,5,17
Kentuckiana Works Foundation,12/7/2013,7,15
Kentuckiana Works Foundation,3/15/2014,5,17
Kentuckiana Works Foundation,8/27/2016,1,24
Library,7/7/2012,50,290
Library,8/4/2012,53,286
Library,4/26/2014,40,286
Library,8/2/2014,37,284
Library,12/20/2014,31,288
Library,6/6/2015,36,293
Louisville Metro Council      ,2/18/2012,11,90
Louisville Metro Council      ,12/22/2012,13,86
Louisville Metro Council      ,9/28/2013,14,86
Louisville Metro Council      ,8/29/2015,8,80
Louisville Metro Council      ,11/21/2015,9,78
Louisville Metro Council      ,4/9/2016,16,79
Louisville Metro EMS,5/12/2012,25,238
Louisville Metro EMS,4/27/2013,30,236
Louisville Metro EMS,6/7/2014,13,244
Louisville Metro EMS,1/3/2015,13,244
Louisville Metro EMS,3/26/2016,29,245
Louisville Metro EMS,5/7/2016,35,247
Louisville Metro EMS,8/27/2016,33,231
Mayor's Office                ,1/19/2013,2,20
Mayor's Office                ,2/1/2014,2,21
Mayor's Office                ,9/13/2014,1,21
Metro Animal Services         ,3/29/2014,17,52
Metro Animal Services         ,11/8/2014,17,58
Metro Animal Services         ,9/26/2015,20,57
Metro Animal Services         ,1/28/2017,18,60
Metro Criminal Justice Comm   ,11/10/2012,1,4
Metro Criminal Justice Comm   ,8/17/2013,0,4
Metro Criminal Justice Comm   ,1/2/2016,0,5
Metro Criminal Justice Comm   ,7/15/2017,1,4
Metro Parks & Recreation,8/4/2012,70,485
Metro Parks & Recreation,5/10/2014,85,373
Metro Parks & Recreation,12/20/2014,76,335
Metro Police,10/15/2011,139,1542
Metro Police,10/29/2011,138,1543
Metro Police,12/24/2011,131,1528
Metro Police,12/22/2012,120,1532
Metro Police,7/6/2013,117,1529
Belle of Louisville           ,2/18/2012,4,28
Belle of Louisville           ,10/27/2012,2,60
Belle of Louisville           ,11/10/2012,2,55
Belle of Louisville           ,2/16/2013,3,28
Belle of Louisville           ,12/7/2013,3,32
Belle of Louisville           ,11/8/2014,4,58
Belle of Louisville           ,5/9/2015,4,49
Belle of Louisville           ,2/11/2017,2,24
Belle of Louisville           ,5/20/2017,4,66
Codes & Regulations,11/12/2011,45,139
Codes & Regulations,7/6/2013,21,122
Codes & Regulations,8/15/2015,21,129
Codes & Regulations,9/26/2015,25,132
Codes & Regulations,10/10/2015,24,129
Codes & Regulations,10/8/2016,32,142
Codes & Regulations,2/11/2017,38,138
Commonwealth Attorney         ,10/29/2011,0,18
Commonwealth Attorney         ,1/7/2012,0,20
Commonwealth Attorney         ,10/13/2012,0,20
Commonwealth Attorney         ,4/13/2013,0,19
Commonwealth Attorney         ,5/10/2014,0,20
Commonwealth Attorney         ,8/15/2015,0,21
Commonwealth Attorney         ,1/2/2016,0,26
Commonwealth Attorney         ,10/22/2016,0,21
Community Services,4/26/2014,49,135
Community Services,8/2/2014,51,136
Community Services,7/18/2015,46,134
Community Services,8/1/2015,46,132
Community Services,11/7/2015,46,143
Coroner                       ,5/11/2013,0,19
Coroner                       ,3/1/2014,0,19
Coroner                       ,5/7/2016,0,14
Coroner                       ,5/20/2017,0,14
Corrections                   ,5/26/2012,144,526
Corrections                   ,2/2/2013,143,533
Corrections                   ,8/3/2013,113,538
Corrections                   ,8/16/2014,119,516
Corrections                   ,8/27/2016,134,541
Corrections                   ,12/3/2016,152,543
County Attorney               ,12/10/2011,0,94
County Attorney               ,3/31/2012,1,91
County Attorney               ,10/27/2012,0,92
County Attorney               ,9/28/2013,0,94
County Attorney               ,5/23/2015,0,95
County Attorney               ,8/26/2017,0,105
Dept of Information Technology,10/12/2013,15,59
Dept of Information Technology,12/6/2014,17,52
Dept of Information Technology,4/11/2015,12,51
Dept of Information Technology,8/1/2015,8,54
Dept of Information Technology,11/21/2015,7,54
Dept of Information Technology,2/13/2016,8,55
Develop Louisville,7/7/2012,27,84
Develop Louisville,12/8/2012,25,95
Develop Louisville,7/19/2014,27,120
Develop Louisville,1/3/2015,19,101
Develop Louisville,1/17/2015,17,108
Develop Louisville,1/30/2016,21,118
Develop Louisville,5/20/2017,14,116
Econ Growth & Innovation ,11/26/2011,3,24
Econ Growth & Innovation ,3/2/2013,3,27
Econ Growth & Innovation ,3/12/2016,0,24
Econ Growth & Innovation ,6/4/2016,0,25
Econ Growth & Innovation ,7/1/2017,0,26
Econ Growth & Innovation-APCD,3/14/2015,14,56
Econ Growth & Innovation-APCD,7/18/2015,13,54
Econ Growth & Innovation-APCD,11/7/2015,16,53
Emergency Mgt Agency/MetroSafe,3/3/2012,31,187
Emergency Mgt Agency/MetroSafe,9/9/2017,41,184
Fire & Rescue                 ,10/29/2011,52,457
Fire & Rescue                 ,10/11/2014,68,482
Fire & Rescue                 ,9/9/2017,55,484
Fleet & Facilities,2/18/2012,81,198
Fleet & Facilities,5/9/2015,55,201
Fleet & Facilities,8/13/2016,56,203
Fleet & Facilities,9/10/2016,59,202
Fleet & Facilities,8/12/2017,62,187
Human Relations Commission    ,10/27/2012,4,16
Human Relations Commission    ,12/7/2013,1,16
Human Relations Commission    ,2/28/2015,2,22
Human Relations Commission    ,8/29/2015,1,20
Human Resources,12/24/2011,5,40
Human Resources,7/7/2012,5,32
Human Resources,5/24/2014,4,38
Human Resources,1/30/2016,5,38
Internal Auditor              ,10/13/2012,0,7
Internal Auditor              ,6/22/2013,0,7
Internal Auditor              ,7/6/2013,0,7
Internal Auditor              ,5/24/2014,0,6
Internal Auditor              ,8/15/2015,0,7
Internal Auditor              ,10/24/2015,0,6
Internal Auditor              ,10/8/2016,2,7
Kentuckiana Works Foundation,1/7/2012,6,15
Kentuckiana Works Foundation,1/21/2012,5,15
Kentuckiana Works Foundation,10/13/2012,4,16
Kentuckiana Works Foundation,1/2/2016,0,22
Library,4/28/2012,45,296
Library,3/1/2014,42,283
Library,10/25/2014,33,288
Library,12/6/2014,33,289
Library,1/16/2016,42,286
Library,5/7/2016,47,298
Library,11/5/2016,55,297
Library,1/14/2017,53,294
Library,5/6/2017,44,296
Louisville Metro Council      ,9/15/2012,11,88
Louisville Metro Council      ,12/8/2012,13,86
Louisville Metro Council      ,12/21/2013,13,86
Louisville Metro Council      ,7/19/2014,16,84
Louisville Metro Council      ,9/27/2014,16,82
Louisville Metro Council      ,1/3/2015,14,79
Louisville Metro Council      ,10/24/2015,8,78
Louisville Metro Council      ,5/21/2016,15,78
Louisville Metro Council      ,5/20/2017,8,78
Louisville Metro EMS,4/26/2014,12,243
Louisville Metro EMS,8/2/2014,8,239
Louisville Metro EMS,8/30/2014,9,244
Louisville Metro EMS,6/6/2015,17,246
Louisville Metro EMS,8/1/2015,24,243
Louisville Metro EMS,2/13/2016,27,254
Mayor's Office                ,10/12/2013,2,20
Mayor's Office                ,2/15/2014,2,21
Mayor's Office                ,4/11/2015,3,20
Belle of Louisville           ,9/15/2012,3,60
Belle of Louisville           ,9/27/2014,4,62
Belle of Louisville           ,3/14/2015,4,29
Belle of Louisville           ,7/18/2015,3,66
Belle of Louisville           ,10/24/2015,4,58
Belle of Louisville           ,5/21/2016,1,61
Belle of Louisville           ,6/17/2017,4,69
Codes & Regulations,10/27/2012,33,127
Codes & Regulations,3/2/2013,21,122
Codes & Regulations,5/11/2013,16,123
Codes & Regulations,8/31/2013,17,119
Codes & Regulations,3/1/2014,20,124
Codes & Regulations,5/6/2017,43,148
Codes & Regulations,7/1/2017,39,154
Commonwealth Attorney         ,10/27/2012,0,20
Community Services,10/27/2012,97,245
Community Services,5/6/2017,55,130
Community Services,7/1/2017,58,131
Coroner                       ,8/18/2012,0,18
Coroner                       ,10/12/2013,0,20
Coroner                       ,12/6/2014,0,18
Coroner                       ,11/7/2015,0,15
Coroner                       ,12/3/2016,0,16
Corrections                   ,10/1/2011,172,546
Corrections                   ,6/9/2012,146,525
Corrections                   ,2/14/2015,116,522
Corrections                   ,9/10/2016,139,539
Corrections                   ,4/22/2017,189,547
County Attorney               ,10/15/2011,0,93
County Attorney               ,12/24/2011,0,94
County Attorney               ,7/6/2013,0,94
County Attorney               ,8/16/2014,0,94
County Attorney               ,6/20/2015,0,94
County Attorney               ,1/30/2016,0,101
County Attorney               ,10/22/2016,0,101
Dept of Information Technology,3/2/2013,13,59
Dept of Information Technology,5/11/2013,16,58
Dept of Information Technology,8/31/2013,15,60
Dept of Information Technology,3/1/2014,14,57
Dept of Information Technology,6/7/2014,15,51
Dept of Information Technology,7/1/2017,10,60
Develop Louisville,6/8/2013,19,99
Develop Louisville,11/9/2013,17,104
Develop Louisville,2/15/2014,24,106
Develop Louisville,10/25/2014,21,117
Develop Louisville,1/31/2015,16,111
Develop Louisville,5/23/2015,24,118
Develop Louisville,1/16/2016,17,122
Develop Louisville,2/27/2016,17,117
Develop Louisville,7/29/2017,17,112
Econ Growth & Innovation ,11/12/2011,4,25
