SFY,All Funding Sources,AGE,Test Type,# of Tests
2008-2009,All,14,""VDRL, RPR, ART"",288
2008-2009,All,14,Gonorrhea,586
2008-2009,All,14,Pap Smear,59
2008-2009,All,14,Chlamydia,814
2008-2009,All,14,Pelvic Exam,61
2008-2009,All,14,Ova/ Parasites,24
2008-2009,All,14,Total Cholesterol,915
2008-2009,All,15,Sickle Cell,81
2008-2009,All,15,Blood Lead,210
2008-2009,All,15,Lead Test,996
2008-2009,All,15,Lead Referral,131
2008-2009,All,15,""VDRL, RPR, ART"",599
2008-2009,All,15,Gonorrhea,1151
2008-2009,All,15,Pap Smear,106
2008-2009,All,15,Chlamydia,1528
2008-2009,All,15,Pelvic Exam,75
2008-2009,All,15,Ova/ Parasites,
2008-2009,All,15,Total Cholesterol,856
2008-2009,All,16,Sickle Cell,66
2008-2009,All,16,Blood Lead,168
2008-2009,All,16,Lead Test,910
2008-2009,All,16,Lead Referral,90
2008-2009,All,16,""VDRL, RPR, ART"",1023
2008-2009,All,16,Gonorrhea,1842
2008-2009,All,16,Pap Smear,168
2008-2009,All,16,Chlamydia,2271
2008-2009,All,16,Pelvic Exam,158
2008-2009,All,16,Ova/ Parasites,18
2008-2009,All,16,Total Cholesterol,816
2008-2009,All,17,Sickle Cell,64
2008-2009,All,17,Blood Lead,158
2008-2009,All,17,Lead Test,836
2008-2009,All,17,Lead Referral,92
2008-2009,All,17,""VDRL, RPR, ART"",1911
2008-2009,All,17,Gonorrhea,2688
2008-2009,All,17,Pap Smear,212
2008-2009,All,17,Chlamydia,3072
2008-2009,All,17,Pelvic Exam,254
2008-2009,All,17,Ova/ Parasites,15
2008-2009,All,17,Total Cholesterol,747
2008-2009,All,18,Sickle Cell,57
2008-2009,All,18,Blood Lead,73
2008-2009,All,18,Lead Test,476
2008-2009,All,18,Lead Referral,62
2008-2009,All,18,""VDRL, RPR, ART"",2823
2008-2009,All,18,Gonorrhea,3330
2008-2009,All,18,Pap Smear,160
2008-2009,All,18,Chlamydia,3488
2008-2009,All,18,Pelvic Exam,257
2008-2009,All,18,Ova/ Parasites,
2008-2009,All,18,Total Cholesterol,461
2008-2009,All,19,Sickle Cell,0
2008-2009,All,19,Blood Lead,
2008-2009,All,19,Lead Test,60
2008-2009,All,19,Lead Referral,
2008-2009,All,19,""VDRL, RPR, ART"",50
2008-2009,All,19,Gonorrhea,154
2008-2009,All,19,Pap Smear,94
2008-2009,All,19,Chlamydia,227
2008-2009,All,19,Pelvic Exam,86
2008-2009,All,19,Ova/ Parasites,0
2008-2009,All,19,Total Cholesterol,69
2008-2009,All,20,Sickle Cell,
2008-2009,All,20,Blood Lead,
2008-2009,All,20,Lead Test,82
2008-2009,All,20,Lead Referral,
2008-2009,All,20,""VDRL, RPR, ART"",18
2008-2009,All,20,Gonorrhea,136
2008-2009,All,20,Pap Smear,88
2008-2009,All,20,Chlamydia,165
2008-2009,All,20,Pelvic Exam,67
2008-2009,All,20,Ova/ Parasites,0
2008-2009,All,20,Total Cholesterol,
2008-2009,All,Unknown,Sickle Cell,0
2008-2009,All,Unknown,Blood Lead,14
2008-2009,All,Unknown,Lead Test,73
2008-2009,All,Unknown,Lead Referral,
2008-2009,All,Unknown,""VDRL, RPR, ART"",0
2008-2009,All,Unknown,Gonorrhea,0
2008-2009,All,Unknown,Pap Smear,
2008-2009,All,Unknown,Chlamydia,
2008-2009,All,Unknown,Pelvic Exam,
2008-2009,All,Unknown,Ova/ Parasites,0
2008-2009,All,Unknown,Total Cholesterol,
2008-2009,FFS,0,Sickle Cell,
2008-2009,FFS,0,Blood Lead,1195
2008-2009,FFS,0,Lead Test,1274
2008-2009,FFS,0,Lead Referral,224
2008-2009,FFS,0,""VDRL, RPR, ART"",
2008-2009,FFS,0,Gonorrhea,
2008-2009,FFS,0,Pap Smear,0
2008-2009,FFS,0,Chlamydia,0
2008-2009,FFS,0,Pelvic Exam,
2008-2009,FFS,0,Ova/ Parasites,
2008-2009,FFS,0,Total Cholesterol,
2008-2009,FFS,1,Sickle Cell,25
2008-2009,FFS,1,Blood Lead,8578
2008-2009,FFS,1,Lead Test,10114
2008-2009,FFS,1,Lead Referral,1720
2008-2009,FFS,1,""VDRL, RPR, ART"",0
2008-2009,FFS,1,Gonorrhea,0
2008-2009,FFS,1,Pap Smear,0
2008-2009,FFS,1,Chlamydia,0
2008-2009,FFS,1,Pelvic Exam,
2008-2009,FFS,1,Ova/ Parasites,
2008-2009,FFS,1,Total Cholesterol,
2008-2009,FFS,2,Sickle Cell,12
2008-2009,FFS,2,Blood Lead,6340
2008-2009,FFS,2,Lead Test,7276
2008-2009,FFS,2,Lead Referral,1154
2008-2009,FFS,2,""VDRL, RPR, ART"",
2008-2009,FFS,2,Gonorrhea,0
2008-2009,FFS,2,Pap Smear,
2008-2009,FFS,2,Chlamydia,0
2008-2009,FFS,2,Pelvic Exam,0
2008-2009,FFS,2,Ova/ Parasites,
2008-2009,FFS,2,Total Cholesterol,
2008-2009,FFS,3,Sickle Cell,
2008-2009,FFS,3,Blood Lead,1956
2008-2009,FFS,3,Lead Test,2467
2008-2009,FFS,3,Lead Referral,377
2008-2009,FFS,3,""VDRL, RPR, ART"",
2008-2009,FFS,3,Gonorrhea,0
2008-2009,FFS,3,Pap Smear,
2008-2009,FFS,3,Chlamydia,0
2008-2009,FFS,3,Pelvic Exam,0
2008-2009,FFS,3,Ova/ Parasites,
2008-2009,FFS,3,Total Cholesterol,
2008-2009,FFS,4,Sickle Cell,
2008-2009,FFS,4,Blood Lead,1992
2008-2009,FFS,4,Lead Test,2475
2008-2009,FFS,4,Lead Referral,439
2008-2009,FFS,4,""VDRL, RPR, ART"",0
2008-2009,FFS,4,Gonorrhea,0
2008-2009,FFS,4,Pap Smear,0
2008-2009,FFS,4,Chlamydia,0
2008-2009,FFS,4,Pelvic Exam,
2008-2009,FFS,4,Ova/ Parasites,
2008-2009,FFS,4,Total Cholesterol,
2008-2009,FFS,5,Sickle Cell,0
2008-2009,FFS,5,Blood Lead,813
2008-2009,FFS,5,Lead Test,1186
2008-2009,FFS,5,Lead Referral,195
2008-2009,FFS,5,""VDRL, RPR, ART"",
2008-2009,FFS,5,Gonorrhea,0
2008-2009,FFS,5,Pap Smear,0
2008-2009,FFS,5,Chlamydia,0
2008-2009,FFS,5,Pelvic Exam,
2008-2009,FFS,5,Ova/ Parasites,
2008-2009,FFS,5,Total Cholesterol,
2008-2009,FFS,6,Sickle Cell,
2008-2009,FFS,6,Blood Lead,226
2008-2009,FFS,6,Lead Test,352
2008-2009,FFS,6,Lead Referral,65
2008-2009,FFS,6,""VDRL, RPR, ART"",
2008-2009,FFS,6,Gonorrhea,
2008-2009,FFS,6,Pap Smear,0
2008-2009,FFS,6,Chlamydia,
2008-2009,FFS,6,Pelvic Exam,0
2008-2009,FFS,6,Ova/ Parasites,
2008-2009,FFS,6,Total Cholesterol,
2008-2009,FFS,7,Sickle Cell,
2008-2009,FFS,7,Blood Lead,69
2008-2009,FFS,7,Lead Test,112
2008-2009,FFS,7,Lead Referral,
2008-2009,FFS,7,""VDRL, RPR, ART"",0
2008-2009,FFS,7,Gonorrhea,
2008-2009,FFS,7,Pap Smear,0
2008-2009,FFS,7,Chlamydia,
2008-2009,FFS,7,Pelvic Exam,0
2008-2009,FFS,7,Ova/ Parasites,
2008-2009,FFS,7,Total Cholesterol,28
2008-2009,FFS,8,Sickle Cell,
2008-2009,FFS,8,Blood Lead,49
2008-2009,FFS,8,Lead Test,71
2008-2009,FFS,8,Lead Referral,
2008-2009,FFS,8,""VDRL, RPR, ART"",
2008-2009,FFS,8,Gonorrhea,0
2008-2009,FFS,8,Pap Smear,0
2008-2009,FFS,8,Chlamydia,0
2008-2009,FFS,8,Pelvic Exam,0
2008-2009,FFS,8,Ova/ Parasites,
2008-2009,FFS,8,Total Cholesterol,31
2008-2009,FFS,9,Sickle Cell,
2008-2009,FFS,9,Blood Lead,49
2008-2009,FFS,9,Lead Test,84
2008-2009,FFS,9,Lead Referral,
2008-2009,FFS,9,""VDRL, RPR, ART"",
2008-2009,FFS,9,Gonorrhea,0
2008-2009,FFS,9,Pap Smear,0
2008-2009,FFS,9,Chlamydia,
2008-2009,FFS,9,Pelvic Exam,
2008-2009,FFS,9,Ova/ Parasites,
2008-2009,FFS,9,Total Cholesterol,34
2008-2009,FFS,10,Sickle Cell,
2008-2009,FFS,10,Blood Lead,45
2008-2009,FFS,10,Lead Test,74
2008-2009,FFS,10,Lead Referral,
2008-2009,FFS,10,""VDRL, RPR, ART"",
2008-2009,FFS,10,Gonorrhea,0
2008-2009,FFS,10,Pap Smear,0
2008-2009,FFS,10,Chlamydia,
2008-2009,FFS,10,Pelvic Exam,0
2008-2009,FFS,10,Ova/ Parasites,
2008-2009,FFS,10,Total Cholesterol,28
2008-2009,FFS,11,Sickle Cell,0
2008-2009,FFS,11,Blood Lead,
2008-2009,FFS,11,Lead Test,72
2008-2009,FFS,11,Lead Referral,
2008-2009,FFS,11,""VDRL, RPR, ART"",
2008-2009,FFS,11,Gonorrhea,
2008-2009,FFS,11,Pap Smear,
2008-2009,FFS,11,Chlamydia,
2008-2009,FFS,11,Pelvic Exam,0
2008-2009,FFS,11,Ova/ Parasites,
2008-2009,FFS,11,Total Cholesterol,48
2008-2009,FFS,12,Sickle Cell,
2008-2009,FFS,12,Blood Lead,40
2008-2009,FFS,12,Lead Test,72
2008-2009,FFS,12,Lead Referral,
2008-2009,FFS,12,""VDRL, RPR, ART"",
2008-2009,FFS,12,Gonorrhea,25
2008-2009,FFS,12,Pap Smear,
2008-2009,FFS,12,Chlamydia,
2008-2009,FFS,12,Pelvic Exam,
2008-2009,FFS,12,Ova/ Parasites,
2008-2009,FFS,12,Total Cholesterol,44
2008-2009,FFS,13,Sickle Cell,
2008-2009,FFS,13,Blood Lead,
2008-2009,FFS,13,Lead Test,89
2008-2009,FFS,13,Lead Referral,
2008-2009,FFS,13,""VDRL, RPR, ART"",
2008-2009,FFS,13,Gonorrhea,48
2008-2009,FFS,13,Pap Smear,
2008-2009,FFS,13,Chlamydia,50
2008-2009,FFS,13,Pelvic Exam,
2008-2009,FFS,13,Ova/ Parasites,
2008-2009,FFS,13,Total Cholesterol,34
2008-2009,FFS,14,Sickle Cell,
2008-2009,FFS,14,Blood Lead,21
2008-2009,FFS,14,Lead Test,69
2008-2009,FFS,14,Lead Referral,
2008-2009,FFS,14,""VDRL, RPR, ART"",33
2008-2009,FFS,14,Gonorrhea,71
2008-2009,FFS,14,Pap Smear,
2008-2009,FFS,14,Chlamydia,77
2008-2009,FFS,14,Pelvic Exam,
2008-2009,FFS,14,Ova/ Parasites,
2008-2009,FFS,14,Total Cholesterol,63
2008-2009,FFS,15,Sickle Cell,
2008-2009,FFS,15,Blood Lead,
2008-2009,FFS,15,Lead Test,72
2008-2009,FFS,15,Lead Referral,
2008-2009,FFS,15,""VDRL, RPR, ART"",63
2008-2009,FFS,15,Gonorrhea,134
2008-2009,FFS,15,Pap Smear,21
2008-2009,FFS,15,Chlamydia,145
2008-2009,FFS,15,Pelvic Exam,12
2008-2009,FFS,15,Ova/ Parasites,0
2008-2009,FFS,15,Total Cholesterol,62
2008-2009,FFS,16,Sickle Cell,
2008-2009,FFS,16,Blood Lead,
2008-2009,FFS,16,Lead Test,54
2008-2009,FFS,16,Lead Referral,
2008-2009,FFS,16,""VDRL, RPR, ART"",55
2008-2009,FFS,16,Gonorrhea,119
2008-2009,FFS,16,Pap Smear,19
2008-2009,FFS,16,Chlamydia,155
2008-2009,FFS,16,Pelvic Exam,
2008-2009,FFS,16,Ova/ Parasites,
2008-2009,FFS,16,Total Cholesterol,48
2008-2009,FFS,17,Sickle Cell,
2008-2009,FFS,17,Blood Lead,
2008-2009,FFS,17,Lead Test,58
2008-2009,FFS,17,Lead Referral,
2008-2009,FFS,17,""VDRL, RPR, ART"",75
2008-2009,FFS,17,Gonorrhea,150
2008-2009,FFS,17,Pap Smear,29
2008-2009,FFS,17,Chlamydia,171
2008-2009,FFS,17,Pelvic Exam,
2008-2009,FFS,17,Ova/ Parasites,
2008-2009,FFS,17,Total Cholesterol,64
2008-2009,FFS,18,Sickle Cell,
2008-2009,FFS,18,Blood Lead,
2008-2009,FFS,18,Lead Test,
2008-2009,FFS,18,Lead Referral,
2008-2009,FFS,18,""VDRL, RPR, ART"",28
2008-2009,FFS,18,Gonorrhea,60
2008-2009,FFS,18,Pap Smear,
2008-2009,FFS,18,Chlamydia,64
2008-2009,FFS,18,Pelvic Exam,
2008-2009,FFS,18,Ova/ Parasites,
2008-2009,FFS,18,Total Cholesterol,19
2008-2009,FFS,19,Sickle Cell,0
2008-2009,FFS,19,Blood Lead,0
2008-2009,FFS,19,Lead Test,
2008-2009,FFS,19,Lead Referral,0
2008-2009,FFS,19,""VDRL, RPR, ART"",
2008-2009,FFS,19,Gonorrhea,19
2008-2009,FFS,19,Pap Smear,14
2008-2009,FFS,19,Chlamydia,20
2008-2009,FFS,19,Pelvic Exam,12
2008-2009,FFS,19,Ova/ Parasites,0
2008-2009,FFS,19,Total Cholesterol,12
2008-2009,FFS,20,Sickle Cell,0
2008-2009,FFS,20,Blood Lead,0
2008-2009,FFS,20,Lead Test,0
2008-2009,FFS,20,Lead Referral,
2008-2009,FFS,20,""VDRL, RPR, ART"",
2008-2009,FFS,20,Gonorrhea,13
2008-2009,FFS,20,Pap Smear,
2008-2009,FFS,20,Chlamydia,12
2008-2009,FFS,20,Pelvic Exam,
2008-2009,FFS,20,Ova/ Parasites,0
2008-2009,FFS,20,Total Cholesterol,
2008-2009,FFS,UNKNOWN,Sickle Cell,0
2008-2009,FFS,UNKNOWN,Blood Lead,0
2008-2009,FFS,UNKNOWN,Lead Test,0
2008-2009,FFS,UNKNOWN,Lead Referral,0
2008-2009,FFS,UNKNOWN,""VDRL, RPR, ART"",0
2008-2009,FFS,UNKNOWN,Gonorrhea,0
2008-2009,FFS,UNKNOWN,Pap Smear,0
2008-2009,FFS,UNKNOWN,Chlamydia,0
2008-2009,FFS,UNKNOWN,Pelvic Exam,0
2008-2009,FFS,UNKNOWN,Ova/ Parasites,0
2008-2009,FFS,UNKNOWN,Total Cholesterol,0
2008-2009,GFS,0,Sickle Cell,
2008-2009,GFS,0,Blood Lead,
2008-2009,GFS,0,Lead Test,
2008-2009,GFS,0,Lead Referral,89
2008-2009,GFS,0,""VDRL, RPR, ART"",0
2008-2009,GFS,0,Gonorrhea,
2008-2009,GFS,0,Pap Smear,0
2008-2009,GFS,0,Chlamydia,
2008-2009,GFS,0,Pelvic Exam,0
2008-2009,GFS,0,Ova/ Parasites,
2008-2009,GFS,0,Total Cholesterol,0
2008-2009,GFS,1,Sickle Cell,18
2008-2009,GFS,1,Blood Lead,3687
2008-2009,GFS,1,Lead Test,6731
2008-2009,GFS,1,Lead Referral,
2008-2009,GFS,1,""VDRL, RPR, ART"",
2008-2009,GFS,1,Gonorrhea,
2008-2009,GFS,1,Pap Smear,
2008-2009,GFS,1,Chlamydia,
2008-2009,GFS,1,Pelvic Exam,0
2008-2009,GFS,1,Ova/ Parasites,
2008-2009,GFS,1,Total Cholesterol,
2008-2009,GFS,2,Sickle Cell,24
2008-2009,GFS,2,Blood Lead,2916
2008-2009,GFS,2,Lead Test,5485
2008-2009,GFS,2,Lead Referral,509
2008-2009,GFS,2,""VDRL, RPR, ART"",
2008-2009,GFS,2,Gonorrhea,0
2008-2009,GFS,2,Pap Smear,
2008-2009,GFS,2,Chlamydia,
2008-2009,GFS,2,Pelvic Exam,0
2008-2009,GFS,2,Ova/ Parasites,
2008-2009,GFS,2,Total Cholesterol,
2008-2009,GFS,3,Sickle Cell,24
2008-2009,GFS,3,Blood Lead,1844
2008-2009,GFS,3,Lead Test,3340
2008-2009,GFS,3,Lead Referral,
2008-2009,GFS,3,""VDRL, RPR, ART"",
2008-2009,GFS,3,Gonorrhea,0
2008-2009,GFS,3,Pap Smear,0
2008-2009,GFS,3,Chlamydia,0
2008-2009,GFS,3,Pelvic Exam,0
2008-2009,GFS,3,Ova/ Parasites,
2008-2009,GFS,3,Total Cholesterol,29
2008-2009,GFS,4,Sickle Cell,34
2008-2009,GFS,4,Blood Lead,2226
2008-2009,GFS,4,Lead Test,4179
2008-2009,GFS,4,Lead Referral,291
2008-2009,GFS,4,""VDRL, RPR, ART"",0
2008-2009,GFS,4,Gonorrhea,0
2008-2009,GFS,4,Pap Smear,
2008-2009,GFS,4,Chlamydia,0
2008-2009,GFS,4,Pelvic Exam,0
2008-2009,GFS,4,Ova/ Parasites,
2008-2009,GFS,4,Total Cholesterol,64
2008-2009,GFS,5,Sickle Cell,
2008-2009,GFS,5,Blood Lead,1318
2008-2009,GFS,5,Lead Test,2564
2008-2009,GFS,5,Lead Referral,
2008-2009,GFS,5,""VDRL, RPR, ART"",0
2008-2009,GFS,5,Gonorrhea,
2008-2009,GFS,5,Pap Smear,
2008-2009,GFS,5,Chlamydia,
2008-2009,GFS,5,Pelvic Exam,0
2008-2009,GFS,5,Ova/ Parasites,
2008-2009,GFS,5,Total Cholesterol,58
2008-2009,GFS,6,Sickle Cell,11
2008-2009,GFS,6,Blood Lead,314
2008-2009,GFS,6,Lead Test,766
2008-2009,GFS,6,Lead Referral,
2008-2009,GFS,6,""VDRL, RPR, ART"",
2008-2009,GFS,6,Gonorrhea,
2008-2009,GFS,6,Pap Smear,0
2008-2009,GFS,6,Chlamydia,
2008-2009,GFS,6,Pelvic Exam,0
2008-2009,GFS,6,Ova/ Parasites,
2008-2009,GFS,6,Total Cholesterol,84
2008-2009,GFS,7,Sickle Cell,16
2008-2009,GFS,7,Blood Lead,99
2008-2009,GFS,7,Lead Test,261
2008-2009,GFS,7,Lead Referral,36
2008-2009,GFS,7,""VDRL, RPR, ART"",
2008-2009,GFS,7,Gonorrhea,0
2008-2009,GFS,7,Pap Smear,0
2008-2009,GFS,7,Chlamydia,0
2008-2009,GFS,7,Pelvic Exam,
2008-2009,GFS,7,Ova/ Parasites,
2008-2009,GFS,7,Total Cholesterol,74
2008-2009,GFS,8,Sickle Cell,22
2008-2009,GFS,8,Blood Lead,84
2008-2009,GFS,8,Lead Test,233
2008-2009,GFS,8,Lead Referral,23
2008-2009,GFS,8,""VDRL, RPR, ART"",0
2008-2009,GFS,8,Gonorrhea,0
2008-2009,GFS,8,Pap Smear,0
2008-2009,GFS,8,Chlamydia,
2008-2009,GFS,8,Pelvic Exam,
2008-2009,GFS,8,Ova/ Parasites,
2008-2009,GFS,8,Total Cholesterol,95
2008-2009,GFS,9,Sickle Cell,16
2008-2009,GFS,9,Blood Lead,54
2008-2009,GFS,9,Lead Test,201
2008-2009,GFS,9,Lead Referral,32
2008-2009,GFS,9,""VDRL, RPR, ART"",
2008-2009,GFS,9,Gonorrhea,0
2008-2009,GFS,9,Pap Smear,0
2008-2009,GFS,9,Chlamydia,19
2008-2009,GFS,9,Pelvic Exam,0
2008-2009,GFS,9,Ova/ Parasites,
2008-2009,GFS,9,Total Cholesterol,127
2008-2009,GFS,10,Sickle Cell,20
2008-2009,GFS,10,Blood Lead,59
2008-2009,GFS,10,Lead Test,196
2008-2009,GFS,10,Lead Referral,21
2008-2009,GFS,10,""VDRL, RPR, ART"",
2008-2009,GFS,10,Gonorrhea,0
2008-2009,GFS,10,Pap Smear,0
2008-2009,GFS,10,Chlamydia,17
2008-2009,GFS,10,Pelvic Exam,0
2008-2009,GFS,10,Ova/ Parasites,
2008-2009,GFS,10,Total Cholesterol,119
2008-2009,GFS,11,Sickle Cell,
2008-2009,GFS,11,Blood Lead,63
2008-2009,GFS,11,Lead Test,226
2008-2009,GFS,11,Lead Referral,34
2008-2009,GFS,11,""VDRL, RPR, ART"",
2008-2009,GFS,11,Gonorrhea,
2008-2009,GFS,11,Pap Smear,0
2008-2009,GFS,11,Chlamydia,23
2008-2009,GFS,11,Pelvic Exam,0
2008-2009,GFS,11,Ova/ Parasites,
2008-2009,GFS,11,Total Cholesterol,180
2008-2009,GFS,12,Sickle Cell,19
2008-2009,GFS,12,Blood Lead,56
2008-2009,GFS,12,Lead Test,241
2008-2009,GFS,12,Lead Referral,31
2008-2009,GFS,12,""VDRL, RPR, ART"",
2008-2009,GFS,12,Gonorrhea,
2008-2009,GFS,12,Pap Smear,0
2008-2009,GFS,12,Chlamydia,29
2008-2009,GFS,12,Pelvic Exam,0
2008-2009,GFS,12,Ova/ Parasites,
2008-2009,GFS,12,Total Cholesterol,139
2008-2009,GFS,13,Sickle Cell,22
2008-2009,GFS,13,Blood Lead,60
2008-2009,GFS,13,Lead Test,212
2008-2009,GFS,13,Lead Referral,24
2008-2009,GFS,13,""VDRL, RPR, ART"",19
2008-2009,GFS,13,Gonorrhea,
2008-2009,GFS,13,Pap Smear,0
2008-2009,GFS,13,Chlamydia,
2008-2009,GFS,13,Pelvic Exam,
2008-2009,GFS,13,Ova/ Parasites,
2008-2009,GFS,13,Total Cholesterol,152
2008-2009,GFS,14,Sickle Cell,26
2008-2009,GFS,14,Blood Lead,45
2008-2009,GFS,14,Lead Test,227
2008-2009,GFS,14,Lead Referral,26
2008-2009,GFS,14,""VDRL, RPR, ART"",60
2008-2009,GFS,14,Gonorrhea,93
2008-2009,GFS,14,Pap Smear,
2008-2009,GFS,14,Chlamydia,103
2008-2009,GFS,14,Pelvic Exam,
