pid,season,EventId,StartDate,StartTime,Duration,WindowFans,Comments
D102,5,1,23AUG2006,10:00:00,1440,1,Brother has a window fan that is turned off and on throughout the day. Duration is unknown.
D106,5,1,08AUG2006,10:30:00,1440,1,BR1
D106,5,2,09AUG2006,10:00:00,645,1,BR1
D106,5,3,10AUG2006,0:00:00,465,1,BR
D106,5,4,11AUG2006,23:45:00,435,1,BR1
D108,5,1,01AUG2006,7:00:00,1440,1,window fan in BR1 is on all day
D108,5,2,02AUG2006,7:00:00,1440,1,window fan in BR1 was on all day
D108,5,3,04AUG2006,7:00:00,1440,1,Window fan in BR was open all day
D108,5,4,04AUG2006,7:00:00,1440,1,window fan in BR1 was on all day
D108,5,5,05AUG2006,7:00:00,1440,1,window fan in BR 1 was on all day
D109,5,1,11AUG2006,8:00:00,420,1,""LR,  A/C unit is equipped with a fan.""
D110,5,1,25JUL2006,7:00:00,1440,1,in one of the BR windows fan was running all day
D110,5,2,26JUL2006,7:00:00,1440,1,in window of BR1
D110,5,3,27JUL2006,7:00:00,1440,1,used in one window in BR1
D110,5,4,28JUL2006,7:00:00,1440,1,fan in one window in BR1
D110,5,5,29JUL2006,7:00:00,1440,1,""fan in window in BR1, left on all day""
D111,5,1,01AUG2006,7:00:00,1440,1,window fan in BR2 on all day
D111,5,2,02AUG2006,7:00:00,1440,1,window fan in BR2 was on all day
D111,5,3,03AUG2006,7:00:00,1440,1,BR2 window fan was on all day
D111,5,4,04AUG2006,7:00:00,1440,1,window fan in BR2 was on all day
D111,5,5,05AUG2006,7:00:00,1440,1,BR2 fan was on all day
D113,5,1,25JUL2006,9:45:00,555,1,1 BR window
D113,5,2,26JUL2006,11:45:00,1440,1,BR2
D113,5,3,27JUL2006,11:00:00,1440,1,BR2  window fan on all day.
D113,5,4,28JUL2006,10:00:00,1440,1,bedroom 1
D113,5,5,29JUL2006,11:00:00,1440,1,1 Bedroom
D116,5,1,08AUG2006,7:00:00,1440,1,window fan in DR window
D116,5,2,09AUG2006,7:00:00,1440,1,fan in window in DR
D116,5,3,10AUG2006,7:00:00,1440,1,window fan in DR window
D116,5,4,11AUG2006,7:00:00,1440,1,fan in DR window
D116,5,5,12AUG2006,7:00:00,1440,1,fan in DR was on all day long
D117,5,1,15AUG2006,22:00:00,540,1,side window in BR2 has a box fan that is turned on at night when participants friend goes to sleep
D117,5,2,17AUG2006,1:00:00,360,1,side window has fan in BR2 that is turned on when friend goes to bed
D117,5,3,17AUG2006,22:00:00,540,1,1 small window fan used in front window of BR1
D117,5,4,18AUG2006,7:00:00,150,1,1 big box fan used in side window of BR1
D117,5,5,18AUG2006,21:45:00,720,2,2 window fans in BR1 were on all night
D117,5,6,19AUG2006,23:00:00,540,2,1 small fan in back window of BR2 and 1 box fan in side window of BR1
D120,5,1,18JUL2006,7:00:00,1440,1,Window fan used in the BR upstairs all day
D120,5,2,19JUL2006,7:00:00,1440,2,Both bedroom window fans were on all day
D120,5,3,20JUL2006,7:00:00,1440,1,one of the window fan in the upstairs BR was on all day
D120,5,4,21JUL2006,7:00:00,1440,2,Both bedroom fans upstairs were on all day
D120,5,5,22JUL2006,7:00:00,1440,1,One of the BR fan was on all day
D123,5,1,01AUG2006,10:00:00,750,1,box fan in LR window on all day
D123,5,2,02AUG2006,9:00:00,45,1,box fan in LR window turned on before team arrived
D123,5,3,02AUG2006,10:00:00,1440,1,window in LR had fan in it running all day and night
D123,5,4,03AUG2006,11:00:00,1380,1,box fan in LR window was left on all day and night
D123,5,5,04AUG2006,10:30:00,1410,1,participant said the window fan in LR was used off and on all day
D123,5,6,05AUG2006,11:00:00,1380,1,window in LR had window fan running all day and night
D124,5,1,19JUL2006,8:15:00,1425,1,back bedroom has window open w/ a window fan in it at all times
D124,5,2,20JUL2006,8:00:00,1380,1,back BR window has fan in at all times
D139,5,1,18JUL2006,7:00:00,480,1,window fan in the KI was on
D139,5,2,19JUL2006,7:00:00,1440,1,Window fan in the KI was on all day
D139,5,3,20JUL2006,7:00:00,1440,1,window fan in the KI
I was on all day
D139,5,4,21JUL2006,7:00:00,1440,1,Window fan in the KI on all day
D139,5,5,22JUL2006,7:00:00,1440,1,Window fan in the KI was on all day
