site,plot,dbh (cm),species,status,condition,charred?,comments
BBE,18E,86,Pinus ponderosa,snag,eroded,yes,
BBE,18E,31,Pinus ponderosa,snag,sapwood,yes,
BBE,18F,39,Pseudotsuga menziesii,log,bark,yes,
BBE,18F,34,Pseudotsuga menziesii,log,bark,no,
BBE,18F,55,Pseudotsuga menziesii,snag,bark,no,
BBE,18F,64,Pinus ponderosa,snag,eroded,yes,
BBE,18F,26,Pseudotsuga menziesii,log,bark,no,
BBE,18F,47,Pseudotsuga menziesii,log,bark,no,
BBE,18F,37,Pseudotsuga menziesii,log,bark,no,
BBE,19C,49,unknown,snag,bark,no,
BBE,19C,52,unknown,log,eroded,no,
BBE,19C,28,unknown,log,bark,no,
BBE,19C,30,unknown,log,bark,yes,
BBE,19C,48,unknown,log,eroded,no,
BBE,19C,41,unknown,log,bark,no,
BBE,19E,38,Abies grandis-Abies concolor,snag,bark,no,
BBE,19E,42,unknown,snag,bark,no,
BBE,19E,43,Pseudotsuga menziesii,log,eroded,no,
BBE,19E,24,Larix occidentalis,log,sapwood,no,
BBE,19E,29,Pseudotsuga menziesii,snag,bark,no,
BBE,19E,22,Pseudotsuga menziesii,snag,bark,no,
BBE,19E,35,Pseudotsuga menziesii,snag,bark,no,
BBE,19F,21,Abies grandis-Abies concolor,snag,bark,no,
BBE,19F,22,Abies grandis-Abies concolor,snag,bark,no,
BBE,19F,21,Abies grandis-Abies concolor,log,bark,no,
BBE,19F,31,Pseudotsuga menziesii,log,eroded,no,
BBE,19F,30,Pseudotsuga menziesii,log,eroded,no,
BBE,19F,57,Pinus ponderosa,log,sapwood,no,
BBE,20C,35,Abies grandis-Abies concolor,snag,bark,no,
BBE,20C,27,Abies grandis-Abies concolor,snag,bark,no,
BBE,20C,136,Pinus ponderosa,stump,eroded,yes,scars sampled but do not know which tree number
BBE,20C,53,Abies grandis-Abies concolor,stump,bark,no,
BBE,20C,52,Pinus ponderosa,log,eroded,no,
BBE,20C,25,Pseudotsuga menziesii,snag,bark,no,
BBE,20C,37,Pseudotsuga menziesii,log,eroded,yes,
BBE,20C,30,Pinus ponderosa,snag,eroded,yes,
BBE,20C,29,Pinus ponderosa,log,eroded,no,
BBE,20C,33,Abies grandis-Abies concolor,stump,bark,yes,
BBE,20D,24,Larix occidentalis,log,bark,no,
BBE,20D,37,Abies grandis-Abies concolor,log,bark,no,
BBE,20D,30,Abies grandis-Abies concolor,snag,bark,no,
BBE,20D,24,Pseudotsuga menziesii,snag,bark,no,
BBE,20D,28,unknown,log,sapwood,no,
BBE,20D,24,Larix occidentalis,log,sapwood,no,
BBE,20D,27,Pseudotsuga menziesii,snag,bark,no,
BBE,20D,28,Pinus ponderosa,log,sapwood,no,
BBE,20E,77,unknown,log,bark,no,
BBE,20E,28,Abies grandis-Abies concolor,log,bark,no,
BBE,20E,41,unknown,log,eroded,no,
BBE,20E,25,unknown,log,sapwood,no,
BBE,20E,68,unknown,snag,eroded,no,
BBE,20E,40,unknown,snag,eroded,no,
BBE,20E,49,unknown,snag,bark,no,
BBE,20E,69,unknown,snag,bark,no,
BBE,20E,44,unknown,snag,bark,no,
BBE,20E,75,unknown,log,bark,no,
BBE,20E,38,unknown,snag,bark,no,
BBE,20E,46,unknown,snag,bark,no,
BBE,20E,25,Abies grandis-Abies concolor,snag,bark,no,
BBE,20E,25,unknown,log,bark,no,
BBE,20E,32,Abies grandis-Abies concolor,snag,bark,no,
BBE,20E,38,Abies grandis-Abies concolor,snag,bark,no,
BBE,20E,26,unknown,log,sapwood,no,
BBE,20E,38,unknown,snag,bark,no,
BBE,20E,26,unknown,log,eroded,no,
BBE,20E,23,Abies grandis-Abies concolor,snag,bark,no,
BBE,20E,31,Abies grandis-Abies concolor,snag,bark,no,
BBE,20E,20,unknown,log,eroded,no,
BBE,20F,31,Pinus ponderosa,log,sapwood,no,
BBE,20F,28,Pinus ponderosa,log,eroded,yes,
BBE,20F,21,Pinus ponderosa,log,eroded,yes,
BBE,21C,21,Abies grandis-Abies concolor,snag,bark,no,
BBE,21C,80,Pseudotsuga menziesii,log,eroded,no,
BBE,21C,29,Abies grandis-Abies concolor,log,bark,no,
BBE,21C,22,Abies grandis-Abies concolor,snag,bark,no,
BBE,21C,84,Pseudotsuga menziesii,log,bark,no,
BBE,21C,42,Abies grandis-Abies concolor,log,bark,no,
BBE,21C,46,Larix occidentalis,snag,bark,no,
BBE,21C,36,Abies grandis-Abies concolor,snag,bark,no,
BBE,21C,42,Larix occidentalis,log,sapwood,no,
BBE,21C,69,Abies grandis-Abies concolor,log,bark,no,
BBE,21C,25,Abies grandis-Abies concolor,snag,eroded,no,
BBE,21C,35,Abies grandis-Abies concolor,log,eroded,no,
BBE,21C,54,Abies grandis-Abies concolor,log,eroded,no,
BBE,21C,23,Abies grandis-Abies concolor,log,sapwood,no,
BBE,21C,38,Abies grandis-Abies concolor,snag,bark,no,
BBE,21C,96,Abies grandis-Abies concolor,snag,bark,no,
BBE,21C,66,Abies grandis-Abies concolor,snag,eroded,no,
BBE,21C,90,Abies grandis-Abies concolor,snag,eroded,no,
BBE,21D,66,Pseudotsuga menziesii,snag,eroded,yes,
BBE,21D,25,Pseudotsuga menziesii,log,bark,no,
BBE,21D,27,Pinus ponderosa,snag,bark,no,
BBE,21D,69,Pseudotsuga menziesii,snag,eroded,yes,
BBE,21D,60,Pseudotsuga menziesii,snag,eroded,no,
BBE,21D,62,Pseudotsuga menziesii,snag,bark,no,
BBE,21D,42,Larix occidentalis,snag,bark,yes,
BBE,21D,49,Pseudotsuga menziesii,snag,bark,no,
BBE,21D,65,Pinus ponderosa,stump,sapwood,no,
BBE,21D,65,Pseudotsuga menziesii,snag,bark,no,
BBE,21D,31,Pseudotsuga menziesii,snag,sapwood,yes,
BBE,21D,73,Abies grandis-Abies concolor,live,bark,no,
BBE,21D,48,Abies grandis-Abies concolor,live,bark,yes,
BBE,21D,53,Pseudotsuga menziesii,snag,bark,yes,
BBE,21D,51,Pseudotsuga menziesii,snag,bark,no,
BBE,21D,71,Pinus ponderosa,stump,sapwood,yes,
BBE,21D,38,Pseudotsuga menziesii,log,bark,no,
BBE,21D,32,Pseudotsuga menziesii,log,bark,no,
BBE,21D,37,Pseudotsuga menziesii,snag,bark,no,
BBE,21D,63,Larix occidentalis,snag,bark,no,
BBE,21D,30,Pseudotsuga menziesii,snag,bark,no,
BBE,21D,20,Abies grandis-Abies concolor,log,bark,no,
BBE,21D,28,Abies grandis-Abies concolor,log,bark,no,
BBE,21D,56,unknown,log,eroded,no,
BBE,21D,26,Larix occidentalis,snag,sapwood,no,
BBE,21D,47,unknown,log,eroded,no,
BBE,21D,31,Pinus ponderosa,snag,bark,no,
BBE,21E,74,Pseudotsuga menziesii,snag,bark,yes,
BBE,21E,72,Pseudotsuga menziesii,log,bark,no,
BBE,21E,44,Pseudotsuga menziesii,snag,eroded,yes,
BBE,22C,22,Abies grandis-Abies concolor,snag,bark,no,
BBE,22C,24,Pseudotsuga menziesii,snag,bark,no,
BBE,22C,26,Pseudotsuga menziesii,log,bark,no,
BBE,22C,27,Pseudotsuga menziesii,snag,bark,no,
BBE,22C,20,Pseudotsuga menziesii,log,sapwood,no,
BBE,22C,41,Pseudotsuga menziesii,log,eroded,no,
BBE,22C,101,Pseudotsuga menziesii,stump,bark,no,
BBE,22C,30,Pseudotsuga menziesii,log,bark,no,
BBE,22C,21,Pseudotsuga menziesii,log,sapwood,no,
BBE,22C,20,Pinus ponderosa,log,eroded,no,
BBE,22C,21,Pseudotsuga menziesii,log,bark,no,
BBE,22D,63,Pinus ponderosa,log,eroded,yes,
BBE,22D,72,Pinus ponderosa,stump,eroded,yes,
BBE,22D,64,Abies grandis-Abies concolor,snag,bark,yes,
BBE,22D,61,Pinus ponderosa,snag,eroded,yes,
BBE,22D,50,unknown,snag,eroded,yes,
BBE,22D,21,Abies grandis-Abies concolor,live,bark,no,
BBE,22E,80,Pseudotsuga menziesii,log,eroded,no,
BBE,22E,33,Larix occidentalis,snag,bark,no,
BBE,22E,132,Pinus ponderosa,snag,bark,no,
BBE,22E,23,Pinus ponderosa,snag,eroded,no,
BBE,22E,20,Abies grandis-Abies concolor,snag,bark,no,
BBE,22E,24,Abies grandis-Abies concolor,snag,bark,no,
BBE,22E,25,Abies grandis-Abies concolor,log,bark,no,
BBE,22E,37,Abies grandis-Abies concolor,log,bark,no,
BBE,22E,68,Pinus ponderosa,snag,sapwood,no,
BBE,22F,49,Pseudotsuga menziesii,log,eroded,no,
BBE,22F,41,unknown,log,eroded,no,
BBE,22F,20,Abies grandis-Abies concolor,snag,bark,no,
BBE,22F,22,Abies grandis-Abies concolor,snag,bark,no,
BBE,22F,23,Larix occidentalis,snag,bark,no,
BBE,22F,23,Abies grandis-Abies concolor,snag,bark,no,
BBE,22F,34,Abies grandis-Abies concolor,snag,bark,no,
BBE,22F,73,unknown,log,eroded,no,
