SFY,Fund_Source,Age,Total Children Receiving CHDP Services,% of Total Children Receiving CHDP Services,Total Amount Paid for CHDP Services,% of Total Amount Paid
2008-2009,All,15,56738,2.48%,"$1,618,131 ",2.82%
2008-2009,All,16,52229,2.28%,"$1,547,262 ",2.69%
2008-2009,All,17,46061,2.01%,"$1,436,824 ",2.50%
2008-2009,All,18,23903,1.04%,"$983,974 ",1.71%
2008-2009,All,19,5615,0.25%,"$54,615 ",0.10%
2008-2009,All,20,8471,0.37%,"$30,132 ",0.05%
2008-2009,All,Unknown,1063,0.05%,$0 ,0.00%
2008-2009,All,TOTAL,2291689,100.00%,"$57,436,517 ",100.00%
2008-2009,FFS,0,169699,41.75%,"$14,450,511 ",45.16%
2008-2009,FFS,1,48823,12.01%,"$5,157,938 ",16.12%
2008-2009,FFS,2,29241,7.19%,"$2,019,526 ",6.31%
2008-2009,FFS,3,24093,5.93%,"$1,469,429 ",4.59%
2008-2009,FFS,4,24753,6.09%,"$2,027,933 ",6.34%
2008-2009,FFS,5,15196,3.74%,"$936,424 ",2.93%
2008-2009,FFS,6,11394,2.80%,"$673,727 ",2.11%
2008-2009,FFS,7,8546,2.10%,"$476,159 ",1.49%
2008-2009,FFS,8,7901,1.94%,"$431,148 ",1.35%
2008-2009,FFS,9,7409,1.82%,"$413,673 ",1.29%
2008-2009,FFS,10,6599,1.62%,"$379,350 ",1.19%
2008-2009,FFS,11,8102,1.99%,"$522,681 ",1.63%
2008-2009,FFS,12,7074,1.74%,"$471,265 ",1.47%
2008-2009,FFS,13,6910,1.70%,"$458,562 ",1.43%
2008-2009,FFS,14,7199,1.77%,"$498,049 ",1.56%
2008-2009,FFS,15,7084,1.74%,"$489,349 ",1.53%
2008-2009,FFS,16,6577,1.62%,"$460,928 ",1.44%
2008-2009,FFS,17,6056,1.49%,"$420,366 ",1.31%
2008-2009,FFS,18,2507,0.62%,"$153,478 ",0.48%
2008-2009,FFS,19,871,0.21%,"$54,615 ",0.17%
2008-2009,FFS,20,470,0.12%,"$30,132 ",0.09%
2008-2009,FFS,UNKNOWN,0,0.00%,$0 ,0.00%
2008-2009,FFS,TOTAL,406504,100.00%,"$31,995,243 ",100.00%
2008-2009,GFS,0,91612,33.09%,"$7,363,856 ",31.33%
2008-2009,GFS,1,22723,8.21%,"$2,061,059 ",8.77%
2008-2009,GFS,2,13412,4.84%,"$947,086 ",4.03%
2008-2009,GFS,3,11876,4.29%,"$851,230 ",3.62%
2008-2009,GFS,4,15590,5.63%,"$1,448,444 ",6.16%
2008-2009,GFS,5,11367,4.11%,"$939,686 ",4.00%
2008-2009,GFS,6,8853,3.20%,"$682,612 ",2.90%
2008-2009,GFS,7,7015,2.53%,"$536,440 ",2.28%
2008-2009,GFS,8,6660,2.41%,"$511,291 ",2.18%
2008-2009,GFS,9,7213,2.61%,"$565,722 ",2.41%
2008-2009,GFS,10,7941,2.87%,"$639,751 ",2.72%
2008-2009,GFS,11,9249,3.34%,"$809,911 ",3.45%
2008-2009,GFS,12,8440,3.05%,"$794,888 ",3.38%
2008-2009,GFS,13,8514,3.08%,"$810,785 ",3.45%
2008-2009,GFS,14,9912,3.58%,"$952,989 ",4.05%
2008-2009,GFS,15,10147,3.67%,"$975,230 ",4.15%
2008-2009,GFS,16,9842,3.56%,"$944,815 ",4.02%
2008-2009,GFS,17,9235,3.34%,"$896,395 ",3.81%
2008-2009,GFS,18,7243,2.62%,"$773,596 ",3.29%
2008-2009,GFS,19,0,0.00%,$0 ,0.00%
2008-2009,GFS,20,0,0.00%,$0 ,0.00%
2008-2009,GFS,UNKNOWN,0,0.00%,$0 ,0.00%
2008-2009,GFS,TOTAL,276844,100.00%,"$23,505,786 ",100.00%
2008-2009,SFS,0,365,1.41%,"$26,400 ",1.36%
2008-2009,SFS,1,481,1.86%,"$43,309 ",2.24%
2008-2009,SFS,2,447,1.73%,"$32,795 ",1.69%
2008-2009,SFS,3,642,2.48%,"$45,863 ",2.37%
2008-2009,SFS,4,1215,4.70%,"$106,128 ",5.48%
2008-2009,SFS,5,1003,3.88%,"$69,405 ",3.59%
2008-2009,SFS,6,1235,4.78%,"$83,757 ",4.33%
2008-2009,SFS,7,1199,4.64%,"$81,105 ",4.19%
2008-2009,SFS,8,1309,5.06%,"$86,345 ",4.46%
2008-2009,SFS,9,1657,6.41%,"$109,327 ",5.65%
2008-2009,SFS,10,1837,7.10%,"$126,965 ",6.56%
2008-2009,SFS,11,2543,9.83%,"$186,995 ",9.66%
2008-2009,SFS,12,2044,7.90%,"$156,734 ",8.10%
2008-2009,SFS,13,1869,7.23%,"$145,875 ",7.54%
2008-2009,SFS,14,2083,8.05%,"$162,451 ",8.39%
2008-2009,SFS,15,1957,7.57%,"$153,552 ",7.93%
2008-2009,SFS,16,1796,6.94%,"$141,519 ",7.31%
2008-2009,SFS,17,1478,5.71%,"$120,063 ",6.20%
2008-2009,SFS,18,703,2.72%,"$56,900 ",2.94%
2008-2009,SFS,19,0,0.00%,$0 ,0.00%
2008-2009,SFS,20,0,0.00%,$0 ,0.00%
2008-2009,SFS,UNKNOWN,0,0.00%,$0 ,0.00%
2008-2009,SFS,TOTAL,25863,100.00%,"$1,935,488 ",100.00%
2008-2009,IFS,0,296081,18.72%,$0 ,0.00%
2008-2009,IFS,1,242967,15.36%,$0 ,0.00%
2008-2009,IFS,2,147889,9.35%,$0 ,0.00%
2008-2009,IFS,3,124618,7.88%,$0 ,0.00%
2008-2009,IFS,4,134477,8.50%,$0 ,0.00%
2008-2009,IFS,5,90684,5.73%,$0 ,0.00%
2008-2009,IFS,6,68753,4.35%,$0 ,0.00%
2008-2009,IFS,7,51266,3.24%,$0 ,0.00%
2008-2009,IFS,8,46534,2.94%,$0 ,0.00%
2008-2009,IFS,9,43946,2.78%,$0 ,0.00%
2008-2009,IFS,10,39297,2.48%,$0 ,0.00%
2008-2009,IFS,11,46447,2.94%,$0 ,0.00%
2008-2009,IFS,12,42067,2.66%,$0 ,0.00%
2008-2009,IFS,13,39190,2.48%,$0 ,0.00%
2008-2009,IFS,14,40148,2.54%,$0 ,0.00%
2008-2009,IFS,15,37550,2.37%,$0 ,0.00%
2008-2009,IFS,16,34014,2.15%,$0 ,0.00%
2008-2009,IFS,17,29292,1.85%,$0 ,0.00%
2008-2009,IFS,18,13450,0.85%,$0 ,0.00%
2008-2009,IFS,19,4744,0.30%,$0 ,0.00%
2008-2009,IFS,20,8001,0.51%,$0 ,0.00%
2008-2009,IFS,UNKNOWN,1063,0.07%,$0 ,0.00%
2008-2009,IFS,TOTAL,1581415,100.00%,$0 ,0.00%
2009-2010,All,0,557757,24.34%,"$21,840,767 ",38.03%
2009-2010,All,1,314994,13.75%,"$7,262,306 ",12.64%
2009-2010,All,2,190989,8.33%,"$2,999,407 ",5.22%
2009-2010,All,3,161229,7.04%,"$2,366,522 ",4.12%
2009-2010,All,4,176035,7.68%,"$3,582,505 ",6.24%
2009-2010,All,5,118250,5.16%,"$1,945,515 ",3.39%
2009-2010,All,6,90235,3.94%,"$1,440,096 ",2.51%
2009-2010,All,7,68026,2.97%,"$1,093,704 ",1.90%
2009-2010,All,8,62404,2.72%,"$1,028,784 ",1.79%
2009-2010,All,9,60225,2.63%,"$1,088,722 ",1.90%
2009-2010,All,10,55674,2.43%,"$1,146,066 ",2.00%
2009-2010,All,11,66341,2.89%,"$1,519,587 ",2.65%
2009-2010,All,12,59625,2.60%,"$1,422,887 ",2.48%
2009-2010,All,13,56483,2.46%,"$1,415,222 ",2.46%
2009-2010,All,14,59342,2.59%,"$1,613,489 ",2.81%
2009-2010,All,15,56738,2.48%,"$1,618,131 ",2.82%
2009-2010,All,16,52229,2.28%,"$1,547,262 ",2.69%
2009-2010,All,17,46061,2.01%,"$1,436,824 ",2.50%
2009-2010,All,18,23903,1.04%,"$983,974 ",1.71%
2009-2010,All,19,5615,0.25%,"$54,615 ",0.10%
2009-2010,All,20,8471,0.37%,"$30,132 ",0.05%
2009-2010,All,UNKNOWN,1063,0.05%,$0 ,0.00%
2009-2010,All,TOTAL,2291689,100.00%,"$57,436,517 ",100.00%
2009-2010,FFS,0,169699,41.75%,"$14,450,511 ",45.16%
2009-2010,FFS,1,48823,12.01%,"$5,157,938 ",16.12%
2009-2010,FFS,2,29241,7.19%,"$2,019,526 ",6.31%
2009-2010,FFS,3,24093,5.93%,"$1,469,429 ",4.59%
2009-2010,FFS,4,24753,6.09%,"$2,027,933 ",6.34%
2009-2010,FFS,5,15196,3.74%,"$936,424 ",2.93%
2009-2010,FFS,6,11394,2.80%,"$673,727 ",2.11%
2009-2010,FFS,7,8546,2.10%,"$476,159 ",1.49%
2009-2010,FFS,8,7901,1.94%,"$431,148 ",1.35%
2009-2010,FFS,9,7409,1.82%,"$413,673 ",1.29%
2009-2010,FFS,10,6599,1.62%,"$379,350 ",1.19%
2009-2010,FFS,11,8102,1.99%,"$522,681 ",1.63%
2009-2010,FFS,12,7074,1.74%,"$471,265 ",1.47%
2009-2010,FFS,13,6910,1.70%,"$458,562 ",1.43%
2009-2010,FFS,14,7199,1.77%,"$498,049 ",1.56%
2009-2010,FFS,15,7084,1.74%,"$489,349 ",1.53%
2009-2010,FFS,16,6577,1.62%,"$460,928 ",1.44%
2009-2010,FFS,17,6056,1.49%,"$420,366 ",1.31%
2009-2010,FFS,18,2507,0.62%,"$153,478 ",0.48%
2009-2010,FFS,19,871,0.21%,"$54,615 ",0.17%
2009-2010,FFS,20,470,0.12%,"$30,132 ",0.09%
2009-2010,FFS,UNKNOWN,0,0.00%,$0 ,0.00%
2009-2010,FFS,TOTAL,406504,100.00%,"$31,995,243 ",100.00%
2009-2010,GFS,0,91612,33.09%,"$7,363,856 ",31.33%
2009-2010,GFS,1,22723,8.21%,"$2,061,059 ",8.77%
2009-2010,GFS,2,13412,4.84%,"$947,086 ",4.03%
2009-2010,GFS,3,11876,4.29%,"$851,230 ",3.62%
2009-2010,GFS,4,15590,5.63%,"$1,448,444 ",6.16%
2009-2010,GFS,5,11367,4.11%,"$939,686 ",4.00%
2009-2010,GFS,6,8853,3.20%,"$682,612 ",2.90%
2009-2010,GFS,7,7015,2.53%,"$536,440 ",2.28%
2009-2010,GFS,8,6660,2.41%,"$511,291 ",2.18%
2009-2010,GFS,9,7213,2.61%,"$565,722 ",2.41%
2009-2010,GFS,10,7941,2.87%,"$639,751 ",2.72%
2009-2010,GFS,11,9249,3.34%,"$809,911 ",3.45%
2009-2010,GFS,12,8440,3.05%,"$794,888 ",3.38%
2009-2010,GFS,13,8514,3.08%,"$810,785 ",3.45%
2009-2010,GFS,14,9912,3.58%,"$952,989 ",4.05%
2009-2010,GFS,15,10147,3.67%,"$975,230 ",4.15%
2009-2010,GFS,16,9842,3.56%,"$944,815 ",4.02%
2009-2010,GFS,17,9235,3.34%,"$896,395 ",3.81%
2009-2010,GFS,18,7243,2.62%,"$773,596 ",3.29%
2009-2010,GFS,19,0,0.00%,$0 ,0.00%
2009-2010,GFS,20,0,0.00%,$0 ,0.00%
2009-2010,GFS,UNKNOWN,0,0.00%,$0 ,0.00%
2009-2010,GFS,TOTAL,276844,100.00%,"$23,505,786 ",100.00%
2009-2010,SFS,0,365,1.41%,"$26,400 ",1.36%
2009-2010,SFS,1,481,1.86%,"$43,309 ",2.24%
2009-2010,SFS,2,447,1.73%,"$32,795 ",1.69%
2009-2010,SFS,3,642,2.48%,"$45,863 ",2.37%
2009-2010,SFS,4,1215,4.70%,"$106,128 ",5.48%
2009-2010,SFS,5,1003,3.88%,"$69,405 ",3.59%
2009-2010,SFS,6,1235,4.78%,"$83,757 ",4.33%
2009-2010,SFS,7,1199,4.64%,"$81,105 ",4.19%
2009-2010,SFS,8,1309,5.06%,"$86,345 ",4.46%
2009-2010,SFS,9,1657,6.41%,"$109,327 ",5.65%
2009-2010,SFS,10,1837,7.10%,"$126,965 ",6.56%
2009-2010,SFS,11,2543,9.83%,"$186,995 ",9.66%
2009-2010,SFS,12,2044,7.90%,"$156,734 ",8.10%
2009-2010,SFS,13,1869,7.23%,"$145,875 ",7.54%
2009-2010,SFS,14,2083,8.05%,"$162,451 ",8.39%
2009-2010,SFS,15,1957,7.57%,"$153,552 ",7.93%
2009-2010,SFS,16,1796,6.94%,"$141,519 ",7.31%
2009-2010,SFS,17,1478,5.71%,"$120,063 ",6.20%
2009-2010,SFS,18,703,2.72%,"$56,900 ",2.94%
2009-2010,SFS,19,0,0.00%,$0 ,0.00%
2009-2010,SFS,20,0,0.00%,$0 ,0.00%
2009-2010,SFS,UNKNOWN,0,0.00%,$0 ,0.00%
2009-2010,SFS,TOTAL,25863,100.00%,"$1,935,488 ",100.00%
2009-2010,IFS,0,296081,18.72%,$0 ,0.00%
2009-2010,IFS,1,242967,15.36%,$0 ,0.00%
2009-2010,IFS,2,147889,9.35%,$0 ,0.00%
2009-2010,IFS,3,124618,7.88%,$0 ,0.00%
2009-2010,IFS,4,134477,8.50%,$0 ,0.00%
2009-2010,IFS,5,90684,5.73%,$0 ,0.00%
2009-2010,IFS,6,68753,4.35%,$0 ,0.00%
2009-2010,IFS,7,51266,3.24%,$0 ,0.00%
2009-2010,IFS,8,46534,2.94%,$0 ,0.00%
2009-2010,IFS,9,43946,2.78%,$0 ,0.00%
2009-2010,IFS,10,39297,2.48%,$0 ,0.00%
2009-2010,IFS,11,46447,2.94%,$0 ,0.00%
2009-2010,IFS,12,42067,2.66%,$0 ,0.00%
2009-2010,IFS,13,39190,2.48%,$0 ,0.00%
2009-2010,IFS,14,40148,2.54%,$0 ,0.00%
2009-2010,IFS,15,37550,2.37%,$0 ,0.00%
2009-2010,IFS,16,34014,2.15%,$0 ,0.00%
2009-2010,IFS,17,29292,1.85%,$0 ,0.00%
2009-2010,IFS,18,13450,0.85%,$0 ,0.00%
2009-2010,IFS,19,4744,0.30%,$0 ,0.00%
2009-2010,IFS,20,8001,0.51%,$0 ,0.00%
2009-2010,IFS,UNKNOWN,1063,0.07%,$0 ,0.00%
2009-2010,IFS,TOTAL,1581415,100.00%,$0 ,0.00%
2010-2011,All,0,539085,23.70%,"$20,174,745 ",37.94%
2010-2011,All,1,287307,12.63%,"$5,739,870 ",10.80%
2010-2011,All,2,173406,7.62%,"$2,435,702 ",4.58%
2010-2011,All,3,152880,6.72%,"$2,044,511 ",3.85%
2010-2011,All,4,173653,7.63%,"$3,187,640 ",6.00%
2010-2011,All,5,113245,4.98%,"$1,701,252 ",3.20%
2010-2011,All,6,86283,3.79%,"$1,232,704 ",2.32%
2010-2011,All,7,63785,2.80%,"$923,041 ",1.74%
2010-2011,All,8,58594,2.58%,"$847,732 ",1.59%
2010-2011,All,9,56795,2.50%,"$931,278 ",1.75%
2010-2011,All,10,56949,2.50%,"$1,040,777 ",1.96%
2010-2011,All,11,76587,3.37%,"$1,619,279 ",3.05%
2010-2011,All,12,73478,3.23%,"$1,720,635 ",3.24%
2010-2011,All,13,67211,2.95%,"$1,560,946 ",2.94%
2010-2011,All,14,69724,3.07%,"$1,799,707 ",3.38%
2010-2011,All,15,65911,2.90%,"$1,788,105 ",3.36%
2010-2011,All,16,62332,2.74%,"$1,770,792 ",3.33%
2010-2011,All,17,53999,2.37%,"$1,599,697 ",3.01%
2010-2011,All,18,25936,1.14%,"$972,906 ",1.83%
2010-2011,All,19,6073,0.27%,"$50,000 ",0.09%
2010-2011,All,20,10012,0.44%,"$29,944 ",0.06%
2010-2011,All,Unknown,1574,0.07%,$0 ,0.00%
2010-2011,All,TOTAL,2274819,100.00%,"$53,171,263 ",100.00%
2010-2011,FFS,0,154471,43.14%,"$12,658,110 ",45.89%
2010-2011,FFS,1,37872,10.58%,"$3,797,781 ",13.77%
2010-2011,FFS,2,23466,6.55%,"$1,607,217 ",5.83%
2010-2011,FFS,3,19659,5.49%,"$1,250,555 ",4.53%
2010-2011,FFS,4,21668,6.05%,"$1,807,500 ",6.55%
2010-2011,FFS,5,12797,3.57%,"$818,550 ",2.97%
2010-2011,FFS,6,9277,2.59%,"$564,775 ",2.05%
2010-2011,FFS,7,6949,1.94%,"$388,272 ",1.41%
2010-2011,FFS,8,6010,1.68%,"$326,848 ",1.18%
2010-2011,FFS,9,6054,1.69%,"$344,659 ",1.25%
2010-2011,FFS,10,5938,1.66%,"$351,730 ",1.28%
2010-2011,FFS,11,8102,2.26%,"$541,629 ",1.96%
2010-2011,FFS,12,7801,2.18%,"$528,207 ",1.91%
2010-2011,FFS,13,7026,1.96%,"$470,419 ",1.71%
2010-2011,FFS,14,7369,2.06%,"$508,118 ",1.84%
2010-2011,FFS,15,6912,1.93%,"$482,083 ",1.75%
2010-2011,FFS,16,6743,1.88%,"$470,123 ",1.70%
2010-2011,FFS,17,6107,1.71%,"$428,783 ",1.55%
2010-2011,FFS,18,2525,0.71%,"$159,425 ",0.58%
2010-2011,FFS,19,810,0.23%,"$50,000 ",0.18%
2010-2011,FFS,20,472,0.13%,"$29,944 ",0.11%
2010-2011,FFS,Unknown,0,0.00%,$0 ,0.00%
2010-2011,FFS,TOTAL,358028,100.00%,"$27,584,728 ",100.00%
2010-2011,GFS,0,91369,33.42%,"$7,505,350 ",32.07%
2010-2011,GFS,1,20549,7.52%,"$1,913,239 ",8.18%
2010-2011,GFS,2,11453,4.19%,"$809,306 ",3.46%
2010-2011,GFS,3,10509,3.84%,"$769,134 ",3.29%
2010-2011,GFS,4,13879,5.08%,"$1,308,450 ",5.59%
2010-2011,GFS,5,10035,3.67%,"$833,034 ",3.56%
2010-2011,GFS,6,7865,2.88%,"$601,335 ",2.57%
2010-2011,GFS,7,6246,2.28%,"$469,553 ",2.01%
2010-2011,GFS,8,5913,2.16%,"$449,329 ",1.92%
2010-2011,GFS,9,6378,2.33%,"$493,948 ",2.11%
2010-2011,GFS,10,6995,2.56%,"$563,084 ",2.41%
2010-2011,GFS,11,9836,3.60%,"$846,174 ",3.62%
2010-2011,GFS,12,10304,3.77%,"$944,011 ",4.03%
2010-2011,GFS,13,9389,3.43%,"$871,909 ",3.73%
2010-2011,GFS,14,11405,4.17%,"$1,068,607 ",4.57%
2010-2011,GFS,15,11704,4.28%,"$1,092,875 ",4.67%
2010-2011,GFS,16,11634,4.26%,"$1,101,977 ",4.71%
2010-2011,GFS,17,10611,3.88%,"$1,009,306 ",4.31%
2010-2011,GFS,18,7308,2.67%,"$749,420 ",3.20%
2010-2011,GFS,19,0,0.00%,$0 ,0.00%
2010-2011,GFS,20,0,0.00%,$0 ,0.00%
2010-2011,GFS,Unknown,0,0.00%,$0 ,0.00%
2010-2011,GFS,TOTAL,273382,100.00%,"$23,400,041 ",100.00%
2010-2011,SFS,0,161,0.56%,"$11,285 ",0.52%
2010-2011,SFS,1,320,1.11%,"$28,850 ",1.32%
2010-2011,SFS,2,257,0.89%,"$19,179 ",0.88%
2010-2011,SFS,3,350,1.21%,"$24,822 ",1.14%
2010-2011,SFS,4,814,2.81%,"$71,690 ",3.28%
2010-2011,SFS,5,722,2.49%,"$49,668 ",2.27%
2010-2011,SFS,6,982,3.39%,"$66,594 ",3.05%
2010-2011,SFS,7,977,3.37%,"$65,216 ",2.98%
2010-2011,SFS,8,1105,3.82%,"$71,555 ",3.27%
2010-2011,SFS,9,1369,4.73%,"$92,671 ",4.24%
2010-2011,SFS,10,1781,6.15%,"$125,963 ",5.76%
2010-2011,SFS,11,3087,10.66%,"$231,476 ",10.59%
2010-2011,SFS,12,3309,11.43%,"$248,417 ",11.36%
2010-2011,SFS,13,2862,9.88%,"$218,618 ",10.00%
2010-2011,SFS,14,2837,9.80%,"$222,982 ",10.20%
2010-2011,SFS,15,2714,9.37%,"$213,147 ",9.75%
2010-2011,SFS,16,2494,8.61%,"$198,692 ",9.09%
2010-2011,SFS,17,2020,6.98%,"$161,608 ",7.39%
2010-2011,SFS,18,798,2.76%,"$64,061 ",2.93%
2010-2011,SFS,19,0,0.00%,$0 ,0.00%
2010-2011,SFS,20,0,0.00%,$0 ,0.00%
2010-2011,SFS,Unknown,0,0.00%,$0 ,0.00%
2010-2011,SFS,TOTAL,28959,100.00%,"$2,186,494 ",100.00%
2010-2011,IFS,0,293084,18.15%,$0 ,0.00%
2010-2011,IFS,1,228566,14.16%,$0 ,0.00%
2010-2011,IFS,2,138230,8.56%,$0 ,0.00%
2010-2011,IFS,3,122362,7.58%,$0 ,0.00%
2010-2011,IFS,4,137292,8.50%,$0 ,0.00%
2010-2011,IFS,5,89691,5.56%,$0 ,0.00%
2010-2011,IFS,6,68159,4.22%,$0 ,0.00%
2010-2011,IFS,7,49613,3.07%,$0 ,0.00%
2010-2011,IFS,8,45566,2.82%,$0 ,0.00%
2010-2011,IFS,9,42994,2.66%,$0 ,0.00%
2010-2011,IFS,10,42235,2.62%,$0 ,0.00%
2010-2011,IFS,11,55562,3.44%,$0 ,0.00%
2010-2011,IFS,12,52064,3.22%,$0 ,0.00%
2010-2011,IFS,13,47934,2.97%,$0 ,0.00%
2010-2011,IFS,14,48113,2.98%,$0 ,0.00%
2010-2011,IFS,15,44581,2.76%,$0 ,0.00%
2010-2011,IFS,16,41461,2.57%,$0 ,0.00%
2010-2011,IFS,17,35261,2.18%,$0 ,0.00%
2010-2011,IFS,18,15305,0.95%,$0 ,0.00%
2010-2011,IFS,19,5263,0.33%,$0 ,0.00%
2010-2011,IFS,20,9540,0.59%,$0 ,0.00%
2010-2011,IFS,Unknown,1574,0.10%,$0 ,0.00%
2010-2011,IFS,TOTAL ,1614450,100.00%,$0 ,0.00%
2011-2012,All,0,510203,22.88%,"$18,275,092 ",37.91%
2011-2012,All,1,267910,12.01%,"$4,579,403 ",9.50%
2011-2012,All,2,154539,6.93%,"$1,830,344 ",3.80%
2011-2012,All,3,141410,6.34%,"$1,579,682 ",3.28%
2011-2012,All,4,169571,7.60%,"$2,645,801 ",5.49%
2011-2012,All,5,112655,5.05%,"$1,475,419 ",3.06%
2011-2012,All,6,86141,3.86%,"$1,066,752 ",2.21%
2011-2012,All,7,63881,2.86%,"$796,069 ",1.65%
2011-2012,All,8,58828,2.64%,"$769,168 ",1.60%
2011-2012,All,9,56560,2.54%,"$813,865 ",1.69%
2011-2012,All,10,58586,2.63%,"$954,646 ",1.98%
2011-2012,All,11,83829,3.76%,"$1,621,967 ",3.36%
2011-2012,All,12,78470,3.52%,"$1,710,007 ",3.55%
2011-2012,All,13,69390,3.11%,"$1,608,266 ",3.34%
2011-2012,All,14,70622,3.17%,"$1,755,553 ",3.64%
2011-2012,All,15,71250,3.19%,"$1,990,162 ",4.13%
2011-2012,All,16,71338,3.20%,"$2,078,337 ",4.31%
2011-2012,All,17,61721,2.77%,"$1,765,033 ",3.66%
2011-2012,All,18,27016,1.21%,"$834,166 ",1.73%
2011-2012,All,19,6390,0.29%,"$37,780 ",0.08%
2011-2012,All,20,8184,0.37%,"$23,032 ",0.05%
2011-2012,All,Unknown,1685,0.08%,$0 ,0.00%
2011-2012,All,TOTAL,2230179,100.00%,"$48,210,544 ",100.00%
2011-2012,FFS,0,140484,47.33%,"$11,460,698 ",49.92%
2011-2012,FFS,1,27757,9.35%,"$2,728,064 ",11.88%
2011-2012,FFS,2,16137,5.44%,"$1,095,780 ",4.77%
2011-2012,FFS,3,14155,4.77%,"$901,754 ",3.93%
2011-2012,FFS,4,16140,5.44%,"$1,356,638 ",5.91%
2011-2012,FFS,5,9719,3.27%,"$664,021 ",2.89%
2011-2012,FFS,6,7349,2.48%,"$463,437 ",2.02%
2011-2012,FFS,7,5429,1.83%,"$322,107 ",1.40%
2011-2012,FFS,8,4711,1.59%,"$265,714 ",1.16%
2011-2012,FFS,9,4520,1.52%,"$265,900 ",1.16%
2011-2012,FFS,10,4776,1.61%,"$292,795 ",1.28%
2011-2012,FFS,11,6672,2.25%,"$447,221 ",1.95%
2011-2012,FFS,12,6253,2.11%,"$413,054 ",1.80%
2011-2012,FFS,13,5819,1.96%,"$391,677 ",1.71%
2011-2012,FFS,14,5854,1.97%,"$406,212 ",1.77%
2011-2012,FFS,15,6151,2.07%,"$436,014 ",1.90%
2011-2012,FFS,16,6167,2.08%,"$443,857 ",1.93%
2011-2012,FFS,17,5574,1.88%,"$399,936 ",1.74%
2011-2012,FFS,18,2204,0.74%,"$144,569 ",0.63%
2011-2012,FFS,19,618,0.21%,"$37,780 ",0.16%
2011-2012,FFS,20,365,0.12%,"$23,032 ",0.10%
2011-2012,FFS,Unknown,0,0.00%,$0 ,0.00%
2011-2012,FFS,TOTAL,296854,100.00%,"$22,960,260 ",100.00%
2011-2012,GFS,0,81747,30.58%,"$6,804,720 ",29.34%
2011-2012,GFS,1,19749,7.39%,"$1,835,368 ",7.91%
2011-2012,GFS,2,10641,3.98%,"$721,546 ",3.11%
2011-2012,GFS,3,9377,3.51%,"$661,517 ",2.85%
2011-2012,GFS,4,13164,4.92%,"$1,251,672 ",5.40%
2011-2012,GFS,5,8999,3.37%,"$780,094 ",3.36%
2011-2012,GFS,6,7157,2.68%,"$561,204 ",2.42%
2011-2012,GFS,7,5507,2.06%,"$423,399 ",1.83%
2011-2012,GFS,8,5687,2.13%,"$446,506 ",1.92%
2011-2012,GFS,9,6059,2.27%,"$477,866 ",2.06%
2011-2012,GFS,10,6920,2.59%,"$567,043 ",2.44%
2011-2012,GFS,11,10753,4.02%,"$948,212 ",4.09%
2011-2012,GFS,12,11487,4.30%,"$1,065,005 ",4.59%
2011-2012,GFS,13,10579,3.96%,"$995,905 ",4.29%
2011-2012,GFS,14,11867,4.44%,"$1,136,481 ",4.90%
2011-2012,GFS,15,13993,5.23%,"$1,329,599 ",5.73%
2011-2012,GFS,16,14786,5.53%,"$1,409,638 ",6.08%
2011-2012,GFS,17,12383,4.63%,"$1,162,423 ",5.01%
2011-2012,GFS,18,6485,2.43%,"$617,225 ",2.66%
