Social Security Administration (SSA),,,,
DDS Net Accuracy,,,,
""NOTE: A fiscal year (FY) runs from October-September. For example, October of FY 2015 is October of calendar year 2014."",,,,
2009,Missouri,97.6%,1.29,
2009,Montana,97.3%,1.26,
2009,Nebraska,96.2%,1.53,
2009,Nevada,97.3%,1.29,
2009,New Hampshire,97.1%,1.29,
2009,New Jersey,96.9%,1.40,
2009,New Mexico,98.2%,1.08,
2009,New York,97.8%,1.20,
2009,North Carolina,97.0%,1.46,
2009,North Dakota,95.7%,1.44,
2009,Ohio,96.2%,1.66,
2009,Oklahoma,99.1%,0.77,
2009,Oregon,96.9%,1.39,
2009,Pennsylvania,98.2%,1.13,
2009,Puerto Rico,94.8%,1.78,
2009,Rhode Island,97.3%,1.29,
2009,South Carolina,97.2%,1.37,
2009,South Dakota,95.7%,1.52,
2009,Tennessee,96.4%,1.63,
2009,Texas,97.2%,1.32,
2009,Utah,95.8%,1.58,
2009,Vermont,97.3%,1.22,
2009,Virginia,96.6%,1.48,
2009,Washington,96.1%,1.58,
2009,West Virginia,97.2%,1.43,
2009,Wisconsin,98.2%,1.08,
2009,Wyoming,96.3%,1.36,
2009,National,96.8%,0.29,
2010,Alabama,99.5%,UL* 99.8 - LL** 98.1,SV manually computed
2010,Alaska,98.2%,0.99,
2010,Arizona,97.3%,1.40,
2010,Arkansas,99.3%,UL* 99.8 - LL** 98.2,SV manually computed
2010,California,96.9%,1.46,
2010,Colorado,97.1%,1.40,
2010,Connecticut,95.4%,1.77,
2010,Delaware,99.2%,0.71,
2010,Dist of Columbia,96.6%,1.41,
2010,Florida,98.6%,1.01,
2010,Georgia,96.7%,1.57,
2010,Hawaii,98.7%,0.88,
2010,Idaho,98.9%,0.88,
2010,Illinois,98.6%,0.99,
2010,Indiana,98.9%,0.89,
2010,Iowa,98.4%,1.07,
2010,Kansas,98.2%,1.10,
2010,Kentucky,99.6%,UL* 99.9 - LL** 98.7,SV manually computed
2010,Louisiana,98.3%,1.08,
2010,Maine,94.0%,2.03,
2010,Maryland,98.3%,1.08,
2010,Massachusetts,97.1%,1.39,
2010,Michigan,98.3%,1.10,
2010,Minnesota,98.2%,1.10,
2010,Mississippi,98.3%,1.14,
2010,Missouri,99.0%,0.85,
2010,Montana,98.7%,0.90,
2010,Nebraska,97.6%,1.23,
2010,Nevada,97.7%,1.25,
2010,New Hampshire,97.3%,1.29,
2010,New Jersey,98.1%,1.12,
2010,New Mexico,98.9%,0.87,
2010,New York,97.5%,1.30,
2010,North Carolina,98.6%,1.05,
2010,North Dakota,95.5%,1.62,
2010,Ohio,98.1%,1.18,
2010,Oklahoma,99.1%,0.79,
2010,Oregon,98.8%,0.90,
2010,Pennsylvania,98.4%,1.07,
2010,Puerto Rico,96.6%,1.47,
2010,Rhode Island,97.3%,1.36,
2010,South Carolina,98.0%,1.23,
2010,South Dakota,98.5%,0.95,
2010,Tennessee,97.7%,1.34,
2010,Texas,98.7%,0.93,
2010,Utah,97.1%,1.36,
2010,Vermont,98.0%,1.07,
2010,Virginia,97.2%,1.34,
2010,Washington,96.6%,1.49,
2010,West Virginia,97.6%,1.36,
2010,Wisconsin,98.3%,1.06,
2010,Wyoming,98.1%,1.04,
2010,National,98.1%,0.22,
2011,Alabama,98.1%,1.18,
2011,Alaska,97.1%,1.29,
2011,Arizona,95.3%,1.86,
2011,Arkansas,98.5%,1.03,
2011,California,97.2%,1.42,
2011,Colorado,97.8%,1.23,
2011,Connecticut,95.7%,1.76,
2011,Delaware,97.7%,1.25,
2011,Dist of Columbia,96.8%,1.42,
2011,Florida,97.9%,1.27,
2011,Georgia,97.0%,1.51,
2011,Hawaii,97.3%,1.29,
2011,Idaho,97.8%,1.24,
2011,Illinois,98.0%,1.23,
2011,Indiana,98.5%,1.06,
2011,Iowa,97.6%,1.30,
2011,Kansas,98.4%,1.04,
2011,Kentucky,97.9%,1.27,
2011,Louisiana,97.4%,1.34,
2011,Maine,95.4%,1.77,
2011,Maryland,96.9%,1.48,
2011,Massachusetts,98.2%,1.11,
2011,Michigan,98.2%,1.14,
2011,Minnesota,95.2%,1.82,
2011,Mississippi,98.8%,0.99,
2011,Missouri,98.3%,1.12,
2011,Montana,97.3%,1.32,
2011,Nebraska,98.6%,0.98,
2011,Nevada,96.9%,1.45,
2011,New Hampshire,98.3%,1.03,
2011,New Jersey,97.4%,1.31,
2011,New Mexico,97.2%,1.40,
2011,New York,96.3%,1.58,
2011,North Carolina,97.6%,1.38,
2011,North Dakota,97.3%,1.23,
2011,Ohio,97.5%,1.37,
2011,Oklahoma,97.6%,1.33,
2011,Oregon,98.0%,1.19,
2011,Pennsylvania,97.4%,1.37,
2011,Puerto Rico,97.0%,1.43,
2011,Rhode Island,96.8%,1.45,
2011,South Carolina,97.8%,1.29,
2011,South Dakota,97.7%,1.18,
2011,Tennessee,97.1%,1.52,
2011,Texas,98.5%,1.00,
2011,Utah,96.3%,1.52,
2011,Vermont,99.2%,0.70,
2011,Virginia,97.5%,1.35,
2011,Washington,97.9%,1.21,
2011,West Virginia,96.7%,1.61,
2011,Wisconsin,97.5%,1.33,
2011,Wyoming,98.0%,1.04,
2011,National,97.6%,0.25,
2012,Alabama,99.0%,0.88,
2012,Alaska,98.1%,1.04,
2012,Arizona,97.8%,1.28,
2012,Arkansas,98.3%,1.13,
2012,California,98.4%,1.08,
2012,Colorado,98.7%,0.96,
2012,Connecticut,97.2%,1.42,
2012,Delaware,99.0%,0.83,
2012,Dist of Columbia,98.1%,1.11,
2012,Florida,97.5%,1.38,
2012,Georgia,97.7%,1.33,
2012,Hawaii,97.8%,1.19,
2012,Idaho,99.2%,0.73,
2012,Illinois,96.8%,1.54,
2012,Indiana,98.5%,1.07,
2012,Iowa,97.8%,1.25,
2012,Kansas,99.1%,0.79,
2012,Kentucky,97.8%,1.30,
2012,Louisiana,98.4%,1.10,
2012,Maine,97.5%,1.38,
2012,Maryland,97.3%,1.44,
2012,Massachusetts,96.7%,1.49,
2012,Michigan,99.3%,UL* 99.8 - LL** 98.1,SV manually computed
2012,Minnesota,97.9%,1.22,
2012,Mississippi,96.5%,1.68,
2012,Missouri,98.7%,0.97,
2012,Montana,97.8%,1.20,
2012,Nebraska,98.8%,0.90,
2012,Nevada,97.7%,1.27,
2012,New Hampshire,99.3%,0.67,
2012,New Jersey,97.8%,1.20,
2012,New Mexico,96.9%,1.46,
2012,New York,98.1%,1.13,
2012,North Carolina,97.7%,1.35,
2012,North Dakota,98.0%,1.06,
2012,Ohio,96.9%,1.53,
2012,Oklahoma,96.2%,1.67,
2012,Oregon,98.6%,1.00,
2012,Pennsylvania,97.7%,1.30,
2012,Puerto Rico,99.0%,0.81,
2012,Rhode Island,98.9%,0.87,
2012,South Carolina,96.9%,1.54,
2012,South Dakota,99.0%,0.78,
2012,Tennessee,98.6%,1.08,
2012,Texas,97.4%,1.37,
2012,Utah,98.9%,0.85,
2012,Vermont,99.2%,0.70,
2012,Virginia,97.4%,1.36,
2012,Washington,98.7%,0.93,
2012,West Virginia,97.3%,1.46,
2012,Wisconsin,98.0%,1.18,
2012,Wyoming,98.3%,0.94,
2012,National,97.9%,0.24,
2013,Alabama,97.9%,1.27,
2013,Alaska,98.7%,0.84,
2013,Arizona,97.5%,1.36,
2013,Arkansas,98.7%,0.99,
2013,California,98.6%,1.01,
2013,Colorado,97.1%,1.43,
2013,Connecticut,98.2%,1.15,
2013,Delaware,98.6%,0.97,
2013,Dist of Columbia,97.1%,1.37,
2013,Florida,96.5%,1.59,
2013,Georgia,97.3%,1.46,
2013,Hawaii,97.7%,1.21,
2013,Idaho,98.1%,1.14,
2013,Illinois,97.6%,1.33,
2013,Indiana,97.9%,1.26,
2013,Iowa,98.0%,1.15,
2013,Kansas,99.6%,UL* 99.9 - LL** 98.7,SV manually computed
2013,Kentucky,97.6%,1.37,
2013,Louisiana,98.1%,1.17,
2013,Maine,97.7%,1.27,
2013,Maryland,99.4%,UL* 99.8 - LL** 98.1,SV manually computed
2013,Massachusetts,97.5%,1.28,
2013,Michigan,98.5%,1.06,
2013,Minnesota,98.2%,1.11,
2013,Mississippi,96.7%,1.65,
2013,Missouri,98.9%,0.91,
2013,Montana,98.7%,0.92,
2013,Nebraska,98.2%,1.10,
2013,Nevada,98.4%,1.02,
2013,New Hampshire,98.7%,0.90,
2013,New Jersey,97.8%,1.20,
2013,New Mexico,98.8%,0.87,
2013,New York,97.6%,1.27,
2013,North Carolina,98.3%,1.13,
2013,North Dakota,97.6%,1.13,
2013,Ohio,98.1%,1.18,
2013,Oklahoma,97.5%,1.35,
2013,Oregon,98.9%,0.88,
2013,Pennsylvania,97.6%,1.31,
2013,Puerto Rico,97.3%,1.32,
2013,Rhode Island,97.4%,1.34,
2013,South Carolina,98.0%,1.23,
2013,South Dakota,98.5%,0.95,
2013,Tennessee,98.1%,1.23,
2013,Texas,98.7%,0.98,
2013,Utah,98.4%,1.04,
2013,Vermont,99.0%,0.78,
2013,Virginia,97.9%,1.21,
2013,Washington,98.1%,1.14,
2013,West Virginia,97.0%,1.50,
2013,Wisconsin,98.2%,1.12,
2013,Wyoming,97.9%,1.04,
2013,National,98.0%,0.24,
2014,Alabama,98.8%,0.97,
2014,Alaska,97.2%,1.26,
2014,Arizona,96.8%,1.57,
2014,Arkansas,97.2%,1.45,
2014,California,97.7%,1.30,
2014,Colorado,97.6%,1.33,
2014,Connecticut,97.5%,1.37,
2014,Delaware,98.5%,1.00,
2014,Dist of Columbia,97.4%,1.28,
2014,Florida,97.5%,1.37,
2014,Georgia,96.2%,1.73,
2014,Hawaii,98.5%,0.99,
2014,Idaho,97.2%,1.37,
2014,Illinois,98.2%,1.13,
2014,Indiana,98.4%,1.08,
2014,Iowa,98.4%,1.07,
2014,Kansas,98.7%,0.94,
2014,Kentucky,98.0%,1.23,
2014,Louisiana,97.8%,1.25,
2014,Maine,96.8%,1.46,
2014,Maryland,97.4%,1.36,
2014,Massachusetts,98.1%,1.14,
2014,Michigan,99.1%,0.82,
2014,Minnesota,98.3%,1.11,
2014,Mississippi,97.6%,1.45,
2014,Missouri,97.5%,1.34,
2014,Montana,97.5%,1.22,
2014,Nebraska,98.9%,0.83,
2014,Nevada,97.4%,1.32,
2014,New Hampshire,98.2%,1.07,
2014,New Jersey,96.9%,1.43,
2014,New Mexico,98.3%,1.06,
2014,New York,98.0%,1.19,
2014,North Carolina,98.4%,1.12,
2014,North Dakota,97.5%,1.21,
2014,Ohio,98.2%,1.13,
2014,Oklahoma,98.5%,1.08,
2014,Oregon,98.6%,0.98,
2014,Pennsylvania,97.7%,1.33,
2014,Puerto Rico,96.7%,1.40,
2014,Rhode Island,97.2%,1.39,
2014,South Carolina,97.9%,1.25,
2014,South Dakota,98.7%,0.88,
2014,Tennessee,95.7%,1.82,
2014,Texas,97.9%,1.24,
2014,Utah,97.6%,1.27,
2014,Vermont,98.7%,0.88,
2014,Virginia,98.5%,1.03,
2014,Washington,97.7%,1.26,
2014,West Virginia,97.3%,1.42,
2014,Wisconsin,97.7%,1.23,
2014,Wyoming,97.5%,1.18,
2014,National,97.8%,0.26,
2015,Alabama,99.0%,0.91,
2015,Alaska,97.8%,1.12,
2015,Arizona,98.2%,1.18,
2015,Arkansas,98.8%,0.94,
2015,California,96.4%,1.62,
2015,Colorado,98.6%,1.02,
2015,Connecticut,96.0%,1.75,
2015,Delaware,98.0%,1.12,
2015,Dist of Columbia,97.1%,1.39,
2015,Florida,98.0%,1.25,
2015,Georgia,97.1%,1.50,
2015,Hawaii,98.0%,1.14,
2015,Idaho,97.2%,1.38,
2015,Illinois,97.6%,1.32,
2015,Indiana,99.1%,0.84,
2015,Iowa,98.2%,1.10,
2015,Kansas,98.1%,1.13,
2015,Kentucky,98.1%,1.20,
2015,Louisiana,98.1%,1.17,
2015,Maine,97.6%,1.29,
2015,Maryland,96.8%,1.54,
2015,Massachusetts,97.3%,1.36,
2015,Michigan,96.8%,1.55,
2015,Minnesota,98.2%,1.13,
2015,Mississippi,96.3%,1.72,
2015,Missouri,98.4%,1.04,
2015,Montana,98.2%,1.07,
2015,Nebraska,98.2%,1.08,
2015,Nevada,98.1%,1.12,
2015,New Hampshire,98.0%,1.14,
2015,New Jersey,97.3%,1.37,
2015,New Mexico,98.9%,0.82,
2015,New York,98.7%,0.96,
2015,North Carolina,97.3%,1.48,
2015,North Dakota,97.7%,1.15,
2015,Ohio,99.6%,UL* 99.9 - LL** 98.4,SV manually computed 
2015,Oklahoma,98.0%,1.22,
2015,Oregon,97.5%,1.34,
2015,Pennsylvania,98.0%,1.24,
2015,Puerto Rico,96.8%,1.44,
2015,Rhode Island,99.2%,0.73,
2015,South Carolina,99.0%,0.89,
2015,South Dakota,98.4%,0.98,
2015,Tennessee,97.0%,1.55,
2015,Texas,97.2%,1.43,
2015,Utah,98.2%,1.11,
2015,Vermont,98.7%,0.89,
2015,Virginia,97.8%,1.23,
2015,Washington,97.7%,1.26,
2015,West Virginia,97.1%,1.49,
2015,Wisconsin,97.1%,1.42,
2015,Wyoming,97.6%,1.10,
2015,National,97.8%,0.26,
2016,Alabama,98.8%,0.95,
2016,Alaska,97.9%,1.05,
2016,Arizona,98.1%,1.21,
2016,Arkansas,98.8%,0.93,
2016,California,98.3%,1.10,
2016,Colorado,97.7%,1.26,
2016,Connecticut,96.9%,1.46,
2016,Delaware,97.5%,1.20,
2016,Dist of Columbia,97.9%,1.12,
2016,Florida,98.0%,1.19,
2016,Georgia,97.8%,1.24,
2016,Hawaii,97.5%,1.27,
2016,Idaho,97.8%,1.15,
2016,Illinois,96.8%,1.48,
2016,Indiana,97.8%,1.24,
2016,Iowa,97.9%,1.16,
2016,Kansas,98.1%,1.08,
2016,Kentucky,98.1%,1.16,
2016,Louisiana,96.7%,1.45,
2016,Maine,97.0%,1.39,
2016,Maryland,98.2%,1.11,
2016,Massachusetts,98.2%,1.07,
2016,Michigan,98.1%,1.12,
2016,Minnesota,96.2%,1.58,
2016,Mississippi,97.6%,1.36,
2016,Missouri,98.3%,1.10,
2016,Montana,96.0%,1.53,
2016,Nebraska,98.5%,0.96,
2016,Nevada,98.3%,1.05,
2016,New Hampshire,98.1%,1.04,
2016,New Jersey,97.0%,1.40,
2016,New Mexico,96.6%,1.49,
2016,New York,98.4%,1.03,
2016,North Carolina,96.9%,1.52,
2016,North Dakota,97.3%,1.18,
2016,Ohio,97.5%,1.30,
2016,Oklahoma,98.7%,0.96,
2016,Oregon,98.3%,1.06,
2016,Pennsylvania,98.2%,1.09,
2016,Puerto Rico,96.8%,1.35,
2016,Rhode Island,97.3%,1.29,
2016,South Carolina,99.0%,0.85,
2016,South Dakota,97.8%,1.11,
2016,Tennessee,97.6%,1.33,
2016,Texas,96.8%,1.49,
2016,Utah,97.6%,1.23,
2016,Vermont,98.4%,0.95,
2016,Virginia,98.1%,1.12,
2016,Washington,97.7%,1.23,
2016,West Virginia,97.3%,1.40,
2016,Wisconsin,97.7%,1.23,
2016,Wyoming,97.7%,1.08,
2016,National,97.8%,0.24,
2017,Alabama,97.8%,1.27,
2017,Alaska,97.8%,1.14,
2017,Arizona,97.4%,1.36,
2017,Arkansas,97.5%,1.30,
2017,California,96.6%,1.51,
2017,Colorado,97.9%,1.17,
2017,Connecticut,98.0%,1.15,
2017,Delaware,97.4%,1.22,
2017,Dist of Columbia,97.6%,1.16,
2017,Florida,95.9%,1.64,
2017,Georgia,97.3%,1.36,
2017,Hawaii,97.0%,1.31,
2017,Idaho,97.5%,1.21,
2017,Illinois,96.5%,1.48,
2017,Indiana,98.2%,1.14,
2017,Iowa,97.5%,1.24,
2017,Kansas,99.2%,0.68,
2017,Kentucky,97.7%,1.26,
2017,Louisiana,97.2%,1.31,
2017,Maine,98.3%,0.83,
2017,Maryland,98.7%,0.94,
2017,Massachusetts,96.1%,1.53,
2017,Michigan,98.6%,0.97,
2017,Minnesota,97.5%,1.25,
2017,Mississippi,97.6%,1.34,
2017,Missouri,97.3%,1.33,
2017,Montana,97.2%,1.28,
2017,Nebraska,97.6%,1.17,
2017,Nevada,97.2%,1.36,
2017,New Hampshire,97.6%,1.17,
2017,New Jersey,97.2%,1.32,
2017,New Mexico,98.9%,0.85,
2017,New York,96.6%,1.47,
2017,North Carolina,95.6%,1.80,
2017,North Dakota,98.4%,0.89,
2017,Ohio,97.8%,1.20,
2017,Oklahoma,97.0%,1.45,
2017,Oregon,98.5%,0.99,
2017,Pennsylvania,98.3%,1.06,
2017,Puerto Rico,97.1%,1.28,
2017,Rhode Island,97.4%,1.23,
2017,South Carolina,97.4%,1.31,
2017,South Dakota,97.8%,1.11,
2017,Tennessee,97.4%,1.35,
2017,Texas,97.3%,1.32,
2017,Utah,97.4%,1.28,
2017,Vermont,98.1%,0.99,
2017,Virginia,97.2%,1.32,
2017,Washington,97.4%,1.28,
2017,West Virginia,96.6%,1.51,
2017,Wisconsin,98.7%,0.91,
2017,Wyoming,98.2%,0.91,
2017,National,97.3%,0.27,
2018,Alabama,98.1%,1.14,
2018,Alaska,97.8%,1.20,
2018,Arizona,96.9%,1.50,
2018,Arkansas,98.2%,1.11,
2018,California,96.9%,1.47,
2018,Colorado,98.5%,0.95,
2018,Connecticut,97.4%,1.30,
2018,Delaware,97.7%,1.12,
2018,Dist of Columbia,98.0%,1.07,
2018,Florida,98.1%,1.15,
2018,Georgia,96.9%,1.45,
2018,Hawaii,98.6%,0.90,
2018,Idaho,97.5%,1.21,
2018,Illinois,96.8%,1.46,
2018,Indiana,96.5%,1.54,
2018,Iowa,98.9%,0.83,
2018,Kansas,98.7%,0.87,
2018,Kentucky,97.7%,1.29,
2018,Louisiana,98.0%,1.12,
2018,Maine,96.7%,1.45,
2018,Maryland,97.4%,1.32,
2018,Massachusetts,96.9%,1.37,
2018,Michigan,98.0%,1.14,
2018,Minnesota,98.4%,1.02,
2018,Mississippi,97.7%,1.33,
2018,Missouri,97.9%,1.20,
2018,Montana,97.3%,1.23,
2018,Nebraska,98.6%,0.90,
2018,Nevada,97.1%,1.38,
2018,New Hampshire,98.6%,0.89,
2018,New Jersey,98.0%,1.13,
2018,New Mexico,98.4%,1.01,
2018,New York,97.2%,1.34,
2018,North Carolina,96.9%,1.43,
2018,North Dakota,98.7%,0.79,
2018,Ohio,98.9%,0.85,
2018,Oklahoma,97.4%,1.37,
2018,Oregon,97.4%,1.28,
2018,Pennsylvania,97.7%,1.24,
2018,Puerto Rico,96.3%,2.08,
2018,Rhode Island,97.4%,1.24,
2018,South Carolina,98.2%,1.11,
2018,South Dakota,97.1%,1.28,
2018,Tennessee,97.5%,1.36,
2018,Texas,97.3%,1.35,
2018,Utah,98.2%,1.01,
2018,Vermont,98.6%,0.87,
2018,Virginia,97.9%,1.18,
2018,Washington,96.8%,1.44,
2018,West Virginia,97.2%,1.38,
2018,Wisconsin,97.8%,1.20,
2018,Wyoming,98.1%,0.94,
2018,National,97.6%,0.26,
2019,Alabama,98.2%,1.12,
2019,Alaska,98.1%,1.12,
2019,Arizona,97.1%,1.42,
2019,Arkansas,97.5%,1.30,
2019,California,97.3%,1.34,
2019,Colorado,97.4%,1.25,
2019,Connecticut,98.3%,1.04,
2019,Delaware,97.3%,1.23,
2019,Dist of Columbia,98.3%,1.01,
2019,Florida,97.6%,1.26,
2019,Georgia,96.1%,1.59,
2019,Hawaii,97.2%,1.29,
2019,Idaho,98.3%,1.01,
2019,Illinois,98.2%,1.08,
2019,Indiana,95.9%,1.68,
2019,Iowa,97.6%,1.22,
2019,Kansas,97.4%,1.21,
2019,Kentucky,96.3%,1.60,
2019,Louisiana,97.5%,1.26,
2019,Maine,97.1%,1.28,
2019,Maryland,99.0%,0.82,
2019,Massachusetts,96.5%,1.47,
2019,Michigan,96.5%,1.49,
2019,Minnesota,97.7%,1.19,
2019,Mississippi,95.6%,1.80,
2019,Missouri,98.4%,1.01,
2019,Montana,97.6%,1.15,
2019,Nebraska,97.6%,1.18,
2019,Nevada,98.8%,0.88,
2019,New Hampshire,97.9%,1.08,
2019,New Jersey,96.7%,1.45,
2019,New Mexico,98.8%,0.88,
2019,New York,97.6%,1.24,
2019,North Carolina,97.6%,1.29,
2019,North Dakota,97.1%,1.16,
2019,Ohio,97.6%,1.26,
2019,Oklahoma,95.6%,1.76,
2019,Oregon,97.4%,1.27,
2019,Pennsylvania,98.1%,1.11,
2019,Puerto Rico,96.7%,1.38,
2019,Rhode Island,96.9%,1.32,
2019,South Carolina,98.1%,1.13,
2019,South Dakota,98.1%,1.00,
2019,Tennessee,97.3%,1.35,
2019,Texas,96.8%,1.46,
2019,Utah,97.8%,1.15,
2019,Vermont,98.7%,0.84,
2019,Virginia,98.0%,1.12,
2019,Washington,96.5%,1.50,
2019,West Virginia,96.0%,1.64,
2019,Wisconsin,97.8%,1.18,
2019,Wyoming,98.4%,0.85,
2019,National,97.3%,0.27,
