IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH
CONFISCATE,NEGLECT,13,2006,11
EUTH REQ,FIELD OWN,7,2006,11
EUTH REQ,OTC OWNED,39,2006,11
OUTSURGERY,,38,2006,11
OWNER SUR,,1,2006,11
OWNER SUR,FIELD,22,2006,11
OWNER SUR,OTC,184,2006,11
RETURN,FIELD,1,2006,11
RETURN,OTC,3,2006,11
STRAY,FIELD,376,2006,11
STRAY,OTC,333,2006,11
CONFISCATE,ABANDONED,1,2006,12
CONFISCATE,DANGER DOG,1,2006,12
CONFISCATE,NEGLECT,17,2006,12
CONFISCATE,OWNER DIED,5,2006,12
EUTH REQ,FIELD OWN,2,2006,12
EUTH REQ,OTC OWNED,33,2006,12
KHS,STRAY,4,2006,12
OUTSURGERY,,35,2006,12
OWNER SUR,FIELD,41,2006,12
OWNER SUR,OTC,217,2006,12
QUARANTINE,MAS,1,2006,12
QUARANTINE,OWNER,2,2006,12
QUARANTINE,STRAY,1,2006,12
RETURN,OTC,1,2006,12
STRAY,,1,2006,12
STRAY,FIELD,286,2006,12
STRAY,OTC,328,2006,12
CONFISCATE,CRUELTY,1,2007,1
CONFISCATE,DANGER DOG,1,2007,1
CONFISCATE,NEGLECT,14,2007,1
EUTH REQ,FIELD OWN,4,2007,1
EUTH REQ,OTC OWNED,47,2007,1
OUTSURGERY,,31,2007,1
OWNER SUR,FIELD,33,2007,1
OWNER SUR,OTC,224,2007,1
QUARANTINE,MAS,2,2007,1
QUARANTINE,OWNER,4,2007,1
QUARANTINE,STRAY,5,2007,1
STRAY,FIELD,302,2007,1
STRAY,OTC,311,2007,1
CONFISCATE,ABANDONED,1,2007,2
CONFISCATE,DANGER DOG,1,2007,2
CONFISCATE,NEGLECT,8,2007,2
CONFISCATE,POTDANGER,1,2007,2
EUTH REQ,FIELD OWN,7,2007,2
EUTH REQ,OTC OWNED,56,2007,2
OUTSURGERY,,54,2007,2
OWNER SUR,FIELD,28,2007,2
OWNER SUR,OTC,155,2007,2
QUARANTINE,MAS,2,2007,2
QUARANTINE,OWNER,2,2007,2
STRAY,FIELD,285,2007,2
STRAY,OTC,284,2007,2
CONFISCATE,BITE,1,2007,3
CONFISCATE,CRUELTY,1,2007,3
CONFISCATE,DANGER DOG,4,2007,3
CONFISCATE,NEGLECT,28,2007,3
CONFISCATE,POTDANGER,9,2007,3
EUTH REQ,FIELD OWN,7,2007,3
EUTH REQ,OTC OWNED,43,2007,3
OUTSURGERY,,70,2007,3
OWNER SUR,FIELD,39,2007,3
OWNER SUR,OTC,156,2007,3
QUARANTINE,MAS,6,2007,3
QUARANTINE,OWNER,4,2007,3
QUARANTINE,STRAY,4,2007,3
RETURN,OTC,2,2007,3
STRAY,FIELD,301,2007,3
STRAY,OTC,392,2007,3
TRANSFER,AN CONTROL,2,2007,3
CONFISCATE,BITE,2,2007,4
CONFISCATE,CRUELTY,4,2007,4
CONFISCATE,NEGLECT,22,2007,4
CONFISCATE,POLICE,1,2007,4
CONFISCATE,POTDANGER,3,2007,4
EUTH REQ,,1,2007,4
EUTH REQ,FIELD OWN,15,2007,4
EUTH REQ,OTC OWNED,63,2007,4
OUTSURGERY,,103,2007,4
OWNER SUR,FIELD,39,2007,4
OWNER SUR,OTC,257,2007,4
QUARANTINE,,1,2007,4
QUARANTINE,MAS,2,2007,4
QUARANTINE,OWNER,4,2007,4
QUARANTINE,STRAY,3,2007,4
RETURN,OTC,2,2007,4
STRAY,FIELD,330,2007,4
STRAY,OTC,302,2007,4
CONFISCATE,ABANDONED,1,2007,5
CONFISCATE,BITE,3,2007,5
CONFISCATE,CRUELTY,3,2007,5
CONFISCATE,DANGER DOG,3,2007,5
CONFISCATE,NEGLECT,22,2007,5
CONFISCATE,POLICE,4,2007,5
CONFISCATE,POTDANGER,3,2007,5
CONFISCATE,UNPERMITED,2,2007,5
EUTH REQ,FIELD OWN,17,2007,5
EUTH REQ,OTC OWNED,52,2007,5
INVESTIGAT,POTDANGER,1,2007,5
OUTSURGERY,,104,2007,5
OWNER SUR,FIELD,76,2007,5
OWNER SUR,OTC,282,2007,5
QUARANTINE,,1,2007,5
QUARANTINE,MAS,5,2007,5
QUARANTINE,OWNER,6,2007,5
QUARANTINE,STRAY,7,2007,5
RETURN,FIELD,1,2007,5
RETURN,OTC,6,2007,5
STRAY,,1,2007,5
STRAY,FIELD,438,2007,5
STRAY,OTC,337,2007,5
TRANSFER,AN CONTROL,1,2007,5
CONFISCATE,,1,2007,6
CONFISCATE,ABANDONED,3,2007,6
CONFISCATE,DANGER DOG,2,2007,6
CONFISCATE,NEGLECT,23,2007,6
CONFISCATE,POLICE,2,2007,6
CONFISCATE,POTDANGER,8,2007,6
CONFISCATE,UNPERMITED,3,2007,6
EUTH REQ,FIELD OWN,8,2007,6
EUTH REQ,OTC OWNED,102,2007,6
INVESTIGAT,POTDANGER,2,2007,6
OUTSURGERY,,111,2007,6
OUTSURGERY, ,3,2007,6
OWNER SUR,FIELD,35,2007,6
OWNER SUR,OTC,361,2007,6
QUARANTINE,,1,2007,6
QUARANTINE,MAS,9,2007,6
QUARANTINE,OWNER,6,2007,6
QUARANTINE,STRAY,11,2007,6
RETURN,OTC,7,2007,6
STRAY,FIELD,436,2007,6
STRAY,OTC,412,2007,6
TRANSFER,,1,2007,6
TRANSFER,AN CONTROL,1,2007,6
CONFISCATE,,2,2007,7
CONFISCATE,CRUELTY,10,2007,7
CONFISCATE,NEGLECT,26,2007,7
CONFISCATE,POLICE,2,2007,7
CONFISCATE,POTDANGER,5,2007,7
CONFISCATE,UNPERMITED,2,2007,7
EUTH REQ,FIELD OWN,12,2007,7
EUTH REQ,OTC OWNED,76,2007,7
INVESTIGAT,,1,2007,7
INVESTIGAT,POTDANGER,5,2007,7
OUTSURGERY,,108,2007,7
OWNER SUR,FIELD,60,2007,7
OWNER SUR,OTC,308,2007,7
QUARANTINE,MAS,2,2007,7
QUARANTINE,OWNER,5,2007,7
QUARANTINE,STRAY,11,2007,7
RETURN,FIELD,3,2007,7
RETURN,OTC,6,2007,7
STRAY,,1,2007,7
STRAY,FIELD,481,2007,7
STRAY,OTC,449,2007,7
CONFISCATE,,1,2007,8
CONFISCATE,ABANDONED,1,2007,8
CONFISCATE,DANGER DOG,1,2007,8
CONFISCATE,NEGLECT,20,2007,8
CONFISCATE,POLICE,3,2007,8
CONFISCATE,UNPERMITED,12,2007,8
EUTH REQ,FIELD OWN,15,2007,8
EUTH REQ,OTC OWNED,75,2007,8
INVESTIGAT,POTDANGER,2,2007,8
OUTSURGERY,,96,2007,8
OWNER SUR,,2,2007,8
OWNER SUR,FIELD,60,2007,8
OWNER SUR,OTC,335,2007,8
QUARANTINE,MAS,6,2007,8
QUARANTINE,OWNER,5,2007,8
QUARANTINE,STRAY,6,2007,8
RETURN,FIELD,1,2007,8
RETURN,OTC,9,2007,8
STRAY,FIELD,457,2007,8
STRAY,OTC,328,2007,8
CONFISCATE,,5,2007,9
CONFISCATE,BITE,1,2007,9
CONFISCATE,EVICTION,2,2007,9
CONFISCATE,NEGLECT,133,2007,9
CONFISCATE,POLICE,3,2007,9
CONFISCATE,POTDANGER,1,2007,9
CONFISCATE,UNPERMITED,40,2007,9
EUTH REQ,FIELD OWN,6,2007,9
EUTH REQ,OTC OWNED,45,2007,9
INVESTIGAT,POTDANGER,1,2007,9
OUTSURGERY,,67,2007,9
OWNER SUR,FIELD,44,2007,9
OWNER SUR,OTC,319,2007,9
QUARANTINE,,1,2007,9
QUARANTINE,MAS,7,2007,9
QUARANTINE,OWNER,2,2007,9
QUARANTINE,STRAY,8,2007,9
RETURN,FIELD,4,2007,9
RETURN,OTC,2,2007,9
STRAY,,1,2007,9
STRAY,FIELD,383,2007,9
STRAY,OTC,321,2007,9
CONFISCATE,,1,2007,10
CONFISCATE,ABANDONED,9,2007,10
CONFISCATE,NEGLECT,13,2007,10
CONFISCATE,POTDANGER,4,2007,10
CONFISCATE,UNPERMITED,20,2007,10
EUTH REQ,,10,2007,10
EUTH REQ,FIELD OWN,3,2007,10
EUTH REQ,OTC OWNED,67,2007,10
OUTSURGERY,,39,2007,10
OWNER SUR,,1,2007,10
OWNER SUR,FIELD,58,2007,10
OWNER SUR,OTC,232,2007,10
QUARANTINE,MAS,3,2007,10
QUARANTINE,OWNER,1,2007,10
QUARANTINE,STRAY,5,2007,10
RETURN,FIELD,1,2007,10
RETURN,OTC,4,2007,10
STRAY,,4,2007,10
STRAY,FIELD,415,2007,10
STRAY,OTC,336,2007,10
CONFISCATE,ABANDONED,1,2007,11
CONFISCATE,BITE,6,2007,11
CONFISCATE,CRUELTY,1,2007,11
CONFISCATE,NEGLECT,31,2007,11
CONFISCATE,POTDANGER,2,2007,11
CONFISCATE,UNPERMITED,12,2007,11
EUTH REQ,,2,2007,11
EUTH REQ,FIELD OWN,3,2007,11
EUTH REQ,OTC OWNED,45,2007,11
INVESTIGAT,DANGER DOG,1,2007,11
OUTSURGERY,,102,2007,11
OWNER SUR,,4,2007,11
OWNER SUR,FIELD,84,2007,11
OWNER SUR,OTC,250,2007,11
QUARANTINE,MAS,5,2007,11
QUARANTINE,OWNER,1,2007,11
QUARANTINE,STRAY,7,2007,11
RETURN,OTC,8,2007,11
STRAY,,1,2007,11
STRAY,FIELD,383,2007,11
STRAY,OTC,260,2007,11
CONFISCATE,ABANDONED,4,2007,12
CONFISCATE,NEGLECT,27,2007,12
CONFISCATE,POTDANGER,1,2007,12
CONFISCATE,UNPERMITED,8,2007,12
EUTH REQ,FIELD OWN,4,2007,12
EUTH REQ,OTC OWNED,53,2007,12
INVESTIGAT,POTDANGER,2,2007,12
OUTSURGERY,,53,2007,12
OUTSURGERY, ,1,2007,12
OWNER SUR,FIELD,31,2007,12
OWNER SUR,OTC,227,2007,12
QUARANTINE,MAS,8,2007,12
QUARANTINE,OWNER,1,2007,12
QUARANTINE,STRAY,3,2007,12
RETURN,FIELD,5,2007,12
RETURN,OTC,14,2007,12
STRAY,FIELD,313,2007,12
STRAY,OTC,205,2007,12
TRANSFER,AN CONTROL,2,2007,12
CONFISCATE,,4,2008,1
CONFISCATE,BITE,1,2008,1
CONFISCATE,DANGER DOG,2,2008,1
CONFISCATE,NEGLECT,28,2008,1
CONFISCATE,POTDANGER,1,2008,1
CONFISCATE,UNPERMITED,2,2008,1
EUTH REQ,FIELD OWN,6,2008,1
EUTH REQ,OTC OWNED,34,2008,1
INVESTIGAT,,2,2008,1
INVESTIGAT,POTDANGER,1,2008,1
OUTSURGERY,,65,2008,1
OWNER SUR,FIELD,54,2008,1
OWNER SUR,OTC,154,2008,1
QUARANTINE,MAS,1,2008,1
QUARANTINE,OWNER,3,2008,1
QUARANTINE,STRAY,7,2008,1
RETURN,,1,2008,1
RETURN,FIELD,3,2008,1
RETURN,OTC,14,2008,1
STRAY,FIELD,324,2008,1
STRAY,OTC,204,2008,1
CONFISCATE,ABANDONED,3,2008,2
CONFISCATE,CRUELTY,1,2008,2
CONFISCATE,NEGLECT,26,2008,2
CONFISCATE,POLICE,4,2008,2
CONFISCATE,POTDANGER,3,2008,2
CONFISCATE,UNPERMITED,1,2008,2
EUTH REQ,FIELD OWN,4,2008,2
EUTH REQ,OTC OWNED,35,2008,2
OUTSURGERY,,72,2008,2
OUTSURGERY, ,1,2008,2
OWNER SUR,,2,2008,2
OWNER SUR,FIELD,49,2008,2
OWNER SUR,OTC,224,2008,2
QUARANTINE,MAS,4,2008,2
QUARANTINE,OWNER,2,2008,2
QUARANTINE,STRAY,4,2008,2
RETURN,FIELD,2,2008,2
RETURN,OTC,19,2008,2
STRAY,,1,2008,2
STRAY,FIELD,299,2008,2
STRAY,OTC,193,2008,2
CONFISCATE,ABANDONED,1,2008,3
CONFISCATE,NEGLECT,13,2008,3
CONFISCATE,POLICE,1,2008,3
CONFISCATE,POTDANGER,1,2008,3
CONFISCATE,UNPERMITED,4,2008,3
EUTH REQ,FIELD OWN,3,2008,3
EUTH REQ,OTC OWNED,54,2008,3
INVESTIGAT,POTDANGER,2,2008,3
OUTSURGERY,,84,2008,3
OWNER SUR,FIELD,35,2008,3
OWNER SUR,OTC,218,2008,3
QUARANTINE,MAS,7,2008,3
QUARANTINE,OWNER,1,2008,3
QUARANTINE,STRAY,2,2008,3
RETURN,,2,2008,3
RETURN,FIELD,2,2008,3
RETURN,OTC,21,2008,3
STRAY,FIELD,332,2008,3
STRAY,OTC,200,2008,3
TRANSFER,AN CONTROL,1,2008,3
CONFISCATE,ABANDONED,4,2008,4
CONFISCATE,DANGER DOG,1,2008,4
CONFISCATE,EVICTION,2,2008,4
CONFISCATE,NEGLECT,19,2008,4
CONFISCATE,POLICE,2,2008,4
CONFISCATE,POTDANGER,3,2008,4
CONFISCATE,UNPERMITED,2,2008,4
EUTH REQ,,2,2008,4
EUTH REQ,FIELD OWN,6,2008,4
EUTH REQ,OTC OWNED,43,2008,4
INVESTIGAT,POTDANGER,4,2008,4
MED OBSERV,,2,2008,4
OUTSURGERY,,75,2008,4
OWNER SUR,FIELD,41,2008,4
OWNER SUR,OTC,207,2008,4
QUARANTINE,,1,2008,4
QUARANTINE,MAS,13,2008,4
QUARANTINE,OWNER,3,2008,4
QUARANTINE,STRAY,6,2008,4
RETURN,,1,2008,4
RETURN,OTC,14,2008,4
STRAY,,1,2008,4
STRAY,FIELD,438,2008,4
STRAY,OTC,306,2008,4
CONFISCATE,ABANDONED,1,2008,5
CONFISCATE,BITE,1,2008,5
CONFISCATE,CRUELTY,2,2008,5
CONFISCATE,NEGLECT,21,2008,5
CONFISCATE,POTDANGER,3,2008,5
CONFISCATE,UNPERMITED,4,2008,5
EUTH REQ,FIELD OWN,3,2008,5
EUTH REQ,OTC OWNED,52,2008,5
INVESTIGAT,POTDANGER,2,2008,5
OUTSURGERY,,79,2008,5
OWNER SUR,FIELD,73,2008,5
OWNER SUR,OTC,270,2008,5
QUARANTINE,MAS,15,2008,5
QUARANTINE,OWNER,10,2008,5
QUARANTINE,STRAY,6,2008,5
RETURN,,1,2008,5
RETURN,FIELD,5,2008,5
RETURN,OTC,9,2008,5
STRAY,FIELD,517,2008,5
STRAY,OTC,332,2008,5
TRANSFER,AN CONTROL,2,2008,5
CONFISCATE,,3,2008,6
CONFISCATE,ABANDONED,1,2008,6
CONFISCATE,BITE,2,2008,6
CONFISCATE,DANGER DOG,1,2008,6
CONFISCATE,NEGLECT,34,2008,6
CONFISCATE,POLICE,1,2008,6
CONFISCATE,POTDANGER,1,2008,6
CONFISCATE,UNPERMITED,5,2008,6
EUTH REQ,FIELD OWN,11,2008,6
EUTH REQ,OTC OWNED,71,2008,6
INVESTIGAT,POTDANGER,1,2008,6
OUTSURGERY,,73,2008,6
OWNER SUR,,2,2008,6
OWNER SUR,FIELD,66,2008,6
OWNER SUR,OTC,302,2008,6
QUARANTINE,MAS,21,2008,6
QUARANTINE,OWNER,4,2008,6
QUARANTINE,STRAY,2,2008,6
RETURN,FIELD,6,2008,6
RETURN,OTC,12,2008,6
STRAY,,8,2008,6
STRAY,FIELD,521,2008,6
STRAY,OTC,453,2008,6
CONFISCATE,,2,2008,7
CONFISCATE,BITE,1,2008,7
CONFISCATE,CRUELTY,4,2008,7
CONFISCATE,FIELD,4,2008,7
CONFISCATE,NEGLECT,18,2008,7
CONFISCATE,POTDANGER,4,2008,7
CONFISCATE,UNPERMITED,20,2008,7
EUTH REQ,FIELD,1,2008,7
EUTH REQ,FIELD OWN,1,2008,7
EUTH REQ,MAS,1,2008,7
EUTH REQ,OTC,18,2008,7
EUTH REQ,OTC OWNED,33,2008,7
EUTH REQ,OWNER,1,2008,7
EUTH REQ,OWNER SUR,1,2008,7
OUTSURGERY,,65,2008,7
OWNER SUR,,1,2008,7
OWNER SUR,FIELD,59,2008,7
OWNER SUR,FIELD OWN,1,2008,7
OWNER SUR,NEGLECT,2,2008,7
OWNER SUR,OTC,405,2008,7
OWNER SUR,OWNER SUR,2,2008,7
OWNER SUR,STRAY,2,2008,7
QUARANTINE,FIELD,4,2008,7
QUARANTINE,MAS,18,2008,7
QUARANTINE,OTC,1,2008,7
QUARANTINE,OWNER,3,2008,7
QUARANTINE,STRAY,4,2008,7
RETURN,,2,2008,7
RETURN,FIELD,2,2008,7
RETURN,OTC,17,2008,7
STRAY,FIELD,456,2008,7
STRAY,OTC,446,2008,7
STRAY,STRAY,14,2008,7
TRANSFER,FIELD,1,2008,7
CONFISCATE,ABANDONED,4,2008,8
CONFISCATE,BITE,1,2008,8
CONFISCATE,CHAINING,7,2008,8
CONFISCATE,DANGER DOG,1,2008,8
CONFISCATE,FIELD,1,2008,8
CONFISCATE,NEGLECT,38,2008,8
CONFISCATE,POTDANGER,1,2008,8
CONFISCATE,UNPERMITED,45,2008,8
EUTH REQ,,3,2008,8
EUTH REQ,FIELD OWN,5,2008,8
EUTH REQ,OTC,9,2008,8
EUTH REQ,OTC OWNED,59,2008,8
INVESTIGAT,POTDANGER,1,2008,8
KHS,,6,2008,8
OUTSURGERY,,64,2008,8
OUTSURGERY,OTC,1,2008,8
OWNER SUR,,2,2008,8
OWNER SUR,FIELD,103,2008,8
OWNER SUR,OTC,355,2008,8
QUARANTINE,MAS,8,2008,8
QUARANTINE,OWNER,1,2008,8
QUARANTINE,STRAY,4,2008,8
RETURN,,1,2008,8
RETURN,OTC,18,2008,8
STRAY,,1,2008,8
STRAY,FIELD,487,2008,8
STRAY,OTC,459,2008,8
STRAY,STRAY,4,2008,8
