% This text file includes data for each subsurface RAFOS
% float used in Collins et al., 2017.  The file contains six
% columns of ascii data at a temporal resolution of 12
% hours.  The first column is float number, the second is
% time, the third is longitude (degrees), the fourth is
% latitude (degrees), the fifth is pressure (decibars)
% and the sixth is temperature (T90).  Time is serial
% date number where a serial date number of 1 corresponds
% to Jan-1-0000.  Time is referenced to coordinated universal
% time (UTC).NaN is used when data is not available.  For
% some floats, the pressure and temperature data are erratic
% (a discussion of this issue can be found in Bower, 1994). 
% Data are smoothed as described in the Methods section
% of Collins et al., 2018.
%
% References: 
%
% Bower, A.S., 1994.  Pressure transducer tests-1986.  
% RAFOS Float Technology Workshop Proc., Woods Hole,
% MA, Woods Hole Oceanogr. Inst., 98-107.
%
% Collins, C.A., et al., 2018.  Lagrangian Observations of 
% the Along-slope Path of the California Undercurrent,
% Deep-Sea Res. II, submitted.
%
% C. A. Collins, 15 January, 2018 Email: collins@nps.edu
%
%fltno  time    lon       lat   pressure temperature
   3 728137.0  -123.502   38.231  391.6   6.99
   3 728137.5  -123.524   38.259  389.6   6.91
   3 728138.0  -123.543   38.279  367.6   6.76
   3 728138.5  -123.551   38.288  379.1   6.90
   3 728139.0  -123.554   38.285  362.7   7.15
   3 728139.5  -123.554   38.276  361.2   7.19
   3 728140.0  -123.552   38.272  357.2   7.38
   3 728140.5  -123.548   38.273  365.2   6.87
   3 728141.0  -123.541   38.268  375.5   6.85
   3 728141.5  -123.533   38.251  363.9   6.74
   3 728142.0  -123.527   38.226  366.9   6.68
   3 728142.5  -123.528   38.200  371.5   6.68
   3 728143.0  -123.531   38.177  365.5   6.67
   3 728143.5  -123.534   38.157  363.8   6.64
   3 728144.0  -123.536   38.137  366.2   6.68
   3 728144.5  -123.535   38.114  366.1   6.71
   3 728145.0  -123.532   38.086  358.1   6.67
   3 728145.5  -123.524   38.048  368.6   6.72
   3 728146.0  -123.509   38.004  367.3    NaN
   3 728146.5  -123.490   37.960  367.1    NaN
   3 728147.0  -123.471   37.914  366.6   6.70
   3 728147.5  -123.451   37.866  367.4   6.65
   3 728148.0  -123.426   37.819  348.0   6.52
   3 728148.5  -123.395   37.778  362.7   6.58
   3 728149.0  -123.359   37.750  360.0   6.52
   3 728149.5  -123.325   37.739  362.0   6.58
   3 728150.0  -123.299   37.740  371.2   6.69
   3 728150.5  -123.285   37.745  362.7   6.62
   3 728151.0  -123.284   37.752  366.8    NaN
   3 728151.5  -123.292   37.762  367.1    NaN
   3 728152.0  -123.303   37.775  363.0   6.59
   3 728152.5  -123.311   37.784  370.4   6.73
   3 728153.0  -123.313   37.786  381.0   6.76
   3 728153.5  -123.316   37.783  377.5   6.80
   3 728154.0  -123.326   37.780  378.7   6.77
   3 728154.5  -123.341   37.779  367.1   6.88
   3 728155.0  -123.352   37.780  368.5   6.78
   3 728155.5  -123.351   37.778  371.4   6.95
   3 728156.0  -123.335   37.770  372.4   6.92
   3 728156.5  -123.304   37.756  372.2   6.90
   3 728157.0  -123.263   37.739  372.4   6.91
   3 728157.5  -123.221   37.718  372.2   6.98
   3 728158.0  -123.193   37.693  369.7   6.92
   3 728158.5  -123.187   37.667  366.6   6.90
   3 728159.0  -123.201   37.645  365.2   6.74
   3 728159.5  -123.227   37.628  363.3   6.64
   3 728160.0  -123.256   37.611  362.0   6.73
   3 728160.5  -123.279   37.591  365.4   6.78
   3 728161.0  -123.296   37.569  354.2   6.66
   3 728161.5  -123.309   37.545  357.4   6.76
   3 728162.0  -123.321   37.517  359.6   6.76
   3 728162.5  -123.331   37.483  356.3   6.70
   3 728163.0  -123.339   37.445  361.5   6.71
   3 728163.5  -123.342   37.410  353.8   6.66
   3 728164.0  -123.334   37.383  348.4   6.68
   3 728164.5  -123.314   37.366  354.5   6.72
   3 728165.0  -123.294   37.354  361.6   6.70
   3 728165.5  -123.287   37.338  352.3   6.60
   3 728166.0  -123.293   37.322  355.0   6.65
   3 728166.5  -123.300   37.316  354.0   6.62
   3 728167.0  -123.298   37.323  355.0   6.64
   3 728167.5  -123.291   37.341  353.6   6.67
   3 728168.0  -123.282   37.366  356.2   6.69
   3 728168.5  -123.275   37.398  359.0   6.70
   3 728169.0  -123.273   37.438  365.6   6.77
   3 728169.5  -123.278   37.482  357.6   6.71
   3 728170.0  -123.289   37.527  359.1   6.70
   3 728170.5  -123.308   37.571  363.0   6.78
   3 728171.0  -123.337   37.614  367.5   6.84
   3 728171.5  -123.377   37.656  367.2   6.83
   3 728172.0  -123.426   37.693  360.2   6.72
   3 728172.5  -123.477   37.721  365.0   6.80
   3 728173.0  -123.522   37.739  359.8   6.77
   3 728173.5  -123.559   37.749  364.3   6.80
   3 728174.0  -123.589   37.752  361.9   6.75
   3 728174.5  -123.612   37.751  360.1   6.73
   3 728175.0  -123.631   37.746  363.2   6.76
   3 728175.5  -123.649   37.738  365.6   6.77
   3 728176.0  -123.670   37.726  363.5   6.76
   4 728175.5  -123.390   37.876  231.1   8.87
   4 728176.0  -123.385   37.921  231.5   8.70
   4 728176.5  -123.372   37.907  232.0   8.53
   4 728177.0  -123.346   37.818  232.4   8.35
   4 728177.5  -123.315   37.698  237.0   8.35
   4 728178.0  -123.289   37.618  238.2   8.35
   4 728178.5  -123.287   37.647  239.4   8.35
   4 728179.0  -123.310   37.796  240.7   8.35
   4 728179.5  -123.344   37.995  231.3   8.24
   4 728180.0  -123.364   38.145  231.3   8.21
   4 728180.5  -123.366   38.201  231.3   8.18
   4 728181.0  -123.359   38.197  231.3   8.15
   4 728181.5  -123.355   38.184  245.6   8.23
   4 728182.0  -123.353   38.192  250.9   8.25
   4 728182.5  -123.355   38.227  256.2   8.26
   4 728183.0  -123.365   38.281  261.5   8.28
   4 728183.5  -123.376   38.332  246.7   8.26
   4 728184.0  -123.381   38.362  246.3   8.21
   4 728184.5  -123.382   38.372  245.8   8.17
   4 728185.0  -123.388   38.376  245.4   8.13
   4 728185.5  -123.401   38.385  248.1   8.17
   4 728186.0  -123.419   38.401  245.0   8.13
   4 728186.5  -123.434   38.419  241.9   8.08
   4 728187.0  -123.448   38.443  238.8   8.04
   4 728187.5  -123.466   38.481  243.4   8.01
   4 728188.0  -123.494   38.540  235.2   7.86
   4 728188.5  -123.544   38.615  226.9   7.71
   4 728189.0  -123.615   38.693  218.6   7.55
   4 728189.5  -123.692   38.765  242.4   8.02
   4 728190.0  -123.757   38.836  240.8   7.92
   4 728190.5  -123.805   38.915  239.1   7.83
   4 728191.0  -123.846   39.005  237.5   7.73
   4 728191.5  -123.881   39.096  244.3   7.79
   4 728192.0  -123.902   39.177  248.9   7.81
   4 728192.5  -123.907   39.249  253.6   7.84
   4 728193.0  -123.901   39.325  258.2   7.87
   4 728193.5  -123.898   39.412  239.8   7.85
   4 728194.0  -123.903   39.505  237.7   7.78
   4 728194.5  -123.917   39.595  235.6   7.71
   4 728195.0  -123.941   39.678  233.6   7.64
   4 728195.5  -123.973   39.755  237.9   7.71
   4 728196.0  -124.012   39.829  237.8   7.71
   4 728196.5  -124.057   39.898  237.7   7.71
   4 728197.0  -124.105   39.959  237.6   7.71
   4 728197.5  -124.153   40.013  235.7   7.71
   4 728198.0  -124.199   40.066  239.2   7.71
   4 728198.5  -124.237   40.116  242.8   7.71
   4 728199.0  -124.264   40.158  246.4   7.71
   4 728199.5  -124.278   40.189  247.7   7.80
   4 728200.0  -124.278   40.210  245.4   7.74
   4 728200.5  -124.269   40.215  243.1   7.68
   4 728201.0  -124.262   40.201  240.8   7.62
   4 728201.5  -124.274   40.177  261.8   7.80
   4 728202.0  -124.316   40.161  258.3   7.75
   4 728202.5  -124.388   40.172  254.8   7.70
   4 728203.0  -124.475   40.208  251.3   7.65
   4 728203.5  -124.564   40.248  232.6   7.18
   4 728204.0  -124.646   40.271  235.9   7.26
   4 728204.5  -124.718   40.273  239.2   7.34
   4 728205.0  -124.786   40.264  242.5   7.42
   4 728205.5  -124.861   40.258  229.1   7.24
   4 728206.0  -124.950   40.261  232.0   7.24
   4 728206.5  -125.044   40.279  234.9   7.23
   4 728207.0  -125.124   40.321  237.8   7.23
   4 728207.5  -125.176   40.382  237.6   7.20
   4 728208.0  -125.196   40.444  237.4   7.21
   4 728208.5  -125.187   40.489  237.3   7.22
   4 728209.0  -125.157   40.508  237.1   7.22
   4 728209.5  -125.129   40.501  241.5   7.30
   4 728210.0  -125.117   40.474  237.0   7.30
   4 728210.5  -125.114   40.436  232.4   7.31
   4 728211.0  -125.111   40.406  227.9   7.31
   4 728211.5  -125.130   40.402  228.0   7.16
   4 728212.0  -125.197   40.432  235.3   7.29
   4 728212.5  -125.299   40.481  242.7   7.42
   4 728213.0  -125.385   40.518  250.0   7.55
   4 728213.5  -125.422   40.524  247.5   7.42
   4 728214.0  -125.427   40.498  244.4   7.35
   4 728214.5  -125.443   40.451  241.4   7.27
   4 728215.0  -125.500   40.400  238.3   7.19
   4 728215.5  -125.597   40.363  238.0   7.17
   4 728216.0  -125.713   40.358  239.1   7.21
   4 728216.5  -125.819   40.391  240.3   7.25
   4 728217.0  -125.891   40.453  241.5   7.29
   4 728217.5  -125.915   40.522  243.2   7.32
   4 728218.0  -125.899   40.568  248.0   7.39
   4 728218.5  -125.875   40.576  252.8   7.47
   4 728219.0  -125.887   40.547  257.6   7.54
   4 728219.5  -125.954   40.506  256.3   7.48
   4 728220.0  -126.057   40.481  254.9   7.47
   4 728220.5  -126.151   40.497  253.5   7.47
   4 728221.0  -126.196   40.549  252.1   7.47
   4 728221.5  -126.187   40.602  257.1   7.55
   4 728222.0  -126.151   40.618  256.3   7.54
   4 728222.5  -126.129   40.589  255.6   7.53
   4 728223.0  -126.141   40.543  254.8   7.52
   4 728223.5  -126.182   40.519  254.6   7.49
   4 728224.0  -126.228   40.529  257.8   7.54
   4 728224.5  -126.255   40.554  260.9   7.60
   4 728225.0  -126.258   40.560  264.1   7.65
   4 728225.5  -126.255   40.528  268.0   7.69
   4 728226.0  -126.273   40.473  264.2   7.63
   4 728226.5  -126.331   40.426  260.4   7.57
   4 728227.0  -126.418   40.407  256.6   7.51
   4 728227.5  -126.491   40.418  259.5   7.62
   4 728228.0  -126.516   40.436  257.6   7.60
   4 728228.5  -126.497   40.434  255.8   7.59
   4 728229.0  -126.476   40.400  254.0   7.57
   4 728229.5  -126.491   40.344  259.0   7.63
   4 728230.0  -126.553   40.295  260.4   7.63
   4 728230.5  -126.645   40.271  261.8   7.63
   4 728231.0  -126.737   40.273  263.2   7.63
   4 728231.5  -126.796   40.273  274.0   7.69
   4 728232.0  -126.812   40.247  267.8   7.64
   4 728232.5  -126.816   40.192  261.7   7.58
   4 728233.0  -126.852   40.128  255.5   7.52
   4 728233.5  -126.941   40.082  253.0   7.53
   4 728234.0  -127.063   40.062  261.9   7.59
   4 728234.5  -127.183   40.065  270.9   7.65
   4 728235.0  -127.280   40.075  279.8   7.71
   4 728235.5  -127.354   40.074  271.7   7.69
   4 728236.0  -127.417   40.052  267.3   7.62
   4 728236.5  -127.481   40.006  262.9   7.54
   4 728237.0  -127.550   39.944  258.6   7.47
   4 728237.5  -127.624   39.881  265.3   7.53
   4 728238.0  -127.706   39.831  259.8   7.46
   4 728238.5  -127.787   39.807  254.4   7.39
   4 728239.0  -127.849   39.817  248.9   7.32
   4 728239.5  -127.877   39.853  267.3   7.51
   4 728240.0  -127.891   39.891  266.0   7.56
   4 728240.5  -127.948   39.895  264.7   7.61
   4 728241.0  -128.084   39.852  263.4   7.66
   4 728241.5  -128.254   39.791  264.8   7.66
   4 728242.0  -128.372   39.759  267.8   7.67
   4 728242.5  -128.401   39.775  270.7   7.69
   4 728243.0  -128.370   39.820  273.7   7.71
   4 728243.5  -128.322   39.865  275.3   7.70
   4 728244.0  -128.272   39.899  275.7   7.64
   4 728244.5  -128.219   39.924  276.2   7.58
   4 728245.0  -128.164   39.946  276.6   7.53
   4 728245.5  -128.112   39.958  276.1   7.44
   4 728246.0  -128.068   39.954  272.8   7.35
   4 728246.5  -128.037   39.933  269.5   7.26
   4 728247.0  -128.022   39.898  266.2   7.17
   4 728247.5  -128.026   39.851  259.6   7.48
   4 728248.0  -128.043   39.793  259.8   7.46
   4 728248.5  -128.071   39.727  260.1   7.44
   4 728249.0  -128.105   39.662  260.3   7.42
   4 728249.5  -128.143   39.605  256.9   7.40
   4 728250.0  -128.188   39.554  258.7   7.41
   4 728250.5  -128.252   39.499  260.4   7.42
   4 728251.0  -128.346   39.428  262.1   7.43
   4 728251.5  -128.467   39.344  265.2   7.51
   4 728252.0  -128.601   39.257  264.1   7.48
   4 728252.5  -128.738   39.178  263.0   7.45
   4 728253.0  -128.876   39.115  261.9   7.42
   4 728253.5  -129.013   39.071  259.6   7.48
   4 728254.0  -129.138   39.045  263.7   7.43
   4 728254.5  -129.239   39.034  267.7   7.38
   4 728255.0  -129.314   39.036  271.7   7.33
   4 728255.5  -129.366   39.055  272.1   7.39
   4 728256.0  -129.400   39.089  273.7   7.41
   4 728256.5  -129.402   39.120  275.4   7.43
   4 728257.0  -129.366   39.126  277.0   7.45
   4 728257.5  -129.309   39.095  269.2   7.38
   4 728258.0  -129.265   39.036  267.6   7.34
   4 728258.5  -129.256   38.965  265.9   7.31
   4 728259.0  -129.278   38.890  264.3   7.27
   4 728259.5  -129.319   38.813  262.8   7.20
   4 728260.0  -129.376   38.732  258.3   7.13
   4 728260.5  -129.449   38.649  253.7   7.06
   4 728261.0  -129.534   38.567  249.2   6.99
   4 728261.5  -129.623   38.495  246.6   7.05
   4 728262.0  -129.709   38.432  245.2   7.00
   4 728262.5  -129.796   38.377  243.8   6.95
   4 728263.0  -129.890   38.324  242.4   6.91
   4 728263.5  -129.992   38.277  233.3   6.94
   4 728264.0  -130.094   38.241  237.2   7.00
   4 728264.5  -130.188   38.218  241.1   7.06
   4 728265.0  -130.276   38.208  244.9   7.12
   4 728265.5  -130.365   38.208  243.9   7.13
   4 728266.0  -130.456   38.213  246.2   7.13
   4 728266.5  -130.544   38.223  248.5   7.13
   4 728267.0  -130.625   38.236  250.8   7.14
   4 728267.5  -130.700   38.254  248.5   7.18
   4 728268.0  -130.776   38.280  251.5   7.15
   4 728268.5  -130.853   38.316  254.4   7.12
   4 728269.0  -130.925   38.360  257.4   7.10
   4 728269.5  -130.992   38.412  255.9   7.07
   4 728270.0  -131.055   38.469  256.8   7.03
   4 728270.5  -131.119   38.526  257.7   7.00
   4 728271.0  -131.180   38.581  258.6   6.96
   4 728271.5  -131.234   38.636  258.9   7.32
   4 728272.0  -131.282   38.694  258.0   7.30
   4 728272.5  -131.328   38.751  257.1   7.29
   4 728273.0  -131.373   38.801  256.1   7.28
   4 728273.5  -131.414   38.846  257.5   7.26
   4 728274.0  -131.444   38.896  256.4   7.25
   4 728274.5  -131.461   38.957  255.3   7.23
   4 728275.0  -131.463   39.023  254.2   7.22
   4 728275.5  -131.457   39.086  259.3   7.23
   4 728276.0  -131.451   39.141  262.1   7.22
   4 728276.5  -131.450   39.191  265.0   7.21
   4 728277.0  -131.455   39.241  267.9   7.20
   4 728277.5  -131.454   39.292  247.7   7.10
   4 728278.0  -131.437   39.340  247.9   7.12
   4 728278.5  -131.405   39.385  248.2   7.14
   4 728279.0  -131.366   39.432  248.4   7.16
   4 728279.5  -131.325   39.478  255.3   7.13
   4 728280.0  -131.280   39.518  256.2   7.13
   4 728280.5  -131.231   39.552  257.1   7.13
   4 728281.0  -131.179   39.587  258.1   7.13
   4 728281.5  -131.125   39.621  249.7   7.12
   4 728282.0  -131.065   39.649  254.2   7.10
   4 728282.5  -130.994   39.666  258.7   7.08
   4 728283.0  -130.913   39.676  263.1   7.07
   4 728283.5  -130.830   39.681  251.2   7.05
   4 728284.0  -130.753   39.679  251.4   7.03
   4 728284.5  -130.686   39.666  251.5   7.00
   4 728285.0  -130.628   39.645  251.7   6.98
   4 728285.5  -130.578   39.619  253.5   7.13
   4 728286.0  -130.531   39.593  251.3   7.14
   4 728286.5  -130.483   39.565  249.1   7.15
   4 728287.0  -130.433   39.532  246.9   7.16
   4 728287.5  -130.386   39.491  256.4   7.18
   4 728288.0  -130.352   39.447  256.4   7.18
   4 728288.5  -130.334   39.403  256.4   7.18
   4 728289.0  -130.328   39.361  256.4   7.18
   4 728289.5  -130.328   39.316  257.4   7.20
   4 728290.0  -130.330   39.264  255.9   7.19
   4 728290.5  -130.334   39.200  254.4   7.18
   4 728291.0  -130.343   39.127  252.9   7.17
   4 728291.5  -130.357   39.051  253.5   7.14
   4 728292.0  -130.372   38.979  254.0   7.16
   4 728292.5  -130.395   38.911  254.5   7.17
   4 728293.0  -130.430   38.848  255.0   7.19
   4 728293.5  -130.473   38.795    0.0    NaN
   4 728294.0  -130.504   38.764    0.0    NaN
   4 728294.5  -130.499   38.766    0.0    NaN
   4 728295.0  -130.463   38.794    0.0    NaN
   5 728117.0  -123.475   37.839  141.6   8.37
   5 728117.5  -123.522   37.916  135.7   8.32
   5 728118.0  -123.559   37.982  125.1   8.27
   5 728118.5  -123.574   38.036  133.8   8.27
   5 728119.0  -123.560   38.084  136.8   8.34
   5 728119.5  -123.527   38.136  147.0   8.38
   5 728120.0  -123.500   38.201  147.4   8.38
   5 728120.5  -123.501   38.282  139.8   8.35
   5 728121.0  -123.533   38.375  126.7   8.27
   5 728121.5  -123.587   38.466  126.7   8.23
   5 728122.0  -123.645   38.548  124.0   8.22
   5 728122.5  -123.696   38.618  128.0   8.22
   5 728123.0  -123.736   38.675  128.6   8.20
   5 728123.5  -123.769   38.722  129.8   8.27
   5 728124.0  -123.797   38.763  128.7   8.21
   5 728124.5  -123.820   38.800  126.0   8.21
   5 728125.0  -123.835   38.832  119.5   8.13
   5 728125.5  -123.840   38.856  113.7   8.07
   5 728126.0  -123.841   38.874  107.6   8.07
   5 728126.5  -123.843   38.889  107.2   8.08
   5 728127.0  -123.850   38.908  108.2   8.06
   5 728127.5  -123.865   38.938  109.0   8.01
   5 728128.0  -123.888   38.982  111.6   7.97
   5 728128.5  -123.910   39.032  116.0   7.96
   5 728129.0  -123.926   39.086  122.1   7.94
   5 728129.5  -123.934   39.147  126.2   7.94
   5 728130.0  -123.941   39.216  128.4   7.96
   5 728130.5  -123.948   39.291  127.2   7.97
   5 728131.0  -123.954   39.369  128.1   7.97
   5 728131.5  -123.964   39.450  126.7   7.98
   5 728132.0  -123.983   39.534  125.2   7.96
   5 728132.5  -124.018   39.622  123.6   7.96
   5 728133.0  -124.063   39.714  119.9   7.95
   5 728133.5  -124.105   39.798  117.2   7.94
   5 728134.0  -124.137   39.868  121.7   7.94
   5 728134.5  -124.164   39.928  131.0   7.97
   5 728135.0  -124.198   39.990  141.5   8.01
   5 728135.5  -124.254   40.060  132.5   7.96
   5 728136.0  -124.335   40.133  139.1   7.93
   5 728136.5  -124.433   40.212  136.1   7.79
   5 728137.0  -124.526   40.306  133.2   7.86
   5 728137.5  -124.591   40.410  133.1   7.84
   5 728138.0  -124.616   40.504  142.4   7.87
   5 728138.5  -124.613   40.570  144.1   7.92
   5 728139.0  -124.596   40.612  140.9   7.92
   5 728139.5  -124.566   40.644  145.3   7.93
   5 728140.0  -124.520   40.682  152.8   7.93
   5 728140.5  -124.463   40.730  162.9   8.03
   5 728141.0  -124.406   40.784  159.8   8.03
   5 728141.5  -124.360   40.843  147.6   7.97
   5 728142.0  -124.327   40.901  151.4   8.07
   5 728142.5  -124.305   40.957  133.1   8.00
   5 728143.0  -124.292   41.014  149.8   8.00
   5 728143.5  -124.286   41.072  152.2   7.97
   5 728144.0  -124.288   41.132  130.3   7.96
   5 728144.5  -124.302   41.193  135.9   7.99
   5 728145.0  -124.323   41.257  135.3   8.01
   5 728145.5  -124.342   41.324  132.7   8.03
   5 728146.0  -124.355   41.392  131.2   8.03
   5 728146.5  -124.361   41.459  143.8   8.01
   5 728147.0  -124.359   41.522  161.8   8.03
   5 728147.5  -124.349   41.574  174.1   8.12
   5 728148.0  -124.333   41.616  147.2   8.04
   5 728148.5  -124.320   41.652  157.7   8.12
   5 728149.0  -124.324   41.690  158.5   8.09
   5 728149.5  -124.352   41.733  165.3   8.04
   5 728150.0  -124.400   41.776  171.0   8.10
   5 728150.5  -124.461   41.808  151.2   7.94
   5 728151.0  -124.535   41.824  139.0   7.86
   5 728151.5  -124.631   41.831  142.7   7.89
   5 728152.0  -124.747   41.852  132.7   7.85
   5 728152.5  -124.875   41.917  132.9   7.86
   5 728153.0  -125.006   42.038  135.4   7.87
   5 728153.5  -125.114   42.183  120.5   7.81
   5 728154.0  -125.166   42.301  122.2   7.79
   5 728154.5  -125.171   42.360  123.3   7.81
   5 728155.0  -125.168   42.365  132.2   7.83
   5 728155.5  -125.179   42.339  137.2   7.85
   5 728156.0  -125.199   42.303  141.1    NaN
   5 728156.5  -125.220   42.266  144.7    NaN
   5 728157.0  -125.242   42.230  142.0   7.82
   5 728157.5  -125.272   42.201  142.0   7.77
   5 728158.0  -125.317   42.192  145.5   7.81
   5 728158.5  -125.372   42.216  143.3   7.78
   5 728159.0  -125.402   42.276  143.8   7.75
   5 728159.5  -125.378   42.352  140.6   7.80
   5 728160.0  -125.311   42.413  138.2   7.82
   5 728160.5  -125.249   42.439  143.4   7.84
   5 728161.0  -125.222   42.436  148.8   7.87
   5 728161.5  -125.224   42.418  151.1   7.84
   5 728162.0  -125.237   42.396  153.3   7.82
   5 728162.5  -125.250   42.374  155.6    NaN
   5 728163.0  -125.264   42.352  149.7   7.75
   5 728163.5  -125.278   42.330  148.3   7.80
   5 728164.0  -125.292   42.308  155.5   7.79
   5 728164.5  -125.305   42.286  149.2   7.79
   5 728165.0  -125.320   42.263  150.5   7.83
   5 728165.5  -125.338   42.242  145.2   7.76
   5 728166.0  -125.363   42.232  146.3   7.72
   5 728166.5  -125.390   42.251  150.1   7.79
   5 728167.0  -125.405   42.307  144.8   7.74
   5 728167.5  -125.387   42.382  149.7   7.78
   5 728168.0  -125.331   42.443  144.0   7.75
   5 728168.5  -125.255   42.465  149.0   7.78
   5 728169.0  -125.187   42.443  147.3   7.74
   5 728169.5  -125.160   42.387  146.7   7.77
   5 728170.0  -125.185   42.315  160.2   7.82
   5 728170.5  -125.252   42.251  148.1   7.73
   5 728171.0  -125.347   42.213  152.8    NaN
   5 728171.5  -125.457   42.217  157.1    NaN
   5 728172.0  -125.562   42.266  160.3   7.82
   5 728172.5  -125.634   42.351  159.4   7.80
   5 728173.0  -125.647   42.453  159.5   7.79
   5 728173.5  -125.599   42.545  157.0   7.80
   5 728174.0  -125.513   42.612  160.3   7.82
   5 728174.5  -125.412   42.654  154.4   7.78
   5 728175.0  -125.301   42.680  164.9   7.79
   5 728175.5  -125.181   42.700  151.8   7.78
   5 728176.0  -125.054   42.719  158.5   7.79
   8 728175.5  -123.460   37.795  312.6   7.53
   8 728176.0  -123.486   37.824  309.6   7.46
   8 728176.5  -123.509   37.846  308.0   7.44
   8 728177.0  -123.524   37.862  306.3   7.42
   8 728177.5  -123.529   37.874  308.9   7.46
   8 728178.0  -123.526   37.888  314.2   7.53
   8 728178.5  -123.522   37.904  313.4   7.50
   8 728179.0  -123.521   37.921  312.6   7.47
   8 728179.5  -123.524   37.943  317.1   7.52
   8 728180.0  -123.525   37.980  324.4   7.62
   8 728180.5  -123.521   38.033  323.6   7.62
   8 728181.0  -123.512   38.093  322.8   7.62
   8 728181.5  -123.500   38.146  321.2   7.62
   8 728182.0  -123.491   38.186  320.6   7.63
   8 728182.5  -123.489   38.217  322.1   7.65
   8 728183.0  -123.498   38.249  323.6   7.67
   8 728183.5  -123.520   38.290  318.8   7.60
   8 728184.0  -123.554   38.347  309.6   7.47
   8 728184.5  -123.595   38.414  309.2   7.46
   8 728185.0  -123.639   38.484  308.9   7.46
   8 728185.5  -123.681   38.549  308.2   7.45
   8 728186.0  -123.727   38.614  306.4   7.39
   8 728186.5  -123.782   38.689  304.6   7.30
   8 728187.0  -123.849   38.778  302.8   7.22
   8 728187.5  -123.920   38.876  301.5   7.18
   8 728188.0  -123.984   38.972  297.8   7.19
   8 728188.5  -124.028   39.066  291.7   7.14
   8 728189.0  -124.048   39.159  285.5   7.08
   8 728189.5  -124.051   39.251  288.5   7.10
   8 728190.0  -124.047   39.332  302.8   7.19
   8 728190.5  -124.041   39.389  307.2   7.20
   8 728191.0  -124.032   39.419  311.7   7.21
   8 728191.5  -124.016   39.434  313.0   7.24
   8 728192.0  -123.997   39.452  312.0   7.29
   8 728192.5  -123.987   39.483  315.5   7.30
   8 728193.0  -123.988   39.522  318.9   7.32
   8 728193.5  -123.995   39.557  315.4   7.28
   8 728194.0  -124.001   39.579  310.1   7.23
   8 728194.5  -124.002   39.588  316.6   7.27
   8 728195.0  -124.003   39.587  323.2   7.32
   8 728195.5  -124.010   39.575  324.6   7.33
   8 728196.0  -124.018   39.552  318.1   7.29
