Consecutive	Larva_ID	Temp	Diet	Date_eclosion	Day_of_death/release	Days_Survived	Surv_yes1_no2
46	46	20	HL	10-Jan-17	25-Jan-17	15	1
47	47	25	HL	5-Jan-17	20-Jan-17	15	1
48	48	30	HL	4-Jan-17	10-Jan-17	6	2
49	49	15	HL	23-Jan-17	2-Feb-17	10	2
50	50	20	HL	16-Jan-17	17-Jan-17	1	2
51	51	25	HL	9-Jan-17	24-Jan-17	15	1
52	52	30	HL	6-Jan-17	21-Jan-17	15	1
53	53	15	HL	12-Jan-17	23-Jan-17	11	2
54	54	20	HL	10-Jan-17	25-Jan-17	15	1
55	55	25	HL	9-Jan-17	24-Jan-17	15	1
56	56	30	HL	13-Dec-16	13-Dec-16	0	2
57	57	15	HL	13-Dec-16	19-Dec-16	6	2
58	58	15	HL	23-Dec-16	4-Jan-17	12	2
59	59	20	HL	13-Dec-16	28-Dec-16	15	1
60	60	15	HL	9-Dec-16	13-Dec-16	4	2
61	61	15	HL	5-Jan-17	11-Jan-17	6	2
62	62	15	HL	2-Jan-17	9-Jan-17	7	2
63	63	20	HL	7-Dec-16	22-Dec-16	15	1
64	64	15	HL	26-Dec-16	27-Dec-16	1	2
65	65	20	HL	19-Dec-16	20-Dec-16	1	2
66	66	20	HL	19-Dec-16	3-Jan-17	15	1
67	67	15	HL	23-Jan-17	23-Jan-17	0	2
68	68	15	HL	23-Jan-17	23-Jan-17	0	2
69	69	20	HL	9-Jan-17	12-Jan-17	3	2
70	70	20	HL	9-Jan-17	24-Jan-17	15	1
71	71	25	HL	3-Jan-17	18-Jan-17	15	1
72	72	15	HL	24-Jan-17	2-Feb-17	9	2
73	73	20	HL	13-Jan-17	28-Jan-17	15	1
74	74	25	HL	9-Jan-17	24-Jan-17	15	1
75	75	30	HL	6-Jan-17	21-Jan-17	15	1
76	76	15	HL	1-Feb-17	6-Feb-17	5	2
77	77	15	HL	2-Feb-17	7-Feb-17	5	2
78	78	20	HL	16-Jan-17	31-Jan-17	15	1
79	79	25	HL	12-Jan-17	27-Jan-17	15	1
80	80	30	HL	1-Dec-16	1-Dec-16	0	2
81	81	30	HL	1-Dec-16	2-Dec-16	1	2
82	82	25	HL	5-Dec-16	12-Dec-16	7	2
83	83	30	HL	2-Dec-16	17-Dec-16	15	1
84	84	15	HL	23-Jan-17	7-Feb-17	15	1
85	85	15	HL	23-Jan-17	7-Feb-17	15	1
86	86	15	HL	23-Jan-17	7-Feb-17	15	1
87	87	15	HL	23-Jan-17	7-Feb-17	15	1
88	88	15	HL	23-Jan-17	7-Feb-17	15	1
89	89	20	HL	10-Jan-17	25-Jan-17	15	1
90	90	25	HL	6-Jan-17	21-Jan-17	15	1
91	91	15	HL	23-Jan-17	7-Feb-17	15	1
92	92	20	HL	10-Jan-17	25-Jan-17	15	1
93	93	25	HL	9-Jan-17	24-Jan-17	15	1
94	94	30	HL	12-Jan-17	16-Jan-17	4	2
95	95	15	HL	20-Jan-17	23-Jan-17	3	2
96	96	20	HL	9-Jan-17	24-Jan-17	15	1
97	97	15	HL	13-Jan-17	16-Jan-17	3	2
98	98	15	HL	1-Feb-17	16-Feb-17	15	1
99	99	20	HL	16-Jan-17	31-Jan-17	15	1
100	100	20	HL	9-Jan-17	24-Jan-17	15	1
101	101	20	HL	9-Jan-17	24-Jan-17	15	1
102	102	15	HL	16-Jan-17	20-Jan-17	4	2
103	103	20	HL	16-Jan-17	31-Jan-17	15	1
104	104	25	HL	9-Jan-17	24-Jan-17	15	1
105	105	25	HL	8-Feb-17	20-Feb-17	12	2
106	106	30	HL	9-Feb-17	9-Feb-17	0	2
108	108	25	HL	3-Mar-17	18-Mar-17	15	1
109	109	25	HL	6-Feb-17	21-Feb-17	15	1
110	110	20	HL	9-Feb-17	24-Feb-17	15	1
111	111	20	HL	9-Feb-17	20-Feb-17	11	2
112	112	25	HL	6-Feb-17	21-Feb-17	15	1
113	113	30	HL	6-Feb-17	10-Feb-17	4	2
114	114	15	HL	6-Mar-17	9-Mar-17	3	2
115	115	20	HL	14-Feb-17	20-Feb-17	6	2
116	116	15	HL	1-Mar-17	15-Mar-17	14	2
117	117	15	HL	2-Mar-17	6-Mar-17	4	2
118	118	15	HL	7-Mar-17	13-Mar-17	6	2
119	119	20	HL	16-Feb-17	3-Mar-17	15	1
120	120	20	HL	17-Feb-17	4-Mar-17	15	1
121	121	25	HL	20-Feb-17	23-Feb-17	3	2
122	122	15	HL	20-Mar-17	31-Mar-17	11	2
123	123	15	HL	20-Mar-17	27-Mar-17	7	2
124	124	30	HL	23-Feb-17	27-Feb-17	4	2
125	125	30	HL	2-Feb-17	17-Feb-17	15	1
126	126	25	HL	3-Feb-17	18-Feb-17	15	1
127	127	30	HL	7-Feb-17	13-Feb-17	6	2
128	128	15	HL	7-Mar-17	13-Mar-17	6	2
129	129	20	HL	3-Mar-17	18-Mar-17	15	1
130	130	25	HL	13-Feb-17	28-Feb-17	15	1
131	131	25	HL	13-Feb-17	28-Feb-17	15	1
132	132	25	HL	13-Feb-17	28-Feb-17	15	1
133	133	25	HL	13-Feb-17	28-Feb-17	15	1
134	134	30	HL	13-Feb-17	16-Feb-17	3	2
135	135	15	HL	13-Mar-17	27-Mar-17	14	2
136	136	20	HL	22-Feb-17	9-Mar-17	15	1
137	137	25	HL	17-Feb-17	4-Mar-17	15	1
138	138	30	HL	17-Feb-17	4-Mar-17	15	1
139	139	30	HL	17-Feb-17	4-Mar-17	15	1
140	140	30	HL	17-Feb-17	20-Feb-17	3	2
141	141	30	HL	17-Feb-17	28-Feb-17	11	2
142	142	30	HL	17-Feb-17	4-Mar-17	15	1
143	143	30	HL	17-Feb-17	20-Feb-17	3	2
144	144	30	HL	17-Feb-17	4-Mar-17	15	1
145	145	15	HL	24-Feb-17	11-Mar-17	15	1
146	146	20	HL	27-Feb-17	14-Mar-17	15	1
147	147	30	HL	27-Feb-17	27-Feb-17	0	2
148	148	15	HL	14-Feb-17	1-Mar-17	15	1
149	149	20	HL	6-Feb-17	21-Feb-17	15	1
150	150	15	HL	14-Feb-17	1-Mar-17	15	1
151	151	15	HL	9-Mar-17	20-Mar-17	11	2
152	152	20	HL	20-Feb-17	7-Mar-17	15	1
153	153	25	HL	1-Mar-17	6-Mar-17	5	2
154	154	20	HL	18-May-17	2-Jun-17	15	1
155	155	20	HL	18-May-17	2-Jun-17	15	1
156	156	25	HL	17-May-17	1-Jun-17	15	1
157	157	20	HL	19-May-17	3-Jun-17	15	1
158	158	25	HL	22-May-17	6-Jun-17	15	1
159	159	25	HL	22-May-17	6-Jun-17	15	1
160	160	20	HL	25-May-17	9-Jun-17	15	1
161	161	25	HL	22-May-17	6-Jun-17	15	1
162	162	20	HL	24-May-17	8-Jun-17	15	1
163	163	25	HL	22-May-17	6-Jun-17	15	1
164	164	20	HL	24-May-17	8-Jun-17	15	1
165	165	25	HL	22-May-17	6-Jun-17	15	1
166	166	20	HL	24-May-17	8-Jun-17	15	1
167	167	25	HL	22-May-17	6-Jun-17	15	1
168	168	20	HL	25-May-17	9-Jun-17	15	1
169	169	25	HL	23-May-17	7-Jun-17	15	1
170	170	20	HL	24-May-17	8-Jun-17	15	1
171	171	25	HL	22-May-17	6-Jun-17	15	1
172	172	20	HL	24-May-17	26-May-17	2	2
173	173	25	HL	22-May-17	6-Jun-17	15	1
174	174	20	HL	29-May-17	13-Jun-17	15	1
175	175	25	HL	1-Jun-17	16-Jun-17	15	1
176	176	25	HL	1-Jun-17	5-Jun-17	4	2
177	177	20	HL	5-Jun-17	9-Jun-17	4	2
178	178	20	HL	6-Jun-17	21-Jun-17	15	1
179	179	25	HL	1-Jun-17	16-Jun-17	15	1
180	180	20	HL	5-Jun-17	13-Jun-17	8	2
181	181	25	HL	2-Jun-17	17-Jun-17	15	1
182	182	20	HL	7-Jun-17	22-Jun-17	15	1
183	183	25	HL	6-Jun-17	21-Jun-17	15	1
184	184	20	HL	5-Jun-17	20-Jun-17	15	1
185	185	25	HL	5-Jun-17	8-Jun-17	3	2
186	186	20	HL	5-Jun-17	20-Jun-17	15	1
187	187	25	HL	5-Jun-17	20-Jun-17	15	1
188	188	20	HL	12-Jun-17	27-Jun-17	15	1
189	189	20	HL	12-Jun-17	27-Jun-17	15	1
190	190	25	HL	9-Jun-17	24-Jun-17	15	1
191	191	20	HL	12-Jun-17	27-Jun-17	15	1
192	192	20	HL	23-May-17	7-Jun-17	15	1
193	193	25	HL	18-May-17	22-May-17	4	2
194	194	25	HL	18-May-17	22-May-17	4	2
195	195	20	HL	24-May-17	29-May-17	5	2
197	197	20	HL	22-May-17	26-May-17	4	2
198	198	25	HL	18-May-17	2-Jun-17	15	1
199	199	20	HL	23-May-17	7-Jun-17	15	1
200	200	25	HL	18-May-17	23-May-17	5	2
201	201	20	HL	29-May-17	13-Jun-17	15	1
202	202	20	HL	23-May-17	24-May-17	1	2
203	203	25	HL	19-May-17	3-Jun-17	15	1
204	204	20	HL	25-May-17	9-Jun-17	15	1
205	205	25	HL	23-May-17	7-Jun-17	15	1
206	206	20	HL	25-May-17	9-Jun-17	15	1
207	207	25	HL	22-May-17	26-May-17	4	2
208	208	20	HL	26-May-17	31-May-17	5	2
209	209	25	HL	22-May-17	6-Jun-17	15	1
210	210	20	HL	5-Jun-17	20-Jun-17	15	1
211	211	20	HL	22-May-17	6-Jun-17	15	1
212	212	20	HL	22-May-17	6-Jun-17	15	1
214	214	25	HL	22-May-17	6-Jun-17	15	1
215	215	20	HL	26-May-17	10-Jun-17	15	1
216	216	25	HL	22-May-17	6-Jun-17	15	1
217	217	25	HL	23-May-17	7-Jun-17	15	1
218	218	20	HL	26-May-17	10-Jun-17	15	1
219	219	25	HL	22-May-17	6-Jun-17	15	1
220	220	25	HL	6-Jun-17	8-Jun-17	2	2
221	221	20	HL	9-Jun-17	24-Jun-17	15	1
222	222	25	HL	5-Jun-15	20-Jun-15	15	1
223	223	25	HL	9-Jun-17	9-Jun-17	0	2
224	224	20	HL	9-Jun-17	15-Jun-17	6	2
225	225	25	HL	22-May-17	6-Jun-17	15	1
226	226	20	HL	23-May-17	26-May-17	3	2
227	227	25	HL	22-May-17	6-Jun-17	15	1
228	228	20	HL	23-May-17	24-May-17	1	2
229	229	20	HL	29-May-17	13-Jun-17	15	1
230	230	25	HL	25-May-17	9-Jun-17	15	1
231	231	20	HL	29-May-17	13-Jun-17	15	1
232	232	25	HL	25-May-17	5-Jun-17	11	2
233	233	20	HL	29-May-17	12-Jun-17	14	2
234	234	25	HL	26-May-17	10-Jun-17	15	1
235	235	25	HL	23-May-17	23-May-17	0	2
236	236	20	HL	29-May-17	13-Jun-17	15	1
237	237	25	HL	22-May-17	6-Jun-17	15	1
238	238	20	HL	26-May-17	10-Jun-17	15	1
239	239	25	HL	22-May-17	6-Jun-17	15	1
240	240	20	HL	23-May-17	7-Jun-17	15	1
241	241	25	HL	23-May-17	5-Jun-17	13	2
242	242	20	HL	25-May-17	9-Jun-17	15	1
243	243	25	HL	22-May-17	22-May-17	0	2
244	244	25	HL	25-May-17	9-Jun-17	15	1
245	245	20	HL	29-May-17	13-Jun-17	15	1
246	246	25	HL	26-May-17	10-Jun-17	15	1
247	247	20	HL	29-May-17	5-Jun-17	7	2
248	248	25	HL	26-May-17	10-Jun-17	15	1
249	249	25	HL	31-May-17	15-Jun-17	15	1
250	250	20	HL	5-Jun-17	14-Jun-17	9	2
251	251	25	HL	2-Jun-17	17-Jun-17	15	1
252	252	25	HL	2-Jun-17	17-Jun-17	15	1
253	253	20	HL	5-Jun-17	20-Jun-17	15	1
254	254	20	HL	5-Jun-17	20-Jun-17	15	1
255	255	25	HL	7-Jun-17	22-Jun-17	15	1
256	256	20	HL	8-Jun-17	19-Jun-17	11	2
257	257	25	HL	2-Jun-17	5-Jun-17	3	2
258	258	20	HL	9-Jun-17	14-Jun-17	5	2
259	259	25	HL	5-Jun-17	20-Jun-17	15	1
260	260	20	HL	9-Jun-17	24-Jun-17	15	1
261	261	25	HL	1-Jun-17	16-Jun-17	15	1
262	262	25	HL	7-Jun-17	22-Jun-17	15	1
263	263	25	HL	13-Jun-17	13-Jun-17	0	2
264	264	20	HL	13-Jun-17	19-Jun-17	6	2
265	265	25	HL	8-Jun-17	23-Jun-17	15	1
266	266	20	HL	12-Jun-17	27-Jun-17	15	1
267	267	25	HL	7-Jun-17	22-Jun-17	15	1
1	1	15	MV	12-Jun-17	16-Jun-17	4	2
2	2	20	MV	12-Jun-17	27-Jun-17	15	1
3	3	20	MV	12-Jun-17	25-Jun-17	13	2
4	4	25	MV	12-Jun-17	27-Jun-17	15	1
5	5	30	MV	12-Jun-17	23-Jun-17	11	2
6	6	15	MV	12-Jun-17	18-Jun-17	6	2
7	7	20	MV	12-Jun-17	27-Jun-17	15	1
8	8	25	MV	12-Jun-17	27-Jun-17	15	1
9	9	30	MV	12-Jun-17	25-Jun-17	13	2
10	10	15	MV	12-Jun-17	27-Jun-17	15	1
11	11	20	MV	12-Jun-17	27-Jun-17	15	1
12	12	25	MV	12-Jun-17	27-Jun-17	15	1
13	13	30	MV	12-Jun-17	16-Jun-17	4	2
14	14	15	MV	12-Jun-17	23-Jun-17	11	2
15	15	20	MV	12-Jun-17	27-Jun-17	15	1
16	16	25	MV	12-Jun-17	27-Jun-17	15	1
17	17	30	MV	12-Jun-17	27-Jun-17	15	1
18	18	15	MV	12-Jun-17	16-Jun-17	4	2
19	19	20	MV	12-Jun-17	27-Jun-17	15	1
20	20	25	MV	12-Jun-17	27-Jun-17	15	1
21	21	30	MV	12-Jun-17	27-Jun-17	15	1
22	22	15	MV	13-Jun-17	23-Jun-17	10	2
23	23	20	MV	13-Jun-17	14-Jun-17	1	2
24	24	25	MV	13-Jun-17	18-Jun-17	5	2
25	25	30	MV	13-Jun-17	26-Jun-17	13	2
26	26	15	MV	13-Jun-17	18-Jun-17	5	2
27	27	20	MV	13-Jun-17	28-Jun-17	15	1
28	28	25	MV	13-Jun-17	17-Jun-17	4	2
29	29	30	MV	13-Jun-17	19-Jun-17	6	2
30	30	15	MV	13-Jun-17	23-Jun-17	10	2
31	31	20	MV	13-Jun-17	28-Jun-17	15	1
32	32	25	MV	13-Jun-17	28-Jun-17	15	1
33	33	30	MV	13-Jun-17	25-Jun-17	12	2
34	34	15	MV	13-Jun-17	17-Jun-17	4	2
35	35	20	MV	13-Jun-17	23-Jun-17	10	2
36	36	25	MV	13-Jun-17	21-Jun-17	8	2
37	37	30	MV	13-Jun-17	23-Jun-17	10	2
38	38	15	MV	13-Jun-17	27-Jun-17	14	2
39	39	20	MV	13-Jun-17	28-Jun-17	15	1
40	40	25	MV	13-Jun-17	28-Jun-17	15	1
41	41	30	MV	14-Jun-17	23-Jun-17	9	2
42	42	15	MV	14-Jun-17	25-Jun-17	11	2
43	43	20	MV	14-Jun-17	29-Jun-17	15	1
44	44	25	MV	14-Jun-17	29-Jun-17	15	1
45	45	30	MV	14-Jun-17	25-Jun-17	11	2
46	46	15	MV	14-Jun-17	23-Jun-17	9	2
47	47	20	MV	15-Jun-17	30-Jun-17	15	1
48	48	25	MV	15-Jun-17	30-Jun-17	15	1
49	49	30	MV	15-Jun-17	21-Jun-17	6	2
50	50	15	MV	15-Jun-17	28-Jun-17	13	2
51	51	20	MV	16-Jun-17	28-Jun-17	12	2
52	52	25	MV	16-Jun-17	1-Jul-17	15	1
53	53	30	MV	16-Jun-17	21-Jun-17	5	2
54	54	15	MV	16-Jun-17	28-Jun-17	12	2
55	55	20	MV	16-Jun-17	1-Jul-17	15	1
56	56	25	MV	16-Jun-17	1-Jul-17	15	1
57	57	30	MV	16-Jun-17	21-Jun-17	5	2
58	58	15	MV	16-Jun-17	30-Jun-17	14	2
59	59	20	MV	16-Jun-17	1-Jul-17	15	1
60	60	25	MV	16-Jun-17	1-Jul-17	15	1
61	61	30	MV	16-Jun-17	23-Jun-17	7	2
62	62	15	MV	16-Jun-17	25-Jun-17	9	2
63	63	20	MV	16-Jun-17	1-Jul-17	15	1
64	64	25	MV	16-Jun-17	1-Jul-17	15	1
65	65	30	MV	16-Jun-17	21-Jun-17	5	2
66	66	15	MV	16-Jun-17	30-Jun-17	14	2
67	67	20	MV	16-Jun-17	1-Jul-17	15	1
68	68	25	MV	16-Jun-17	1-Jul-17	15	1
69	69	30	MV	16-Jun-17	23-Jun-17	7	2
70	70	15	MV	17-Jun-17	2-Jul-17	15	1
71	71	20	MV	17-Jun-17	30-Jun-17	13	2
72	72	25	MV	17-Jun-17	2-Jul-17	15	1
73	73	30	MV	17-Jun-17	25-Jun-17	8	2
74	74	15	MV	17-Jun-17	25-Jun-17	8	2
75	75	20	MV	17-Jun-17	2-Jul-17	15	1
76	76	25	MV	17-Jun-17	2-Jul-17	15	1
77	77	30	MV	17-Jun-17	21-Jun-17	4	2
78	78	15	MV	17-Jun-17	1-Jul-17	14	2
79	79	20	MV	17-Jun-17	28-Jun-17	11	2
80	80	25	MV	17-Jun-17	1-Jul-17	14	2
81	81	30	MV	17-Jun-17	25-Jun-17	8	2
82	82	15	MV	17-Jun-17	2-Jul-17	15	1
83	83	20	MV	17-Jun-17	2-Jul-17	15	1
84	84	25	MV	17-Jun-17	2-Jul-17	15	1
85	85	30	MV	17-Jun-17	21-Jun-17	4	2
86	86	15	MV	17-Jun-17	2-Jul-17	15	1
87	87	20	MV	17-Jun-17	25-Jun-17	8	2
88	88	25	MV	17-Jun-17	2-Jul-17	15	1
89	89	15	MV	18-Jun-17	3-Jul-17	15	1
90	90	20	MV	19-Jun-17	4-Jul-17	15	1
91	91	25	MV	19-Jun-17	4-Jul-17	15	1
92	92	30	MV	19-Jun-17	25-Jun-17	6	2
93	93	15	MV	19-Jun-17	30-Jun-17	11	2
94	94	20	MV	20-Jun-17	5-Jul-17	15	1
95	95	25	MV	20-Jun-17	5-Jul-17	15	1
96	96	30	MV	20-Jun-17	26-Jun-17	6	2
97	97	15	MV	20-Jun-17	28-Jun-17	8	2
98	98	20	MV	20-Jun-17	5-Jul-17	15	1
99	99	25	MV	20-Jun-17	5-Jul-17	15	1
100	100	30	MV	20-Jun-17	30-Jun-17	10	2
101	101	15	MV	20-Jun-17	30-Jun-17	10	2
102	102	20	MV	20-Jun-17	25-Jun-17	5	2
103	103	25	MV	20-Jun-17	5-Jul-17	15	1
104	104	30	MV	20-Jun-17	26-Jun-17	6	2
105	105	15	MV	20-Jun-17	5-Jul-17	15	1
106	106	20	MV	20-Jun-17	25-Jun-17	5	2
107	107	25	MV	20-Jun-17	5-Jul-17	15	1
108	108	30	MV	20-Jun-17	5-Jul-17	15	1
109	109	15	MV	20-Jun-17	28-Jun-17	8	2
110	110	20	MV	20-Jun-17	5-Jul-17	15	1
111	111	25	MV	20-Jun-17	23-Jun-17	3	2
112	112	30	MV	20-Jun-17	28-Jun-17	8	2
113	113	15	MV	20-Jun-17	21-Jun-17	1	2
114	114	20	MV	20-Jun-17	5-Jul-17	15	1
115	115	25	MV	20-Jun-17	5-Jul-17	15	1
116	116	30	MV	20-Jun-17	25-Jun-17	5	2
117	117	15	MV	20-Jun-17	30-Jun-17	10	2
118	118	20	MV	20-Jun-17	5-Jul-17	15	1
119	119	25	MV	20-Jun-17	5-Jul-17	15	1
120	120	30	MV	20-Jun-17	28-Jun-17	8	2
121	121	15	MV	20-Jun-17	23-Jun-17	3	2
122	122	20	MV	20-Jun-17	5-Jul-17	15	1
123	123	25	MV	20-Jun-17	5-Jul-17	15	1
124	124	30	MV	20-Jun-17	1-Jul-17	11	2
125	125	15	MV	20-Jun-17	30-Jun-17	10	2
126	126	20	MV	22-Jun-17	7-Jul-17	15	1
127	127	25	MV	22-Jun-17	7-Jul-17	15	1
128	128	30	MV	22-Jun-17	3-Jul-17	11	2
129	129	15	MV	22-Jun-17	30-Jun-17	8	2
130	130	20	MV	22-Jun-17	7-Jul-17	15	1
131	131	25	MV	22-Jun-17	28-Jun-17	6	2
132	132	30	MV	22-Jun-17	7-Jul-17	15	1
133	133	15	MV	22-Jun-17	28-Jun-17	6	2
134	134	20	MV	22-Jun-17	30-Jun-17	8	2
135	135	25	MV	22-Jun-17	30-Jun-17	8	2
136	136	30	MV	22-Jun-17	3-Jul-17	11	2
137	137	15	MV	22-Jun-17	30-Jun-17	8	2
138	138	20	MV	22-Jun-17	7-Jul-17	15	1
139	139	25	MV	22-Jun-17	28-Jun-17	6	2
140	140	30	MV	22-Jun-17	26-Jun-17	4	2
141	141	15	MV	22-Jun-17	3-Jul-17	11	2
142	142	20	MV	22-Jun-17	30-Jun-17	8	2
143	143	25	MV	22-Jun-17	26-Jun-17	4	2
144	144	30	MV	22-Jun-17	7-Jul-17	15	1
145	145	15	MV	22-Jun-17	28-Jun-17	6	2
146	146	20	MV	23-Jun-17	30-Jun-17	7	2
147	147	25	MV	23-Jun-17	8-Jul-17	15	1
148	148	30	MV	23-Jun-17	28-Jun-17	5	2
149	149	15	MV	23-Jun-17	26-Jun-17	3	2
150	150	20	MV	23-Jun-17	8-Jul-17	15	1
151	151	25	MV	23-Jun-17	8-Jul-17	15	1
152	152	30	MV	23-Jun-17	3-Jul-17	10	2
153	153	15	MV	23-Jun-17	8-Jul-17	15	1
154	154	20	MV	23-Jun-17	8-Jul-17	15	1
155	155	25	MV	23-Jun-17	3-Jul-17	10	2
156	156	30	MV	23-Jun-17	30-Jun-17	7	2
157	157	15	MV	23-Jun-17	8-Jul-17	15	1
158	158	20	MV	23-Jun-17	8-Jul-17	15	1
159	159	25	MV	23-Jun-17	8-Jul-17	15	1
160	160	30	MV	23-Jun-17	3-Jul-17	10	2
161	161	15	MV	23-Jun-17	30-Jun-17	7	2
162	162	20	MV	23-Jun-17	8-Jul-17	15	1
163	163	25	MV	23-Jun-17	8-Jul-17	15	1
164	164	30	MV	23-Jun-17	30-Jun-17	7	2
165	165	15	MV	23-Jun-17	3-Jul-17	10	2
166	166	20	MV	25-Jun-17	10-Jul-17	15	1
167	167	25	MV	25-Jun-17	10-Jul-17	15	1
168	168	30	MV	25-Jun-17	5-Jul-17	10	2
169	169	15	MV	25-Jun-17	10-Jul-17	15	1
170	170	20	MV	25-Jun-17	10-Jul-17	15	1
171	171	25	MV	25-Jun-17	10-Jul-17	15	1
172	172	30	MV	25-Jun-17	5-Jul-17	10	2
173	173	15	MV	25-Jun-17	30-Jun-17	5	2
174	174	30	MV	26-Jun-17	3-Jul-17	7	2
175	175	30	MV	26-Jun-17	30-Jun-17	4	2
176	176	30	MV	28-Jun-17	30-Jun-17	2	2
177	177	30	MV	28-Jun-17	30-Jun-17	2	2
178	178	30	MV	28-Jun-17	10-Jul-17	12	2
179	179	30	MV	28-Jun-17	3-Jul-17	5	2
180	180	30	MV	28-Jun-17	13-Jul-17	15	1
181	181	30	MV	28-Jun-17	10-Jul-17	12	2
182	182	15	MV	28-Jun-17	5-Jul-17	7	2
183	183	15	MV	28-Jun-17	13-Jul-17	15	1
184	184	15	MV	28-Jun-17	13-Jul-17	15	1
185	185	15	MV	28-Jun-17	5-Jul-17	7	2
186	186	15	MV	28-Jun-17	3-Jul-17	5	2
187	187	15	MV	28-Jun-17	13-Jul-17	15	1
188	188	30	MV	30-Jun-17	5-Jul-17	5	2
189	189	15	MV	30-Jun-17	10-Jul-17	10	2
190	190	30	MV	1-Jul-17	16-Jul-17	15	1
191	191	30	MV	1-Jul-17	16-Jul-17	15	1
192	192	30	MV	1-Jul-17	10-Jul-17	9	2
193	193	30	MV	1-Jul-17	3-Jul-17	2	2
194	194	30	MV	1-Jul-17	14-Jul-17	13	2
195	195	15	MV	1-Jul-17	14-Jul-17	13	2
196	196	15	MV	1-Jul-17	14-Jul-17	13	2
197	197	15	MV	1-Jul-17	16-Jul-17	15	1
198	198	15	MV	1-Jul-17	16-Jul-17	15	1
199	199	15	MV	1-Jul-17	16-Jul-17	15	1
200	200	15	MV	2-Jul-17	17-Jul-17	15	1
201	201	20	MV	2-Jul-17	17-Jul-17	15	1
202	202	25	MV	2-Jul-17	17-Jul-17	15	1
203	203	30	MV	2-Jul-17	10-Jul-17	8	2
204	204	15	MV	2-Jul-17	7-Jul-17	5	2
205	205	25	MV	2-Jul-17	7-Jul-17	5	2
206	206	20	MV	2-Jul-17	17-Jul-17	15	1
207	207	20	MV	2-Jul-17	12-Jul-17	10	2
208	208	30	MV	2-Jul-17	5-Jul-17	3	2
209	209	15	MV	4-Jul-17	19-Jul-17	15	1
210	210	15	MV	4-Jul-17	17-Jul-17	13	2
211	211	15	MV	4-Jul-17	19-Jul-17	15	1
212	212	15	MV	4-Jul-17	19-Jul-17	15	1
213	213	15	MV	4-Jul-17	19-Jul-17	15	1
214	214	15	MV	4-Jul-17	19-Jul-17	15	1
215	215	30	MV	4-Jul-17	17-Jul-17	13	2
216	216	30	MV	4-Jul-17	7-Jul-17	3	2
217	217	30	MV	4-Jul-17	19-Jul-17	15	1
218	218	30	MV	4-Jul-17	17-Jul-17	13	2
219	219	30	MV	4-Jul-17	19-Jul-17	15	1
220	220	30	MV	4-Jul-17	7/10/17	6	2
221	221	25	MV	5-Jul-17	20-Jul-17	15	1
222	222	25	MV	5-Jul-17	12-Jul-17	7	2
223	223	25	MV	5-Jul-17	12-Jul-17	7	2
