a	b	c	d	e	f	g	h	i	j
1	47	2	1	69	6	9	459	2	1
1	48	2	1	89	8	9	723	1	0
1	49	2	1	74	7	4	507	2	0
1	50	2	1	12	1	2	579	2	0
1	51	2	1	34	3	4	539	2	0
1	52	2	1	39	3	9	468	1	0
1	53	2	1	77	7	7	515	1	0
1	54	2	1	79	7	9	523	1	0
1	55	2	1	62	6	2	555	2	0
1	56	2	1	37	3	7	683	1	0
1	57	2	1	82	8	2	595	2	0
1	58	2	1	86	8	6	628	1	0
1	59	2	1	49	4	9	468	1	0
1	60	2	1	28	2	8	500	1	0
1	61	2	1	31	3	1	483	2	0
1	62	2	1	64	6	4	603	2	0
1	63	2	1	76	7	6	635	1	0
1	1	2	4	44	4	4	707	2	0
1	2	2	4	68	6	8	547	1	0
1	3	2	4	21	2	1	483	2	0
1	4	2	4	22	2	2	467	2	0
1	5	2	4	88	8	8	427	1	0
1	6	2	4	33	3	3	564	2	0
1	7	2	4	11	1	1	460	2	0
1	8	2	4	42	4	2	644	2	0
1	9	2	4	89	8	9	435	1	0
1	10	2	4	87	8	7	483	1	0
1	11	2	4	23	2	3	531	2	0
1	12	2	4	24	2	4	475	2	0
1	13	2	4	86	8	6	483	1	0
1	14	2	4	69	6	9	459	1	0
1	15	2	4	99	9	9	491	1	0
1	16	2	4	97	9	7	427	1	0
1	17	2	4	12	1	2	483	2	0
1	18	2	4	78	7	8	580	1	0
1	19	2	4	66	6	6	492	1	0
1	20	2	4	98	9	8	491	1	0
1	21	2	4	79	7	9	403	1	0
1	22	2	4	31	3	1	515	2	0
1	23	2	4	14	1	4	667	2	0
1	24	2	4	41	4	1	412	2	0
1	25	2	4	43	4	3	428	2	0
1	26	2	4	32	3	2	508	2	0
1	27	2	4	76	7	6	699	1	0
1	28	2	4	96	9	6	739	2	1
1	29	2	4	67	6	7	660	1	0
1	30	2	4	34	3	4	603	2	0
1	31	2	4	13	1	3	675	2	0
1	1	2	5	93	9	3	731	2	0
1	2	2	5	46	4	6	484	1	0
1	3	2	5	47	4	7	452	1	0
1	4	2	5	74	7	4	476	1	1
1	5	2	5	71	7	1	547	2	0
1	6	2	5	49	4	9	484	1	0
1	7	2	5	61	6	1	499	2	0
1	8	2	5	29	2	9	467	1	0
1	9	2	5	63	6	3	595	2	0
1	10	2	5	64	6	4	507	1	1
1	11	2	5	92	9	2	491	2	0
1	12	2	5	91	9	1	411	2	0
1	13	2	5	39	3	9	475	1	0
1	14	2	5	17	1	7	796	1	0
1	15	2	5	18	1	8	571	1	0
1	16	2	5	36	3	6	515	1	0
1	17	2	5	73	7	3	547	2	0
1	18	2	5	27	2	7	515	1	0
1	19	2	5	48	4	8	428	1	0
1	20	2	5	82	8	2	524	2	0
1	21	2	5	19	1	9	476	2	1
1	22	2	5	84	8	4	883	2	0
1	23	2	5	28	2	8	635	1	0
1	24	2	5	81	8	1	571	2	0
1	25	2	5	72	7	2	691	2	0
1	26	2	5	94	9	4	803	2	0
1	27	2	5	26	2	6	595	1	0
1	28	2	5	62	6	2	419	2	0
1	29	2	5	83	8	3	459	2	0
1	30	2	5	16	1	6	796	1	0
1	31	2	5	38	3	8	587	1	0
1	1	1	5	62	6	2	420	2	1
1	2	1	5	29	2	9	460	2	0
1	3	1	5	72	7	2	436	1	0
1	4	1	5	36	3	6	556	2	0
1	5	1	5	17	1	7	467	2	0
1	6	1	5	82	8	2	491	1	0
1	7	1	5	39	3	9	475	2	0
1	8	1	5	74	7	4	395	1	0
1	9	1	5	61	6	1	483	1	0
1	10	1	5	49	4	9	483	2	0
1	11	1	5	92	9	2	467	1	0
1	12	1	5	71	7	1	828	1	0
1	13	1	5	47	4	7	595	2	0
1	14	1	5	48	4	8	467	2	0
1	15	1	5	94	9	4	539	1	0
1	16	1	5	26	2	6	491	2	0
1	17	1	5	84	8	4	451	1	0
1	18	1	5	37	3	7	452	1	1
1	19	1	5	38	3	8	612	2	0
1	20	1	5	46	4	6	532	2	0
1	21	1	5	27	2	7	436	2	0
1	22	1	5	16	1	6	707	2	0
1	23	1	5	93	9	3	483	1	0
1	24	1	5	28	2	8	507	2	0
1	25	1	5	81	8	1	539	1	0
1	26	1	5	64	6	4	555	1	0
1	27	1	5	73	7	3	443	1	0
1	28	1	5	18	1	8	563	2	0
1	29	1	5	91	9	1	460	2	1
1	30	1	5	83	8	3	475	1	0
1	31	1	5	63	6	3	379	1	0
1	1	1	4	98	9	8	492	1	0
1	2	1	4	21	2	1	508	2	0
1	3	1	4	86	8	6	516	1	0
1	4	1	4	69	6	9	427	1	0
1	5	1	4	68	6	8	355	1	0
1	6	1	4	66	6	6	315	1	0
1	7	1	4	96	9	6	411	1	0
1	8	1	4	67	6	7	323	1	0
1	9	1	4	89	8	9	403	1	0
1	10	1	4	99	9	9	315	1	0
1	11	1	4	42	4	2	371	1	1
1	12	1	4	12	1	2	475	2	0
1	13	1	4	11	1	1	411	2	0
1	14	1	4	24	2	4	611	2	0
1	15	1	4	87	8	7	491	1	0
1	16	1	4	79	7	9	755	1	0
1	17	1	4	33	3	3	619	2	0
1	18	1	4	43	4	3	404	2	0
1	19	1	4	13	1	3	380	2	0
1	20	1	4	32	3	2	516	2	0
1	21	1	4	88	8	8	460	1	0
1	22	1	4	34	3	4	547	2	0
1	23	1	4	41	4	1	907	1	1
1	24	1	4	14	1	4	499	2	0
1	25	1	4	31	3	1	419	2	0
1	26	1	4	23	2	3	411	2	0
1	27	1	4	44	4	4	467	2	0
1	28	1	4	76	7	6	684	2	1
1	29	1	4	97	9	7	523	1	0
1	30	1	4	22	2	2	539	2	0
1	31	1	4	78	7	8	459	1	0
1	1	1	3	88	8	8	483	1	0
1	2	1	3	27	2	7	483	2	0
1	3	1	3	66	6	6	619	2	1
1	4	1	3	99	9	9	555	1	0
1	5	1	3	96	9	6	419	1	0
1	6	1	3	29	2	9	539	2	0
1	7	1	3	28	2	8	444	2	0
1	8	1	3	97	9	7	476	1	0
1	9	1	3	78	7	8	532	1	0
1	10	1	3	47	4	7	500	2	0
1	11	1	3	98	9	8	484	2	1
1	12	1	3	69	6	9	579	2	1
1	13	1	3	38	3	8	523	2	0
1	14	1	3	68	6	8	451	1	0
1	15	1	3	76	7	6	403	1	0
1	16	1	3	46	4	6	531	2	0
1	17	1	3	19	1	9	508	2	0
1	18	1	3	36	3	6	635	2	0
1	19	1	3	79	7	9	491	1	0
1	20	1	3	18	1	8	491	2	0
1	21	1	3	26	2	6	651	2	0
1	22	1	3	16	1	6	659	2	0
1	23	1	3	37	3	7	851	2	0
1	24	1	3	17	1	7	484	2	0
1	25	1	3	49	4	9	860	1	1
1	26	1	3	48	4	8	516	2	0
1	27	1	3	39	3	9	635	2	0
1	28	1	3	89	8	9	523	2	1
1	29	1	3	77	7	7	547	1	0
1	30	1	3	67	6	7	347	1	0
1	31	1	3	87	8	7	388	1	0
1	1	1	2	74	7	4	531	1	0
1	2	1	2	81	8	1	459	1	0
1	3	1	2	82	8	2	443	1	0
1	4	1	2	32	3	2	443	1	1
1	5	1	2	33	3	3	491	2	0
1	6	1	2	72	7	2	556	1	0
1	7	1	2	94	9	4	436	1	0
1	8	1	2	23	2	3	420	2	0
1	9	1	2	14	1	4	379	2	0
1	10	1	2	13	1	3	475	2	0
1	11	1	2	12	1	2	315	2	0
1	12	1	2	11	1	1	355	2	0
1	13	1	2	22	2	2	403	2	0
1	14	1	2	31	3	1	411	2	0
1	15	1	2	64	6	4	388	1	0
1	16	1	2	93	9	3	483	1	0
1	17	1	2	83	8	3	459	1	0
1	18	1	2	71	7	1	395	1	0
1	19	1	2	61	6	1	611	1	0
1	20	1	2	63	6	3	315	1	0
1	21	1	2	34	3	4	611	2	0
1	22	1	2	43	4	3	603	1	1
1	23	1	2	73	7	3	411	1	0
1	24	1	2	42	4	2	684	1	1
1	25	1	2	91	9	1	524	1	0
1	26	1	2	44	4	4	436	2	0
1	27	1	2	41	4	1	380	2	0
1	28	1	2	24	2	4	515	2	0
1	29	1	2	21	2	1	411	2	0
1	30	1	2	84	8	4	523	1	0
1	31	1	2	92	9	2	939	1	0
1	1	1	1	86	8	6	619	1	0
1	2	1	1	32	3	2	403	1	1
1	3	1	1	29	2	9	387	2	0
1	4	1	1	72	7	2	467	1	0
1	5	1	1	19	1	9	411	2	0
1	6	1	1	97	9	7	468	1	0
1	7	1	1	26	2	6	460	2	0
1	8	1	1	11	1	1	508	2	0
1	9	1	1	62	6	2	443	1	0
1	10	1	1	16	1	6	443	2	0
1	11	1	1	61	6	1	555	1	0
1	12	1	1	63	6	3	771	2	1
1	13	1	1	42	4	2	603	2	0
1	14	1	1	41	4	1	348	2	0
1	15	1	1	87	8	7	403	1	0
1	16	1	1	73	7	3	611	1	0
1	17	1	1	77	7	7	475	1	0
1	18	1	1	71	7	1	347	1	0
1	19	1	1	43	4	3	427	1	1
1	20	1	1	74	7	4	475	1	0
1	21	1	1	68	6	8	467	1	0
1	22	1	1	14	1	4	475	2	0
1	23	1	1	92	9	2	387	1	0
1	24	1	1	28	2	8	420	2	0
1	25	1	1	64	6	4	572	1	0
1	26	1	1	24	2	4	380	2	0
1	27	1	1	83	8	3	372	1	0
1	28	1	1	84	8	4	371	1	0
1	29	1	1	89	8	9	347	1	0
1	30	1	1	12	1	2	443	2	0
1	31	1	1	99	9	9	419	1	0
1	32	1	1	88	8	8	355	1	0
1	33	1	1	33	3	3	356	1	1
1	34	1	1	81	8	1	635	1	0
1	35	1	1	66	6	6	515	2	1
1	36	1	1	21	2	1	571	2	0
1	37	1	1	98	9	8	467	1	0
1	38	1	1	22	2	2	475	2	0
1	39	1	1	39	3	9	603	2	0
1	40	1	1	91	9	1	579	1	0
1	41	1	1	31	3	1	459	2	0
1	42	1	1	96	9	6	483	1	0
1	43	1	1	78	7	8	484	1	0
1	44	1	1	94	9	4	396	1	0
1	45	1	1	34	3	4	644	2	0
1	46	1	1	23	2	3	363	2	0
1	47	1	1	76	7	6	411	1	0
1	48	1	1	17	1	7	451	1	1
1	49	1	1	36	3	6	523	2	0
1	50	1	1	46	4	6	355	2	0
1	51	1	1	13	1	3	556	2	0
1	52	1	1	67	6	7	419	1	0
1	53	1	1	44	4	4	547	2	0
1	54	1	1	38	3	8	555	2	0
1	55	1	1	47	4	7	435	2	0
1	56	1	1	37	3	7	339	2	0
1	57	1	1	69	6	9	395	1	0
1	58	1	1	18	1	8	467	2	0
1	59	1	1	48	4	8	675	2	0
1	60	1	1	27	2	7	459	2	0
1	61	1	1	79	7	9	364	2	1
1	62	1	1	49	4	9	444	2	0
1	63	1	1	82	8	2	452	1	0
1	1	1	3	66	6	6	411	1	0
1	2	1	3	77	7	7	475	2	1
1	3	1	3	79	7	9	499	2	1
1	4	1	3	16	1	6	484	2	0
1	5	1	3	19	1	9	580	2	0
1	6	1	3	38	3	8	548	2	0
1	7	1	3	36	3	6	388	2	0
1	8	1	3	87	8	7	419	1	0
1	9	1	3	27	2	7	483	2	0
1	10	1	3	88	8	8	475	2	1
1	11	1	3	98	9	8	443	1	0
1	12	1	3	28	2	8	459	2	0
1	13	1	3	97	9	7	484	1	0
1	14	1	3	48	4	8	491	2	0
1	15	1	3	39	3	9	451	2	0
1	16	1	3	69	6	9	419	1	0
1	17	1	3	67	6	7	419	1	0
1	18	1	3	86	8	6	403	1	0
1	19	1	3	17	1	7	403	2	0
1	20	1	3	26	2	6	531	1	1
1	21	1	3	89	8	9	547	2	1
1	22	1	3	18	1	8	451	2	0
1	23	1	3	49	4	9	692	2	0
1	24	1	3	99	9	9	452	1	0
1	25	1	3	96	9	6	404	1	0
1	26	1	3	76	7	6	459	2	1
1	27	1	3	47	4	7	515	2	0
1	28	1	3	68	6	8	779	1	0
1	29	1	3	46	4	6	483	2	0
1	30	1	3	78	7	8	372	1	0
1	31	1	3	29	2	9	427	2	0
1	1	1	2	83	8	3	491	1	0
1	2	1	2	91	9	1	579	1	0
1	3	1	2	63	6	3	515	1	0
1	4	1	2	82	8	2	388	1	0
1	5	1	2	23	2	3	436	1	1
1	6	1	2	73	7	3	468	1	0
1	7	1	2	33	3	3	516	2	0
1	8	1	2	41	4	1	347	2	0
1	9	1	2	44	4	4	347	2	0
1	10	1	2	81	8	1	419	1	0
1	11	1	2	21	2	1	523	2	0
1	12	1	2	12	1	2	500	2	0
1	13	1	2	31	3	1	323	2	0
1	14	1	2	74	7	4	475	1	0
1	15	1	2	84	8	4	371	2	1
1	16	1	2	93	9	3	555	1	0
1	17	1	2	71	7	1	371	1	0
1	18	1	2	14	1	4	411	2	0
1	19	1	2	42	4	2	363	2	0
1	20	1	2	61	6	1	491	2	1
1	21	1	2	64	6	4	475	1	0
1	22	1	2	32	3	2	379	1	1
1	23	1	2	34	3	4	492	2	0
1	24	1	2	43	4	3	340	2	0
1	25	1	2	62	6	2	492	1	0
1	26	1	2	22	2	2	772	2	0
1	27	1	2	72	7	2	323	2	1
1	28	1	2	11	1	1	443	2	0
1	29	1	2	94	9	4	443	1	0
1	30	1	2	92	9	2	363	1	0
1	31	1	2	24	2	4	388	2	0
1	1	1	1	94	9	4	459	1	0
1	2	1	1	68	6	8	556	2	1
1	3	1	1	66	6	6	579	1	0
1	4	1	1	98	9	8	667	1	0
1	5	1	1	96	9	6	339	1	0
1	6	1	1	64	6	4	300	1	0
1	7	1	1	87	8	7	435	1	0
1	8	1	1	79	7	9	379	1	0
1	9	1	1	21	2	1	443	2	0
1	10	1	1	32	3	2	443	2	0
1	11	1	1	41	4	1	539	2	0
1	12	1	1	69	6	9	419	1	0
1	13	1	1	44	4	4	547	2	0
1	14	1	1	82	8	2	555	1	0
1	15	1	1	37	3	7	635	1	1
1	16	1	1	13	1	3	419	2	0
1	17	1	1	39	3	9	452	2	0
1	18	1	1	76	7	6	364	2	1
1	19	1	1	67	6	7	436	1	0
1	20	1	1	63	6	3	324	1	0
1	21	1	1	26	2	6	387	2	0
1	22	1	1	99	9	9	459	1	0
1	23	1	1	22	2	2	499	2	0
1	24	1	1	88	8	8	412	1	0
1	25	1	1	73	7	3	451	1	0
1	26	1	1	48	4	8	491	2	0
1	27	1	1	86	8	6	515	1	0
1	28	1	1	16	1	6	403	2	0
1	29	1	1	72	7	2	499	1	0
1	30	1	1	84	8	4	427	1	0
1	31	1	1	36	3	6	491	2	0
1	32	1	1	83	8	3	467	1	0
1	33	1	1	11	1	1	403	2	0
1	34	1	1	28	2	8	523	2	0
1	35	1	1	62	6	2	443	1	0
1	36	1	1	23	2	3	427	2	0
1	37	1	1	38	3	8	412	2	0
1	38	1	1	47	4	7	620	2	0
1	39	1	1	49	4	9	435	2	0
1	40	1	1	93	9	3	451	1	0
1	41	1	1	61	6	1	379	2	1
1	42	1	1	29	2	9	428	2	0
1	43	1	1	12	1	2	475	2	0
1	44	1	1	14	1	4	379	2	0
1	45	1	1	43	4	3	379	2	0
1	46	1	1	89	8	9	499	1	0
1	47	1	1	33	3	3	475	2	0
1	48	1	1	17	1	7	651	2	0
1	49	1	1	24	2	4	427	2	0
1	50	1	1	18	1	8	419	2	0
1	51	1	1	91	9	1	403	1	0
1	52	1	1	27	2	7	371	1	1
1	53	1	1	34	3	4	731	2	0
1	54	1	1	78	7	8	515	1	0
1	55	1	1	42	4	2	452	2	0
1	56	1	1	74	7	4	332	1	0
1	57	1	1	97	9	7	476	1	0
1	58	1	1	31	3	1	475	2	0
1	59	1	1	81	8	1	595	2	1
1	60	1	1	19	1	9	636	2	0
1	61	1	1	92	9	2	467	1	0
1	62	1	1	71	7	1	707	1	0
1	63	1	1	77	7	7	371	1	0
1	1	1	5	64	6	4	403	1	0
1	2	1	5	16	1	6	379	2	0
1	3	1	5	19	1	9	508	2	0
1	4	1	5	83	8	3	436	1	0
1	5	1	5	37	3	7	516	2	0
1	6	1	5	26	2	6	476	2	0
1	7	1	5	62	6	2	555	1	0
1	8	1	5	91	9	1	595	1	0
1	9	1	5	28	2	8	788	2	0
1	10	1	5	47	4	7	635	2	0
1	11	1	5	29	2	9	427	2	0
1	12	1	5	39	3	9	395	2	0
1	13	1	5	48	4	8	459	2	0
1	14	1	5	93	9	3	387	1	0
1	15	1	5	73	7	3	459	2	1
1	16	1	5	81	8	1	579	1	0
1	17	1	5	18	1	8	443	2	0
1	18	1	5	72	7	2	435	1	0
1	19	1	5	71	7	1	435	1	0
1	20	1	5	61	6	1	395	1	0
1	21	1	5	74	7	4	467	1	0
1	22	1	5	84	8	4	436	1	0
1	23	1	5	92	9	2	420	1	0
1	24	1	5	17	1	7	452	1	1
1	25	1	5	63	6	3	491	1	0
1	26	1	5	49	4	9	683	2	0
1	27	1	5	36	3	6	612	1	1
1	28	1	5	82	8	2	499	1	0
1	29	1	5	38	3	8	539	2	0
1	30	1	5	46	4	6	435	2	0
1	31	1	5	94	9	4	443	1	0
1	1	1	4	77	7	7	491	2	1
1	2	1	4	22	2	2	444	2	0
1	3	1	4	86	8	6	500	1	0
1	4	1	4	33	3	3	436	2	0
1	5	1	4	78	7	8	404	1	0
1	6	1	4	34	3	4	523	2	0
1	7	1	4	31	3	1	347	2	0
1	8	1	4	13	1	3	476	2	0
1	9	1	4	97	9	7	571	1	0
1	10	1	4	69	6	9	395	1	0
1	11	1	4	96	9	6	411	1	0
1	12	1	4	11	1	1	459	2	0
1	13	1	4	32	3	2	435	2	0
1	14	1	4	41	4	1	539	2	0
1	15	1	4	89	8	9	523	1	0
1	16	1	4	98	9	8	387	1	0
1	17	1	4	99	9	9	339	1	0
1	18	1	4	76	7	6	259	1	0
1	19	1	4	87	8	7	283	1	0
1	20	1	4	66	6	6	411	1	0
1	21	1	4	42	4	2	316	2	0
1	22	1	4	14	1	4	468	2	0
1	23	1	4	12	1	2	364	2	0
1	24	1	4	23	2	3	364	2	0
1	25	1	4	21	2	1	484	2	0
1	26	1	4	79	7	9	675	1	0
1	27	1	4	67	6	7	420	1	0
1	28	1	4	24	2	4	363	2	0
1	29	1	4	68	6	8	475	1	0
1	30	1	4	88	8	8	323	1	0
1	31	1	4	44	4	4	299	1	1
1	1	2	3	84	8	4	652	2	0
1	2	2	3	73	7	3	459	2	0
1	3	2	3	62	6	2	411	2	0
1	4	2	3	93	9	3	467	2	0
1	5	2	3	86	8	6	388	1	0
1	6	2	3	61	6	1	443	2	0
1	7	2	3	96	9	6	707	1	0
1	8	2	3	76	7	6	419	1	0
1	9	2	3	77	7	7	435	1	0
1	10	2	3	82	8	2	491	2	0
1	11	2	3	94	9	4	563	2	0
1	12	2	3	68	6	8	411	2	1
1	13	2	3	69	6	9	523	1	0
1	14	2	3	98	9	8	363	1	0
1	15	2	3	83	8	3	395	1	1
1	16	2	3	88	8	8	475	1	0
1	17	2	3	99	9	9	595	1	0
1	18	2	3	72	7	2	412	2	0
1	19	2	3	79	7	9	500	1	0
1	20	2	3	91	9	1	524	2	0
1	21	2	3	97	9	7	380	1	0
1	22	2	3	89	8	9	347	1	0
1	23	2	3	71	7	1	356	2	0
1	24	2	3	66	6	6	331	1	0
1	25	2	3	74	7	4	451	2	0
1	26	2	3	92	9	2	475	2	0
1	27	2	3	64	6	4	443	1	1
1	28	2	3	81	8	1	443	2	0
1	29	2	3	78	7	8	515	1	0
1	30	2	3	87	8	7	387	1	0
1	31	2	3	67	6	7	651	1	0
1	1	2	2	23	2	3	444	2	0
1	2	2	2	16	1	6	427	2	1
1	3	2	2	43	4	3	547	2	0
1	4	2	2	33	3	3	515	2	0
1	5	2	2	48	4	8	459	1	0
1	6	2	2	49	4	9	387	1	0
1	7	2	2	44	4	4	427	2	0
1	8	2	2	11	1	1	427	2	0
1	9	2	2	32	3	2	411	2	0
1	10	2	2	12	1	2	363	2	0
1	11	2	2	14	1	4	435	2	0
1	12	2	2	13	1	3	411	2	0
1	13	2	2	38	3	8	419	1	0
1	14	2	2	17	1	7	475	2	1
1	15	2	2	21	2	1	483	2	0
1	16	2	2	42	4	2	388	2	0
1	17	2	2	27	2	7	435	2	1
1	18	2	2	36	3	6	452	1	0
1	19	2	2	19	1	9	436	2	1
1	20	2	2	18	1	8	444	1	0
1	21	2	2	29	2	9	347	1	0
1	22	2	2	24	2	4	507	2	0
1	23	2	2	26	2	6	619	1	0
1	24	2	2	28	2	8	419	1	0
1	25	2	2	39	3	9	419	1	0
1	26	2	2	31	3	1	419	2	0
1	27	2	2	46	4	6	499	1	0
1	28	2	2	22	2	2	491	2	0
1	29	2	2	37	3	7	475	1	0
1	30	2	2	34	3	4	571	2	0
1	31	2	2	41	4	1	451	2	0
1	1	2	4	69	6	9	443	1	0
1	2	2	4	12	1	2	452	2	0
1	3	2	4	68	6	8	451	1	0
1	4	2	4	33	3	3	379	2	0
1	5	2	4	42	4	2	411	2	0
1	6	2	4	67	6	7	531	1	0
1	7	2	4	98	9	8	451	1	0
1	8	2	4	79	7	9	419	1	0
1	9	2	4	31	3	1	555	2	0
1	10	2	4	43	4	3	483	1	1
1	11	2	4	89	8	9	779	1	0
1	12	2	4	66	6	6	427	1	0
1	13	2	4	78	7	8	459	1	0
1	14	2	4	99	9	9	395	1	0
1	15	2	4	32	3	2	523	2	0
1	16	2	4	87	8	7	428	2	1
1	17	2	4	97	9	7	572	1	0
1	18	2	4	24	2	4	324	1	1
1	19	2	4	11	1	1	483	2	0
1	20	2	4	22	2	2	388	2	0
1	21	2	4	86	8	6	555	1	0
1	22	2	4	88	8	8	403	1	0
1	23	2	4	13	1	3	531	2	0
1	24	2	4	23	2	3	547	2	0
1	25	2	4	96	9	6	427	1	0
1	26	2	4	34	3	4	947	2	0
1	27	2	4	76	7	6	491	1	0
1	28	2	4	21	2	1	547	2	0
1	29	2	4	14	1	4	459	2	0
1	30	2	4	41	4	1	355	2	0
1	31	2	4	44	4	4	395	2	0
1	1	2	5	17	1	7	388	2	1
1	2	2	5	74	7	4	587	2	0
1	3	2	5	94	9	4	539	2	0
1	4	2	5	49	4	9	555	1	0
1	5	2	5	72	7	2	395	2	0
1	6	2	5	61	6	1	451	2	0
1	7	2	5	19	1	9	491	1	0
1	8	2	5	28	2	8	475	1	0
1	9	2	5	47	4	7	355	1	0
1	10	2	5	71	7	1	371	2	0
1	11	2	5	84	8	4	459	1	1
1	12	2	5	39	3	9	579	1	0
1	13	2	5	63	6	3	587	2	0
1	14	2	5	18	1	8	587	1	0
1	15	2	5	26	2	6	700	1	0
1	16	2	5	93	9	3	388	1	1
1	17	2	5	91	9	1	492	2	0
1	18	2	5	37	3	7	549	1	0
1	19	2	5	82	8	2	507	2	0
1	20	2	5	62	6	2	371	2	0
1	21	2	5	46	4	6	379	1	0
1	22	2	5	92	9	2	435	2	0
1	23	2	5	27	2	7	451	1	0
1	24	2	5	73	7	3	515	2	0
1	25	2	5	29	2	9	411	1	0
1	26	2	5	64	6	4	436	2	0
1	27	2	5	36	3	6	443	1	0
1	28	2	5	16	1	6	395	1	0
1	29	2	5	81	8	1	411	2	0
1	30	2	5	83	8	3	467	2	0
1	31	2	5	48	4	8	515	1	0
1	1	2	1	42	4	2	380	2	0
1	2	2	1	64	6	4	411	1	1
1	3	2	1	99	9	9	459	1	0
1	4	2	1	36	3	6	411	1	0
1	5	2	1	73	7	3	491	2	0
1	6	2	1	84	8	4	595	2	0
1	7	2	1	47	4	7	499	1	0
1	8	2	1	69	6	9	483	1	0
1	9	2	1	91	9	1	467	2	0
1	10	2	1	72	7	2	411	2	0
1	11	2	1	12	1	2	435	2	0
1	12	2	1	74	7	4	403	2	0
1	13	2	1	82	8	2	459	2	0
