[Measurement conditions]
Sample identification,LA05_0R0_0R2a
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03-Apr-2019 14:21
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,3.010000000,74.990000000
Scan step size,0.0200000
No. of points, 3599
Scan type,CONTINUOUS
Time per step,10.160
[Scan points]
Angle,Intensity
12.880000000,519.6
12.900000000,530.4
12.920000000,526.1
12.940000000,478.0
12.960000000,466.1
12.980000000,459.5
13.000000000,414.8
13.020000000,412.8
13.040000000,383.3
13.060000000,381.4
13.080000000,393.6
13.100000000,383.5
13.120000000,387.7
13.140000000,326.2
13.160000000,365.2
13.180000000,353.5
13.200000000,309.7
13.220000000,333.7
13.240000000,363.1
13.260000000,343.5
13.280000000,353.9
13.300000000,322.8
13.320000000,294.1
13.340000000,295.6
13.360000000,337.1
13.380000000,277.2
13.400000000,283.8
13.420000000,303.7
13.440000000,281.3
13.460000000,291.4
13.480000000,273.1
13.500000000,263.7
13.520000000,264.2
13.540000000,284.6
13.560000000,271.6
13.580000000,261.3
13.600000000,258.4
13.620000000,269.5
13.640000000,255.8
13.660000000,265.6
13.680000000,257.8
13.700000000,248.5
13.720000000,251.9
13.740000000,259.1
13.760000000,269.6
13.780000000,244.1
13.800000000,253.3
13.820000000,257.9
13.840000000,235.0
13.860000000,232.7
13.880000000,239.1
13.900000000,246.0
13.920000000,258.8
13.940000000,250.2
13.960000000,245.2
13.980000000,247.2
14.000000000,233.1
14.020000000,264.9
14.040000000,218.9
14.060000000,227.6
14.080000000,234.1
14.100000000,223.3
14.120000000,248.0
14.140000000,228.4
14.160000000,217.1
14.180000000,209.1
14.200000000,203.2
14.220000000,227.4
14.240000000,200.0
14.260000000,199.0
14.280000000,216.9
14.300000000,222.9
14.320000000,219.6
14.340000000,223.4
14.360000000,197.5
14.380000000,214.3
14.400000000,224.5
14.420000000,216.5
14.440000000,199.9
14.460000000,198.2
14.480000000,215.5
14.500000000,217.1
14.520000000,220.9
14.540000000,191.8
14.560000000,204.0
14.580000000,226.1
14.600000000,227.0
14.620000000,209.8
14.640000000,215.4
14.660000000,222.4
14.680000000,215.9
14.700000000,201.0
14.720000000,215.3
14.740000000,210.1
14.760000000,176.3
14.780000000,207.9
14.800000000,208.6
14.820000000,172.7
14.840000000,208.4
14.860000000,196.4
14.880000000,210.8
14.900000000,213.3
14.920000000,199.6
14.940000000,213.3
14.960000000,189.5
14.980000000,194.8
15.000000000,187.0
15.020000000,218.1
15.040000000,205.3
15.060000000,196.3
15.080000000,199.9
15.100000000,206.8
15.120000000,223.8
15.140000000,192.3
15.160000000,205.3
15.180000000,222.8
15.200000000,211.1
15.220000000,238.6
15.240000000,190.0
15.260000000,201.4
15.280000000,195.8
15.300000000,203.9
15.320000000,222.6
15.340000000,192.8
15.360000000,235.8
15.380000000,231.7
15.400000000,213.6
15.420000000,207.8
15.440000000,192.2
15.460000000,193.5
15.480000000,189.9
15.500000000,212.0
15.520000000,206.7
15.540000000,175.6
15.560000000,204.9
15.580000000,211.1
15.600000000,188.3
15.620000000,211.3
15.640000000,190.7
15.660000000,184.0
15.680000000,228.3
15.700000000,211.3
15.720000000,224.0
15.740000000,183.0
15.760000000,201.1
15.780000000,217.0
15.800000000,191.8
15.820000000,217.6
15.840000000,204.0
15.860000000,192.2
15.880000000,198.8
15.900000000,190.7
15.920000000,213.8
15.940000000,199.8
15.960000000,215.1
15.980000000,166.2
16.000000000,198.1
16.020000000,184.1
16.040000000,205.8
16.060000000,205.5
16.080000000,219.3
16.100000000,198.6
16.120000000,222.3
16.140000000,192.1
16.160000000,216.9
16.180000000,220.7
16.200000000,199.8
16.220000000,205.0
16.240000000,212.1
16.260000000,218.9
16.280000000,224.3
16.300000000,196.6
16.320000000,190.7
16.340000000,166.7
16.360000000,214.3
16.380000000,211.3
16.400000000,223.3
16.420000000,219.0
16.440000000,230.8
16.460000000,220.0
16.480000000,197.8
16.500000000,212.2
16.520000000,228.2
16.540000000,221.0
16.560000000,200.8
16.580000000,227.2
16.600000000,206.7
16.620000000,211.9
16.640000000,229.6
16.660000000,204.5
16.680000000,230.0
16.700000000,242.9
16.720000000,221.5
16.740000000,213.2
16.760000000,222.9
16.780000000,233.6
16.800000000,239.5
16.820000000,224.2
16.840000000,219.2
16.860000000,219.8
16.880000000,231.6
16.900000000,226.8
16.920000000,242.4
16.940000000,239.0
16.960000000,248.9
16.980000000,234.6
17.000000000,260.6
17.020000000,253.9
17.040000000,258.7
17.060000000,280.4
17.080000000,277.9
17.100000000,261.3
17.120000000,244.4
17.140000000,269.5
17.160000000,309.3
17.180000000,265.9
17.200000000,301.7
17.220000000,301.9
17.240000000,336.0
17.260000000,338.5
17.280000000,309.1
17.300000000,331.0
17.320000000,358.0
17.340000000,372.5
17.360000000,407.5
17.380000000,381.7
17.400000000,392.4
17.420000000,403.7
17.440000000,453.0
17.460000000,430.1
17.480000000,456.7
17.500000000,495.6
17.520000000,490.7
17.540000000,529.3
17.560000000,582.7
17.580000000,578.1
17.600000000,622.9
17.620000000,637.4
17.640000000,695.7
17.660000000,707.2
17.680000000,781.0
17.700000000,829.3
17.720000000,838.0
17.740000000,847.2
17.760000000,919.1
17.780000000,930.2
17.800000000,954.2
17.820000000,887.3
17.840000000,928.1
17.860000000,995.3
17.880000000,851.6
17.900000000,814.5
17.920000000,801.3
17.940000000,771.7
17.960000000,718.2
17.980000000,688.3
18.000000000,653.0
18.020000000,584.3
18.040000000,612.3
18.060000000,578.7
18.080000000,533.3
18.100000000,535.2
18.120000000,515.1
18.140000000,458.8
18.160000000,440.1
18.180000000,423.0
18.200000000,415.8
18.220000000,400.8
18.240000000,392.8
18.260000000,323.9
18.280000000,357.9
18.300000000,338.4
18.320000000,295.3
18.340000000,337.6
18.360000000,329.3
18.380000000,309.3
18.400000000,295.6
18.420000000,303.4
18.440000000,268.8
18.460000000,232.8
18.480000000,271.6
18.500000000,260.5
18.520000000,265.2
18.540000000,258.0
18.560000000,260.4
18.580000000,260.0
18.600000000,248.4
18.620000000,213.9
18.640000000,243.0
18.660000000,241.3
18.680000000,215.9
18.700000000,229.3
18.720000000,228.7
18.740000000,249.8
18.760000000,253.8
18.780000000,228.6
18.800000000,224.4
18.820000000,239.2
18.840000000,198.5
18.860000000,204.7
18.880000000,209.1
18.900000000,213.0
18.920000000,222.4
18.940000000,226.4
18.960000000,197.8
18.980000000,181.5
19.000000000,218.5
19.020000000,222.5
19.040000000,222.7
19.060000000,230.0
19.080000000,217.3
19.100000000,209.6
19.120000000,204.3
19.140000000,203.0
19.160000000,204.2
19.180000000,234.4
19.200000000,229.3
19.220000000,198.0
19.240000000,216.3
19.260000000,201.2
19.280000000,211.4
19.300000000,219.3
19.320000000,197.8
19.340000000,238.5
19.360000000,212.3
19.380000000,195.5
19.400000000,206.5
19.420000000,207.5
19.440000000,222.1
19.460000000,193.6
19.480000000,238.8
19.500000000,203.6
19.520000000,238.2
19.540000000,218.0
19.560000000,231.6
19.580000000,237.6
19.600000000,246.8
19.620000000,275.1
19.640000000,285.4
19.660000000,310.9
19.680000000,359.3
19.700000000,375.8
19.720000000,399.1
19.740000000,478.7
19.760000000,504.0
19.780000000,566.1
19.800000000,626.3
19.820000000,639.7
19.840000000,657.4
19.860000000,655.9
19.880000000,709.5
19.900000000,679.4
19.920000000,651.8
19.940000000,640.4
19.960000000,669.0
19.980000000,635.4
20.000000000,637.4
20.020000000,591.1
20.040000000,583.7
20.060000000,524.8
20.080000000,492.4
20.100000000,478.3
20.120000000,444.7
20.140000000,420.4
20.160000000,408.0
20.180000000,431.3
20.200000000,386.4
20.220000000,393.7
20.240000000,367.2
20.260000000,400.7
20.280000000,396.4
20.300000000,369.8
20.320000000,386.3
20.340000000,353.9
20.360000000,361.9
20.380000000,368.3
20.400000000,370.9
20.420000000,391.8
20.440000000,359.4
20.460000000,392.1
20.480000000,382.5
20.500000000,311.5
20.520000000,364.2
20.540000000,384.3
20.560000000,364.8
20.580000000,370.4
20.600000000,316.9
20.620000000,345.6
20.640000000,360.0
20.660000000,307.3
20.680000000,349.4
20.700000000,325.7
20.720000000,351.1
20.740000000,381.8
20.760000000,367.0
20.780000000,366.5
20.800000000,400.2
20.820000000,376.7
20.840000000,436.4
20.860000000,458.4
20.880000000,521.7
20.900000000,530.8
20.920000000,612.2
20.940000000,579.1
20.960000000,525.8
20.980000000,502.9
21.000000000,428.4
21.020000000,392.0
21.040000000,348.0
21.060000000,333.3
21.080000000,330.7
21.100000000,327.0
21.120000000,319.5
21.140000000,310.2
21.160000000,291.3
21.180000000,309.9
21.200000000,301.5
21.220000000,297.8
21.240000000,322.0
21.260000000,332.5
21.280000000,312.1
21.300000000,329.0
21.320000000,354.6
21.340000000,314.8
21.360000000,326.4
21.380000000,327.8
21.400000000,304.4
21.420000000,307.0
21.440000000,323.1
21.460000000,342.6
21.480000000,324.3
21.500000000,300.2
21.520000000,312.6
21.540000000,316.7
21.560000000,319.8
21.580000000,299.8
21.600000000,306.3
21.620000000,306.4
21.640000000,307.4
21.660000000,303.0
21.680000000,280.6
21.700000000,305.2
21.720000000,288.2
21.740000000,290.2
21.760000000,318.7
21.780000000,297.0
21.800000000,299.7
21.820000000,296.7
21.840000000,312.9
21.860000000,307.4
21.880000000,284.6
21.900000000,307.9
21.920000000,286.4
21.940000000,284.0
21.960000000,286.4
21.980000000,276.7
22.000000000,298.1
22.020000000,281.6
22.040000000,278.6
22.060000000,302.8
22.080000000,255.2
22.100000000,291.5
22.120000000,289.2
22.140000000,273.6
22.160000000,288.3
22.180000000,299.0
22.200000000,322.3
22.220000000,288.3
22.240000000,273.9
22.260000000,310.0
22.280000000,264.9
22.300000000,261.6
22.320000000,292.0
22.340000000,298.5
22.360000000,289.0
22.380000000,326.0
22.400000000,305.0
22.420000000,294.4
22.440000000,299.3
22.460000000,316.8
22.480000000,310.2
22.500000000,308.5
22.520000000,293.4
22.540000000,285.0
22.560000000,296.2
22.580000000,302.2
22.600000000,339.5
22.620000000,314.9
22.640000000,355.8
22.660000000,311.0
22.680000000,296.5
22.700000000,323.2
22.720000000,326.1
22.740000000,286.4
22.760000000,324.0
22.780000000,320.9
22.800000000,346.0
22.820000000,371.5
22.840000000,362.4
22.860000000,352.6
22.880000000,336.7
22.900000000,318.8
22.920000000,322.5
22.940000000,395.3
22.960000000,369.6
22.980000000,352.2
23.000000000,388.3
23.020000000,393.0
23.040000000,384.7
23.060000000,370.2
23.080000000,393.9
23.100000000,356.2
23.120000000,414.8
23.140000000,343.7
23.160000000,381.7
23.180000000,360.9
23.200000000,334.1
23.220000000,352.6
23.240000000,366.5
23.260000000,361.7
23.280000000,375.3
23.300000000,404.9
23.320000000,361.2
23.340000000,387.4
23.360000000,371.0
23.380000000,353.6
23.400000000,344.0
23.420000000,370.2
23.440000000,357.7
23.460000000,370.2
23.480000000,401.6
23.500000000,398.6
23.520000000,395.9
23.540000000,396.1
23.560000000,388.2
23.580000000,399.2
23.600000000,375.5
23.620000000,397.2
23.640000000,404.5
23.660000000,415.7
23.680000000,389.9
23.700000000,417.5
23.720000000,443.4
23.740000000,427.1
23.760000000,444.5
23.780000000,434.4
23.800000000,479.4
23.820000000,509.9
23.840000000,475.4
23.860000000,464.6
23.880000000,462.8
23.900000000,492.5
23.920000000,485.2
23.940000000,476.7
23.960000000,528.4
23.980000000,503.0
24.000000000,498.0
24.020000000,518.2
24.040000000,524.9
24.060000000,517.7
24.080000000,524.7
24.100000000,542.9
24.120000000,543.8
24.140000000,545.4
24.160000000,582.3
24.180000000,573.7
24.200000000,534.7
24.220000000,607.6
24.240000000,586.6
24.260000000,573.9
24.280000000,601.7
24.300000000,629.3
24.320000000,623.1
24.340000000,677.9
24.360000000,644.7
24.380000000,673.0
24.400000000,632.5
24.420000000,728.4
24.440000000,664.8
24.460000000,689.4
24.480000000,693.5
24.500000000,739.6
24.520000000,690.2
24.540000000,740.4
24.560000000,768.5
24.580000000,782.2
24.600000000,754.5
24.620000000,755.6
24.640000000,748.4
24.660000000,791.1
24.680000000,775.8
24.700000000,817.8
24.720000000,778.8
24.740000000,821.0
24.760000000,823.7
24.780000000,812.1
24.800000000,839.1
24.820000000,801.3
24.840000000,827.7
24.860000000,798.4
24.880000000,818.9
24.900000000,852.5
24.920000000,815.6
24.940000000,828.6
24.960000000,840.3
24.980000000,876.7
25.000000000,850.6
25.020000000,772.7
25.040000000,799.1
25.060000000,796.6
25.080000000,771.4
25.100000000,806.6
25.120000000,768.8
25.140000000,727.4
25.160000000,755.1
25.180000000,750.9
25.200000000,775.5
25.220000000,761.9
25.240000000,746.3
25.260000000,743.0
25.280000000,774.9
25.300000000,784.7
25.320000000,835.8
25.340000000,795.7
25.360000000,912.4
25.380000000,844.3
25.400000000,818.6
25.420000000,792.3
25.440000000,737.6
25.460000000,692.7
25.480000000,708.7
25.500000000,638.1
25.520000000,638.7
25.540000000,606.5
25.560000000,582.4
25.580000000,590.9
25.600000000,545.1
25.620000000,585.3
25.640000000,592.1
25.660000000,544.8
25.680000000,574.0
25.700000000,539.7
25.720000000,550.1
25.740000000,516.8
25.760000000,527.4
25.780000000,546.4
25.800000000,487.0
25.820000000,534.9
25.840000000,479.5
25.860000000,519.6
25.880000000,509.8
25.900000000,515.3
25.920000000,520.8
25.940000000,512.1
25.960000000,507.5
25.980000000,526.6
26.000000000,548.9
26.020000000,544.2
26.040000000,529.8
26.060000000,539.5
26.080000000,503.0
26.100000000,571.9
26.120000000,574.6
26.140000000,558.6
26.160000000,553.5
26.180000000,557.4
26.200000000,585.7
26.220000000,607.3
26.240000000,606.7
26.260000000,629.0
26.280000000,663.5
26.300000000,730.6
26.320000000,688.3
26.340000000,734.9
26.360000000,774.0
26.380000000,828.0
26.400000000,851.1
26.420000000,898.9
26.440000000,959.6
26.460000000,1008.1
26.480000000,1037.4
26.500000000,1187.7
26.520000000,1229.0
26.540000000,1312.9
26.560000000,1497.0
26.580000000,1610.3
26.600000000,1858.1
26.620000000,1993.9
26.640000000,2252.8
26.660000000,2589.9
26.680000000,2852.2
26.700000000,3119.8
26.720000000,3162.4
26.740000000,3042.0
26.760000000,2704.5
26.780000000,2641.0
26.800000000,2457.8
26.820000000,2349.2
26.840000000,2111.6
26.860000000,2044.6
26.880000000,1844.6
26.900000000,1667.3
26.920000000,1634.7
26.940000000,1546.1
26.960000000,1402.3
26.980000000,1378.5
27.000000000,1276.6
27.020000000,1165.4
27.040000000,1096.4
27.060000000,1084.7
27.080000000,1039.2
27.100000000,939.3
27.120000000,861.1
27.140000000,863.3
27.160000000,828.9
27.180000000,737.6
27.200000000,703.3
27.220000000,724.3
27.240000000,684.5
27.260000000,633.4
27.280000000,642.8
27.300000000,642.2
27.320000000,595.4
27.340000000,586.9
27.360000000,542.2
27.380000000,535.2
27.400000000,501.4
27.420000000,522.5
27.440000000,527.8
27.460000000,519.0
27.480000000,516.6
27.500000000,504.2
27.520000000,472.4
27.540000000,483.7
27.560000000,415.4
27.580000000,473.0
27.600000000,464.4
27.620000000,482.3
27.640000000,440.5
27.660000000,391.5
27.680000000,449.2
27.700000000,449.9
27.720000000,437.7
27.740000000,425.5
27.760000000,421.5
27.780000000,409.6
27.800000000,420.7
27.820000000,418.2
27.840000000,419.1
27.860000000,476.3
27.880000000,432.1
27.900000000,446.6
27.920000000,453.1
27.940000000,444.3
27.960000000,431.3
27.980000000,416.2
28.000000000,431.2
28.020000000,399.0
28.040000000,377.0
28.060000000,391.3
28.080000000,414.1
28.100000000,357.2
28.120000000,340.5
28.140000000,394.2
28.160000000,367.3
28.180000000,372.2
28.200000000,362.7
28.220000000,351.2
28.240000000,347.4
28.260000000,352.3
28.280000000,335.1
28.300000000,382.3
28.320000000,329.2
28.340000000,361.5
28.360000000,361.2
28.380000000,331.5
28.400000000,332.7
28.420000000,347.4
28.440000000,338.6
28.460000000,350.8
28.480000000,328.4
28.500000000,384.7
28.520000000,321.4
28.540000000,332.4
28.560000000,350.2
28.580000000,313.9
28.600000000,346.5
28.620000000,333.1
28.640000000,388.0
28.660000000,358.6
28.680000000,322.9
28.700000000,329.1
28.720000000,338.6
28.740000000,317.2
28.760000000,350.3
28.780000000,344.4
28.800000000,346.9
28.820000000,381.3
28.840000000,334.8
28.860000000,338.3
28.880000000,320.0
28.900000000,344.0
28.920000000,353.3
28.940000000,353.7
28.960000000,365.3
28.980000000,363.4
29.000000000,329.2
29.020000000,334.6
29.040000000,378.3
29.060000000,373.4
29.080000000,401.6
29.100000000,387.8
29.120000000,378.0
29.140000000,366.2
